check,value,pass,note
raw_reproduction_before_modeling,640737,True,script raises before subtype fitting if selected-pulse count mismatches
leave_one_run_train_test_overlap,0,True,held-out run never appears in the train sample
all_methods_same_eval_rows,1,True,all methods score the same baseline-excursion pulses
identifier_columns_absent_from_features,0,True,"run, event id, current group, and subtype labels are excluded from SCALAR_FEATURES"
