test_run,n_train,n_train_full,n_test,n_train_subtypes,n_test_subtypes,test_run_in_train,cnn_1d_device,temporal_gate_cnn_new_device,cnn_1d_final_loss,temporal_gate_cnn_new_final_loss
44,1546,1546,34,6,4,False,cpu,cpu,1.520506835230572,1.5492151505271645
45,1187,1187,393,6,5,False,cpu,cpu,1.5392376370257255,1.597003402585429
47,1553,1553,27,6,4,False,cpu,cpu,1.4479740956331635,1.5049278733811682
48,1379,1379,201,6,6,False,cpu,cpu,1.5101864762371913,1.602363420189767
49,1344,1344,236,6,5,False,cpu,cpu,1.509377116248721,1.5963843890598841
50,1483,1483,97,6,5,False,cpu,cpu,1.6195944421450512,1.5606120106985821
51,1507,1507,73,6,4,False,cpu,cpu,1.6351905783518466,1.589386838195968
52,1547,1547,33,6,4,False,cpu,cpu,1.5384815526763778,1.5096628904034417
53,1505,1505,75,6,4,False,cpu,cpu,1.474610981751122,1.6101657443664399
54,1528,1528,52,6,4,False,cpu,cpu,1.5439152542833259,1.580345832240519
55,1503,1503,77,6,4,False,cpu,cpu,1.5302980748003352,1.6039012070108238
56,1480,1480,100,6,5,False,cpu,cpu,1.5166846313992062,1.6067421906703228
57,1401,1401,179,6,6,False,cpu,cpu,1.547682901266045,1.550967798753775
