C,cv_roc_auc_mean,cv_roc_auc_std
0.01,0.9999064620531772,4.846730496380598e-06
0.1,0.9999735600647804,3.6038355008838316e-06
1.0,0.9999966523246456,3.1857015738333367e-07
10.0,0.9999998106123306,1.3340461015974569e-07
