method,sigma68_ns_ci95,full_rms_ns_ci95,tail_frac_abs_gt5ns_ci95,pull_width_ci95,one_axis_sigma68_slope_ci95,matched_sigma68_slope_ci95
ml_charge_ridge,"[1.2006072966963288, 1.6512958892670921]","[2.322358880128902, 2.682941610532236]","[0.011636488840954133, 0.020864926067157053]","[1.808477668640612, 2.2805500291305796]","[0.22026908115801414, 0.714998868329258]","[0.08464394393748811, 0.4816522359641557]"
template_phase_base,"[2.6824285968099835, 2.992319268962799]","[3.249117632829225, 3.3522148352440677]","[0.05563412697020568, 0.0923253485758073]","[1.117033025011843, 1.2315744562838413]","[-0.03288576465031896, 0.2656447597664879]","[0.005525861463577646, 0.2073297416580752]"
traditional_hierarchical,"[1.0820899063255311, 1.4820126772993183]","[2.3277351737253147, 2.676836709818035]","[0.011635946650418063, 0.020169207860507226]","[1.799739332475361, 2.1764507903631034]","[0.26427650737149616, 0.8476727126927126]","[0.09101074405453188, 0.4818028791187536]"
