heldout_run,check,value,unit,pass
58,train_heldout_run_overlap,0.0,runs,True
58,train_heldout_event_id_overlap,0.0,events,True
58,features_exclude_run_event_cross_stave_target,1.0,bool,True
58,final_models_use_heldout_rows,0.0,bool,True
58,ml_shuffled_target_sigma68,2.6888214915576136,ns,True
59,train_heldout_run_overlap,0.0,runs,True
59,train_heldout_event_id_overlap,0.0,events,True
59,features_exclude_run_event_cross_stave_target,1.0,bool,True
59,final_models_use_heldout_rows,0.0,bool,True
59,ml_shuffled_target_sigma68,2.988352374750258,ns,True
60,train_heldout_run_overlap,0.0,runs,True
60,train_heldout_event_id_overlap,0.0,events,True
60,features_exclude_run_event_cross_stave_target,1.0,bool,True
60,final_models_use_heldout_rows,0.0,bool,True
60,ml_shuffled_target_sigma68,2.6940588042215934,ns,True
61,train_heldout_run_overlap,0.0,runs,True
61,train_heldout_event_id_overlap,0.0,events,True
61,features_exclude_run_event_cross_stave_target,1.0,bool,True
61,final_models_use_heldout_rows,0.0,bool,True
61,ml_shuffled_target_sigma68,2.7299136269915474,ns,True
62,train_heldout_run_overlap,0.0,runs,True
62,train_heldout_event_id_overlap,0.0,events,True
62,features_exclude_run_event_cross_stave_target,1.0,bool,True
62,final_models_use_heldout_rows,0.0,bool,True
62,ml_shuffled_target_sigma68,2.9213197866358294,ns,True
63,train_heldout_run_overlap,0.0,runs,True
63,train_heldout_event_id_overlap,0.0,events,True
63,features_exclude_run_event_cross_stave_target,1.0,bool,True
63,final_models_use_heldout_rows,0.0,bool,True
63,ml_shuffled_target_sigma68,2.8275898143548286,ns,True
65,train_heldout_run_overlap,0.0,runs,True
65,train_heldout_event_id_overlap,0.0,events,True
65,features_exclude_run_event_cross_stave_target,1.0,bool,True
65,final_models_use_heldout_rows,0.0,bool,True
65,ml_shuffled_target_sigma68,2.9443176785953624,ns,True
