control,method,depth_idx,charge_bin,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width,charge_quantile_mid_mean
depth_x_charge,ml_charge_ridge,3,0,2292,1.2280905555932407,1.079173818420483,1.9357649157384833,0.005671902268760907,2.2022944667737017,0.0
depth_x_charge,ml_charge_ridge,3,1,2292,1.0458126601384556,1.3764464725107945,2.0436293088970627,0.006108202443280977,1.705541824607906,0.25
depth_x_charge,ml_charge_ridge,3,2,2292,0.9950594029427613,1.4669088953229181,1.9602796925848816,0.006980802792321117,1.761075450734845,0.5
depth_x_charge,ml_charge_ridge,3,3,2292,1.1788008650242077,1.5546279905012979,2.6179901735419153,0.013961605584642234,2.0924940921214485,0.75
depth_x_charge,ml_charge_ridge,3,4,2292,1.2104529979911192,1.581157364848868,3.549705071148279,0.04842931937172775,2.541202920897893,1.0
depth_x_charge,template_phase_base,3,0,2292,-3.792535319238553,2.68944645179862,2.953992707460087,0.03926701570680628,1.098364574421828,0.0
depth_x_charge,template_phase_base,3,1,2292,-3.7226235857461916,2.887352228660042,2.9455640097411946,0.05846422338568935,1.0201609559454987,0.25
depth_x_charge,template_phase_base,3,2,2292,-3.62917279571446,2.8671793229041995,2.9071957729447435,0.0606457242582897,1.0139567308263129,0.5
depth_x_charge,template_phase_base,3,3,2292,-3.2226235857461845,2.782458669300315,3.3947728808516207,0.08289703315881326,1.220062284592813,0.75
depth_x_charge,template_phase_base,3,4,2292,-3.129172795714453,2.7035130270822947,4.119022837048847,0.11082024432809773,1.5235816494267866,1.0
depth_x_charge,traditional_hierarchical,3,0,2292,1.11318355323791,0.8596933718132269,1.9246505174091801,0.005671902268760907,2.238763936669412,0.0
depth_x_charge,traditional_hierarchical,3,1,2292,0.7552843971895413,1.2507866443159783,2.016132693441166,0.006108202443280977,1.6118917663561518,0.25
depth_x_charge,traditional_hierarchical,3,2,2292,0.7392719642176893,1.347842630673438,1.91608614161118,0.006980802792321117,1.4215948494327,0.5
depth_x_charge,traditional_hierarchical,3,3,2292,0.975911181695654,1.4570257004150735,2.6304314907136592,0.013961605584642234,1.8053432344839964,0.75
depth_x_charge,traditional_hierarchical,3,4,2292,1.045029159369136,1.5212574838865993,3.5726558347664246,0.04537521815008726,2.348488584351145,1.0
