alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run,model,alpha
0.01,1.0,0,2.0985666778005845,2997,58,traditional_hierarchical,
0.01,1.0,1,1.3744542267685531,3534,58,traditional_hierarchical,
0.01,1.0,2,1.4300679865208057,4710,58,traditional_hierarchical,
0.01,1.0,-1,1.634362963696648,0,58,traditional_hierarchical,
0.01,10.0,0,2.1064345477752253,2997,58,traditional_hierarchical,
0.01,10.0,1,1.388611638512604,3534,58,traditional_hierarchical,
0.01,10.0,2,1.4380631797423957,4710,58,traditional_hierarchical,
0.01,10.0,-1,1.6443697886767417,0,58,traditional_hierarchical,
0.01,100.0,0,2.1062560031229847,2997,58,traditional_hierarchical,
0.01,100.0,1,1.3865326578721293,3534,58,traditional_hierarchical,
0.01,100.0,2,1.4377797277619884,4710,58,traditional_hierarchical,
0.01,100.0,-1,1.6435227962523673,0,58,traditional_hierarchical,
0.01,1000.0,0,2.1059632781923305,2997,58,traditional_hierarchical,
0.01,1000.0,1,1.378530118027039,3534,58,traditional_hierarchical,
0.01,1000.0,2,1.4190538990192154,4710,58,traditional_hierarchical,
0.01,1000.0,-1,1.6345157650795283,0,58,traditional_hierarchical,
0.01,10000.0,0,2.10799286035915,2997,58,traditional_hierarchical,
0.01,10000.0,1,1.3660883881044772,3534,58,traditional_hierarchical,
0.01,10000.0,2,1.3889021443792042,4710,58,traditional_hierarchical,
0.01,10000.0,-1,1.620994464280944,0,58,traditional_hierarchical,
0.1,1.0,0,2.0243387425493293,2997,58,traditional_hierarchical,
0.1,1.0,1,1.3171581772545033,3534,58,traditional_hierarchical,
0.1,1.0,2,1.3654856455014608,4710,58,traditional_hierarchical,
0.1,1.0,-1,1.5689941884350977,0,58,traditional_hierarchical,
0.1,10.0,0,2.0980428314398702,2997,58,traditional_hierarchical,
0.1,10.0,1,1.379390390170034,3534,58,traditional_hierarchical,
0.1,10.0,2,1.4232276928601446,4710,58,traditional_hierarchical,
0.1,10.0,-1,1.6335536381566829,0,58,traditional_hierarchical,
0.1,100.0,0,2.1048107002505065,2997,58,traditional_hierarchical,
0.1,100.0,1,1.3903974925662546,3534,58,traditional_hierarchical,
0.1,100.0,2,1.4346508499534447,4710,58,traditional_hierarchical,
0.1,100.0,-1,1.6432863475900685,0,58,traditional_hierarchical,
0.1,1000.0,0,2.106712227613982,2997,58,traditional_hierarchical,
0.1,1000.0,1,1.3779098744960994,3534,58,traditional_hierarchical,
0.1,1000.0,2,1.4168191985296958,4710,58,traditional_hierarchical,
0.1,1000.0,-1,1.6338137668799257,0,58,traditional_hierarchical,
0.1,10000.0,0,2.1079151828770337,2997,58,traditional_hierarchical,
0.1,10000.0,1,1.3692458215176733,3534,58,traditional_hierarchical,
0.1,10000.0,2,1.3865408652777549,4710,58,traditional_hierarchical,
0.1,10000.0,-1,1.6212339565574874,0,58,traditional_hierarchical,
1.0,1.0,0,1.4356557097774179,2997,58,traditional_hierarchical,
1.0,1.0,1,1.0220974770440963,3534,58,traditional_hierarchical,
1.0,1.0,2,1.0554821823374354,4710,58,traditional_hierarchical,
1.0,1.0,-1,1.1710784563863166,0,58,traditional_hierarchical,
1.0,10.0,0,2.021038098215068,2997,58,traditional_hierarchical,
1.0,10.0,1,1.3206999663735424,3534,58,traditional_hierarchical,
1.0,10.0,2,1.4055542906691265,4710,58,traditional_hierarchical,
1.0,10.0,-1,1.5824307850859123,0,58,traditional_hierarchical,
1.0,100.0,0,2.09421470667845,2997,58,traditional_hierarchical,
1.0,100.0,1,1.3857613459420521,3534,58,traditional_hierarchical,
1.0,100.0,2,1.4586597151430283,4710,58,traditional_hierarchical,
1.0,100.0,-1,1.6462119225878435,0,58,traditional_hierarchical,
1.0,1000.0,0,2.10333903836985,2997,58,traditional_hierarchical,
1.0,1000.0,1,1.3905556288965553,3534,58,traditional_hierarchical,
1.0,1000.0,2,1.4556233341393554,4710,58,traditional_hierarchical,
1.0,1000.0,-1,1.6498393338019202,0,58,traditional_hierarchical,
1.0,10000.0,0,2.1097495320192867,2997,58,traditional_hierarchical,
1.0,10000.0,1,1.382290850568731,3534,58,traditional_hierarchical,
1.0,10000.0,2,1.4323622262024678,4710,58,traditional_hierarchical,
1.0,10000.0,-1,1.6414675362634952,0,58,traditional_hierarchical,
10.0,1.0,0,1.5575555552172788,2997,58,traditional_hierarchical,
10.0,1.0,1,1.8673238055447587,3534,58,traditional_hierarchical,
10.0,1.0,2,2.0531950034124566,4710,58,traditional_hierarchical,
10.0,1.0,-1,1.8260247880581648,0,58,traditional_hierarchical,
10.0,10.0,0,1.4403918769621864,2997,58,traditional_hierarchical,
10.0,10.0,1,1.017405092882508,3534,58,traditional_hierarchical,
10.0,10.0,2,1.0885432220720255,4710,58,traditional_hierarchical,
10.0,10.0,-1,1.1821133973055733,0,58,traditional_hierarchical,
10.0,100.0,0,2.0093812255989225,2997,58,traditional_hierarchical,
10.0,100.0,1,1.325861796706047,3534,58,traditional_hierarchical,
10.0,100.0,2,1.4232404073451468,4710,58,traditional_hierarchical,
10.0,100.0,-1,1.5861611432167055,0,58,traditional_hierarchical,
10.0,1000.0,0,2.0838416743990043,2997,58,traditional_hierarchical,
10.0,1000.0,1,1.3797595308022388,3534,58,traditional_hierarchical,
10.0,1000.0,2,1.4696063391960161,4710,58,traditional_hierarchical,
10.0,1000.0,-1,1.6444025147990864,0,58,traditional_hierarchical,
10.0,10000.0,0,2.0981865859766593,2997,58,traditional_hierarchical,
10.0,10000.0,1,1.3779318902111672,3534,58,traditional_hierarchical,
10.0,10000.0,2,1.4514839872140903,4710,58,traditional_hierarchical,
10.0,10000.0,-1,1.6425341544673058,0,58,traditional_hierarchical,
100.0,1.0,0,2.493417148495501,2997,58,traditional_hierarchical,
100.0,1.0,1,2.7531875226579237,3534,58,traditional_hierarchical,
100.0,1.0,2,2.8915833045161583,4710,58,traditional_hierarchical,
100.0,1.0,-1,2.712729325223194,0,58,traditional_hierarchical,
100.0,10.0,0,1.5563246779933284,2997,58,traditional_hierarchical,
100.0,10.0,1,1.8704645935369104,3534,58,traditional_hierarchical,
100.0,10.0,2,2.0584663849192326,4710,58,traditional_hierarchical,
100.0,10.0,-1,1.8284185521498237,0,58,traditional_hierarchical,
