control,method,matched_stratum,charge_bin,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width,charge_quantile_mid_mean
matched_stratum,ml_charge_ridge,d3_s0_p0_a0_u0_b1,0,852,1.379756371709945,0.9887253930435,1.630644298625138,0.002347417840375587,2.5537538454985023,0.0
matched_stratum,ml_charge_ridge,d3_s0_p0_a0_u0_b1,1,363,1.3924810566603085,0.912414439946514,2.207209739210067,0.005509641873278237,2.023777185871634,0.25
matched_stratum,ml_charge_ridge,d3_s0_p0_a0_u0_b1,2,255,1.3951979903714147,0.93852582137538,0.9178925724786988,0.00392156862745098,1.8157436900770199,0.5
matched_stratum,ml_charge_ridge,d3_s0_p0_a0_u0_b1,3,180,1.4028788114314459,0.9693366346787775,3.106938058936198,0.011111111111111112,3.818443967139886,0.75
matched_stratum,ml_charge_ridge,d3_s0_p0_a0_u0_b1,4,135,1.3540774360164534,0.9263538388134975,1.3140255385887962,0.014814814814814815,2.148682296926307,1.0
matched_stratum,ml_charge_ridge,d3_s0_p1_a0_u0_b1,0,153,1.218688420306215,0.9267020685132875,2.461730049132158,0.013071895424836602,3.0846845511515273,0.0
matched_stratum,ml_charge_ridge,d3_s0_p1_a0_u0_b1,2,120,1.1930239790688795,0.7797934468973954,3.2054767192595146,0.025,3.329267826209673,0.5
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b0,0,186,0.38588954193175695,1.5417553513240443,1.4533002840325913,0.0,1.2302915226670497,0.0
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b0,1,285,0.6837236157296758,1.4542335564776685,1.5106110327638538,0.0,1.2187472600892961,0.25
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b0,2,330,0.4978340266711463,1.4258849118229044,1.4845101838048285,0.0,1.1726018421786324,0.5
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b0,3,318,0.953348987168976,1.6581182272725536,1.6804468274731452,0.0031446540880503146,1.3436377444497094,0.75
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b0,4,243,1.4343406838644057,1.677968962000677,1.6952915057376343,0.00411522633744856,1.3219059229415933,1.0
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b1,1,324,0.7419515460475807,1.3433639072335866,1.8001993579231492,0.012345679012345678,1.5679483804552043,0.25
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b1,2,318,0.9489944733540057,1.441546012855777,1.539422088959192,0.009433962264150943,1.3826145673860801,0.5
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b1,3,456,1.0870556953059527,1.2527979210068318,1.4000140373206915,0.0043859649122807015,1.2958133635169466,0.75
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u0_b1,4,393,1.1558439985525624,1.2374381777006884,1.512353105327962,0.005089058524173028,1.3579302502888138,1.0
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u1_b0,0,147,0.6609883843223798,2.008419624339869,1.9904147152476153,0.006802721088435374,1.5555704504172656,0.0
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u1_b0,1,426,0.7148409590769447,1.7725307098154985,2.0915545540917115,0.004694835680751174,1.3592690120740654,0.25
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u1_b0,2,480,0.8086239189042388,1.8163537823370008,1.8373474356132353,0.00625,1.3684690629310499,0.5
matched_stratum,ml_charge_ridge,d3_s0_p1_a1_u1_b0,3,420,1.1357885770957772,1.9647995251541674,1.8402190499316267,0.007142857142857143,1.3478793976547754,0.75
