alpha,n,mean_lift,mean_q_shift,mean_cfd_shift_ns,tail_delta,heldout_run
0.0,2482,0.0,0.0,0.0,0.0,58
0.1,2482,0.008739922064364853,-0.008651443415372159,0.04309977538890346,0.0,58
0.2,2482,0.017479844128729737,-0.017129406192512946,0.085663830043699,-0.00022192632046160593,58
0.25,2482,0.021849805160912384,-0.02130504199988387,0.10685853910424457,-0.00022192632046160593,58
0.3,2482,0.026219766193094463,-0.02543965077822577,0.12797324420203565,-0.00022192632046160593,58
0.4,2482,0.034959688257459494,-0.03357904218269584,0.17001214168577228,-0.00022192632046160593,58
0.5,2482,0.04369961032182478,-0.041543796637647096,0.21186283340900466,-0.00022192632046160593,58
0.75,2482,0.0655494154827369,-0.06081601111267565,0.31570813709505074,-0.00022192632046160593,58
1.0,2482,0.0873992206436496,-0.0791858745334291,0.4185432200829041,-0.0008626131099349378,58
0.0,3255,0.0,0.0,0.0,0.0,59
0.1,3255,0.008961248766932241,-0.008869423926762965,0.04243585963161532,-0.0005411255411255436,59
0.2,3255,0.01792249753386445,-0.017558093638052472,0.08435511035734339,-0.0010336146321499179,59
0.25,3255,0.022403121917330633,-0.02183122092279664,0.10517532510462381,-0.0010336146321499179,59
0.3,3255,0.02688374630079696,-0.026056981427336954,0.12594026763708685,-0.0010336146321499179,59
0.4,3255,0.03584499506772875,-0.03438415577268174,0.16736197310352077,-0.0014394587879940773,59
0.5,3255,0.04480624383466125,-0.04255339294867127,0.2086264249048632,-0.0017100215585568526,59
0.75,3255,0.06720936575199218,-0.06229757324981979,0.3104545825274451,-0.0015747401732754615,59
1.0,3255,0.08961248766932246,-0.08097657964302601,0.41079922389449774,-0.0025346261834127276,59
0.0,3455,0.0,0.0,0.0,0.0,60
0.1,3455,0.008477633639524773,-0.00839653943758808,0.04081314925215955,-0.0007630518615871461,60
0.2,3455,0.0169552672790495,-0.016633901161595396,0.08118263431155574,-0.0010336146321499179,60
0.25,3455,0.021194084098811915,-0.020694330213179027,0.10127193882745758,-0.0010336146321499179,60
0.3,3455,0.02543290091857447,-0.024712162837993285,0.12130960802000518,-0.0010336146321499179,60
0.4,3455,0.033910534558099,-0.03262533988057137,0.16126090082895092,-0.0014394587879940739,60
0.5,3455,0.042388168197623866,-0.040392797959788763,0.20104556614496358,-0.001574740173275458,60
0.75,3455,0.06358225229643624,-0.05920709891171512,0.2996633679060396,-0.001574740173275458,60
