method,pileup_bin,saturation_bin,n,pileup_miss_rate,false_split_rate,energy_sigma68_frac,pid_balanced_accuracy
1d_cnn,clean,saturated,96,,0.34375,0.14096676231250382,0.770979020979021
1d_cnn,clean,unsaturated,234,,0.21367521367521367,0.21979450637892328,0.7869930580928024
1d_cnn,pileup,saturated,144,0.2986111111111111,,0.10020002716601925,0.7565637065637065
1d_cnn,pileup,unsaturated,186,0.27956989247311825,,0.12066345537328736,0.7841526894158473
deltaE_over_E_likelihood_template,clean,saturated,96,,0.10416666666666667,0.49228543453434204,0.8181818181818181
deltaE_over_E_likelihood_template,clean,unsaturated,234,,0.08974358974358974,0.346735969140144,0.7620752648885641
deltaE_over_E_likelihood_template,pileup,saturated,144,0.7430555555555556,,0.5200578052367385,0.7696911196911197
deltaE_over_E_likelihood_template,pileup,unsaturated,186,0.6451612903225806,,0.5042734487321585,0.7497975708502025
gradient_boosted_trees,clean,saturated,96,,0.40625,0.1187874732908856,0.8505244755244755
gradient_boosted_trees,clean,unsaturated,234,,0.1794871794871795,0.24659731117369527,0.8752283522104494
gradient_boosted_trees,pileup,saturated,144,0.20833333333333334,,0.07557282169779472,0.8301158301158301
gradient_boosted_trees,pileup,unsaturated,186,0.3817204301075269,,0.1449846006988055,0.8118565644881435
joint_sequence_transformer,clean,saturated,96,,0.3229166666666667,0.17511589121967366,0.5340909090909092
joint_sequence_transformer,clean,unsaturated,234,,0.1794871794871795,0.24570974259895847,0.522360248447205
joint_sequence_transformer,pileup,saturated,144,0.3541666666666667,,0.09398702002914956,0.522007722007722
joint_sequence_transformer,pileup,unsaturated,186,0.3172043010752688,,0.14045282117009913,0.4883747831116252
mlp,clean,saturated,96,,0.3958333333333333,0.28641353751031695,0.7421328671328671
mlp,clean,unsaturated,234,,0.24786324786324787,0.3356113105105633,0.7283156740957253
mlp,pileup,saturated,144,0.2638888888888889,,0.14436265462761882,0.6930501930501931
mlp,pileup,unsaturated,186,0.3225806451612903,,0.19424951299398374,0.6575477154424523
ridge,clean,saturated,96,,0.40625,0.15544208421370112,0.7237762237762237
ridge,clean,unsaturated,234,,0.23076923076923078,0.2578337115519765,0.782937522835221
ridge,pileup,saturated,144,0.19444444444444445,,0.08279147904846797,0.7299227799227799
ridge,pileup,unsaturated,186,0.3548387096774194,,0.12748125523345757,0.7454598033545402
template_residual_boosted_stack_new,clean,saturated,96,,0.4791666666666667,0.11389842615575609,0.8505244755244755
template_residual_boosted_stack_new,clean,unsaturated,234,,0.15384615384615385,0.2456661448901902,0.8749360613810742
template_residual_boosted_stack_new,pileup,saturated,144,0.25,,0.07089002645180179,0.8301158301158301
template_residual_boosted_stack_new,pileup,unsaturated,186,0.40860215053763443,,0.14532796157058347,0.8276460381723539
