method,pedestal_bin,n,energy_bias_frac,energy_sigma68_frac,pid_auc,pid_balanced_accuracy
1d_cnn,low,220,-0.050908707905858636,0.21911926108938212,0.8517047335319431,0.7984111221449851
1d_cnn,mid,220,-0.10699162452253752,0.1604447265348129,0.8481316137566137,0.7769510582010581
1d_cnn,high,220,-0.12817099987376626,0.20971133739665904,0.8080105925190335,0.7545514730221781
deltaE_over_E_likelihood_template,low,220,-1.0,0.5088711654125312,0.8265475008275407,0.7984111221449851
deltaE_over_E_likelihood_template,mid,220,-1.0,0.4838903174441415,0.7696759259259259,0.7582671957671958
deltaE_over_E_likelihood_template,high,220,-1.0,0.4814504536043214,0.7675438596491229,0.7474346242965906
gradient_boosted_trees,low,220,-0.04898615776510349,0.18553919224541543,0.9147633234028467,0.8512909632571997
gradient_boosted_trees,mid,220,-0.0625790254888047,0.1563253881549464,0.909970238095238,0.841931216931217
gradient_boosted_trees,high,220,-0.06142328507943075,0.20401550899348653,0.9087222773915922,0.8382158225753062
joint_sequence_transformer,low,220,0.08864631834651113,0.22330262120563144,0.5382323733862959,0.5290466732869911
joint_sequence_transformer,mid,220,-0.023526557162591895,0.21121274838871237,0.503885582010582,0.4852843915343915
joint_sequence_transformer,high,220,-0.07354869173303019,0.2428879987553055,0.5227573651108904,0.5302879841112215
mlp,low,220,-0.0726452509811457,0.2973720188785923,0.7735849056603774,0.7161535915259847
mlp,mid,220,-0.05232011652261195,0.22073536434989025,0.7729001322751322,0.6985780423280423
mlp,high,220,-0.08333160090270222,0.26867421782309486,0.7603442568685865,0.6938099966898379
ridge,low,220,-0.02240145026338974,0.2070683883009373,0.8543528632903012,0.7707712677921218
ridge,mid,220,-0.06484254437185649,0.19136986821097468,0.8536706349206349,0.7534722222222222
ridge,high,220,-0.0715374783901606,0.2150824534838702,0.8040383978814961,0.7339457133399536
template_residual_boosted_stack_new,low,220,-0.03739812388492199,0.17757292232706592,0.9021019529956968,0.8425190334326382
template_residual_boosted_stack_new,mid,220,-0.05333481739572532,0.15644036106620077,0.9128637566137566,0.8601190476190477
template_residual_boosted_stack_new,high,220,-0.06524456875089146,0.20930659093350812,0.8973022178086727,0.8429328037073817
