heldout_run,method,alpha,cv_mae_adc,learning_rate,max_leaf_nodes
58,ridge,0.1,161.98575535752482,,
58,ridge,1.0,161.98628924150114,,
58,ridge,10.0,162.00090551670073,,
58,ridge,100.0,162.47018316593199,,
58,ridge,1000.0,164.92259834919577,,
58,gradient_boosted_trees,,76.85046632032534,0.04,15.0
58,gradient_boosted_trees,,59.716230872968985,0.04,31.0
58,gradient_boosted_trees,,65.98095454394159,0.08,15.0
58,gradient_boosted_trees,,56.740684212949645,0.08,31.0
59,ridge,0.1,146.67168303191585,,
59,ridge,1.0,146.67518096295117,,
59,ridge,10.0,146.7139456056114,,
59,ridge,100.0,147.17055831047523,,
59,ridge,1000.0,148.84661879296553,,
59,gradient_boosted_trees,,66.91144728121928,0.04,15.0
59,gradient_boosted_trees,,54.058741344723664,0.04,31.0
59,gradient_boosted_trees,,58.760101515196254,0.08,15.0
59,gradient_boosted_trees,,50.67599115821347,0.08,31.0
60,ridge,0.1,155.72595624594695,,
60,ridge,1.0,155.72618831764728,,
60,ridge,10.0,155.73460477928995,,
60,ridge,100.0,155.996263464264,,
60,ridge,1000.0,157.57252660092686,,
60,gradient_boosted_trees,,72.71106328821674,0.04,15.0
60,gradient_boosted_trees,,56.74236552027404,0.04,31.0
60,gradient_boosted_trees,,62.69229808550977,0.08,15.0
60,gradient_boosted_trees,,52.12714989684158,0.08,31.0
61,ridge,0.1,145.9520648492063,,
61,ridge,1.0,145.94717112339467,,
61,ridge,10.0,145.9171181929149,,
61,ridge,100.0,146.12556108166564,,
61,ridge,1000.0,147.65535243985923,,
61,gradient_boosted_trees,,65.39695199883,0.04,15.0
61,gradient_boosted_trees,,52.04929242470863,0.04,31.0
61,gradient_boosted_trees,,55.923311411734595,0.08,15.0
61,gradient_boosted_trees,,46.912212936480465,0.08,31.0
62,ridge,0.1,148.7073520277254,,
62,ridge,1.0,148.71020095976152,,
62,ridge,10.0,148.74327237462845,,
62,ridge,100.0,149.21456649389003,,
62,ridge,1000.0,151.24807078049088,,
62,gradient_boosted_trees,,69.93957652603697,0.04,15.0
62,gradient_boosted_trees,,55.11114143966137,0.04,31.0
62,gradient_boosted_trees,,60.83228371281253,0.08,15.0
62,gradient_boosted_trees,,51.43136165409887,0.08,31.0
63,ridge,0.1,160.6389070961447,,
63,ridge,1.0,160.6399966043338,,
63,ridge,10.0,160.65868515772317,,
63,ridge,100.0,160.97126770245904,,
63,ridge,1000.0,162.02297844508547,,
63,gradient_boosted_trees,,70.89436338191774,0.04,15.0
63,gradient_boosted_trees,,56.371844746373405,0.04,31.0
63,gradient_boosted_trees,,61.146388257434175,0.08,15.0
63,gradient_boosted_trees,,51.28316242664605,0.08,31.0
65,ridge,0.1,153.8103124950499,,
65,ridge,1.0,153.81724981437463,,
65,ridge,10.0,153.8856512204619,,
65,ridge,100.0,154.4704625302767,,
65,ridge,1000.0,156.5379432567752,,
65,gradient_boosted_trees,,67.9527110536551,0.04,15.0
65,gradient_boosted_trees,,53.42844851592685,0.04,31.0
65,gradient_boosted_trees,,58.5685490262152,0.08,15.0
65,gradient_boosted_trees,,49.807227071967276,0.08,31.0
