stratum,value,method,n,pedestal_mae_adc,pedestal_width68_adc,pedestal_rmse_adc,timing_sigma68_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction
target_sample,0,gradient_boosted_trees,125096,44.803868102780314,16.487477454744127,212.62291045468913,,,
target_sample,1,gradient_boosted_trees,125096,32.710878016760624,9.756435371530642,149.76237705040631,,,
target_sample,2,gradient_boosted_trees,125096,42.221729280632836,11.143917449784752,208.63811498275354,,,
target_sample,3,gradient_boosted_trees,125096,84.8137925514796,21.210307578865468,314.9384181701843,,,
target_sample,0,traditional_mean3,125096,287.84822323122506,22.33333333333303,818.9813493937369,,,
target_sample,1,traditional_mean3,125096,185.2503410713905,13.33333333333303,521.3153739333679,,,
target_sample,2,traditional_mean3,125096,140.70092835369104,13.0,480.79735637969185,,,
target_sample,3,traditional_mean3,125096,383.1415392978193,23.66666666666697,993.109893974168,,,
stave,B2,gradient_boosted_trees,352852,51.235237508054716,20.009115079031695,257.78826700985644,,,
stave,B4,gradient_boosted_trees,84916,55.30287306682248,29.55547959029501,132.42187370172795,,,
stave,B6,gradient_boosted_trees,44592,42.61006618533677,25.613735779171293,93.37840581908522,,,
stave,B8,gradient_boosted_trees,18024,50.698926642758,25.05833395602849,234.10235973070792,,,
stave,B2,traditional_mean3,352852,236.33400027962622,16.0,747.3095861097333,,,
stave,B4,traditional_mean3,84916,286.5773705779829,30.66666666666697,711.157127069737,,,
stave,B6,traditional_mean3,44592,254.38993541442406,24.33333333333303,646.8573034743345,,,
stave,B8,traditional_mean3,18024,313.11865660600677,23.66666666666697,800.0583063189132,,,
amplitude_bin,1000-1500,gradient_boosted_trees,46688,74.3944366905404,35.1137955415003,211.24018054870024,,,
amplitude_bin,1500-2500,gradient_boosted_trees,99436,54.28010368034612,25.743575007278928,196.3403390507374,,,
amplitude_bin,2500-4000,gradient_boosted_trees,209088,40.42906019250867,19.969292602417227,139.68749441849482,,,
amplitude_bin,4000-7000,gradient_boosted_trees,123432,48.13937662238125,19.825815754799805,208.811376031681,,,
amplitude_bin,>=7000,gradient_boosted_trees,21740,106.83190419172783,22.478626441727684,709.252303221072,,,
amplitude_bin,1000-1500,traditional_mean3,46688,442.5223326479324,129.33333333333394,932.3832484039342,,,
amplitude_bin,1500-2500,traditional_mean3,99436,352.36895423522,28.0,848.7259552558148,,,
amplitude_bin,2500-4000,traditional_mean3,209088,188.27061333027245,16.0,608.7025523906085,,,
amplitude_bin,4000-7000,traditional_mean3,123432,198.50716723918163,14.66666666666697,708.510525359956,,,
amplitude_bin,>=7000,traditional_mean3,21740,236.77233977307571,16.33333333333303,923.7674480784697,,,
peak_phase_bin,5-7,gradient_boosted_trees,261320,46.82568712761152,22.041025202389115,164.41721948045915,,,
peak_phase_bin,8-11,gradient_boosted_trees,170128,16.568478292168827,13.874502368546018,62.1007268994307,,,
peak_phase_bin,early<=4,gradient_boosted_trees,46680,216.28501217081163,198.1900772425139,629.6697546489922,,,
peak_phase_bin,late>=12,gradient_boosted_trees,22256,19.634494808995488,14.325598961407376,62.20564623120071,,,
peak_phase_bin,5-7,traditional_mean3,261320,142.23834634420123,19.33333333333303,432.61816809745164,,,
peak_phase_bin,8-11,traditional_mean3,170128,20.947945076648164,10.0,120.57658435515297,,,
peak_phase_bin,early<=4,traditional_mean3,46680,1778.9565838331905,2282.5000000000005,2158.9990504464376,,,
peak_phase_bin,late>=12,traditional_mean3,22256,42.14977234603403,10.33333333333303,234.98618918174452,,,
pretrigger_spectrum_bin,25-75,gradient_boosted_trees,81788,15.906383938464474,17.523121581943563,24.36049303041195,,,
pretrigger_spectrum_bin,75-200,gradient_boosted_trees,14908,45.58246527101085,48.026241924768655,73.61815467667951,,,
pretrigger_spectrum_bin,ptp<25,gradient_boosted_trees,297580,11.022594929960663,12.106512518514592,16.642988901542314,,,
pretrigger_spectrum_bin,ptp>=200,gradient_boosted_trees,106108,191.5767123930615,177.0762462302947,495.98420906163113,,,
pretrigger_spectrum_bin,25-75,traditional_mean3,81788,17.583769420126835,21.66666666666697,20.97993585660598,,,
pretrigger_spectrum_bin,75-200,traditional_mean3,14908,57.16340220016099,56.66666666666697,68.95568269514307,,,
pretrigger_spectrum_bin,ptp<25,traditional_mean3,297580,5.860714205703785,7.33333333333303,7.35874992265414,,,
pretrigger_spectrum_bin,ptp>=200,traditional_mean3,106108,1137.3220743644843,1358.5866666666702,1595.3977242557344,,,
adaptive_lowering_bin,lowered,gradient_boosted_trees,93028,186.25316578504496,169.23275062962549,511.8542076561999,,,
adaptive_lowering_bin,not_lowered,gradient_boosted_trees,407356,20.281181111923885,14.722449153521666,69.03723986593637,,,
adaptive_lowering_bin,lowered,traditional_mean3,93028,1210.915229823279,1515.3333333333333,1685.082750078944,,,
adaptive_lowering_bin,not_lowered,traditional_mean3,407356,29.616142473250257,11.0,121.82473037177895,,,
anomaly_taxon,adaptive_lowering,gradient_boosted_trees,93028,186.25316578504496,169.23275062962549,511.8542076561999,,,
anomaly_taxon,broad_pretrigger_excursion,gradient_boosted_trees,29420,122.80599732250019,101.85187350789384,246.07233708921245,,,
anomaly_taxon,early_peak,gradient_boosted_trees,220,263.4591355475595,289.44258292829073,337.47842059726975,,,
anomaly_taxon,pretrigger_slope,gradient_boosted_trees,4324,31.136513671663096,33.641237003188955,49.72582393471437,,,
anomaly_taxon,quiet_pretrigger,gradient_boosted_trees,373392,11.934141805031105,13.086789347837112,18.24832572018491,,,
anomaly_taxon,adaptive_lowering,traditional_mean3,93028,1210.915229823279,1515.3333333333333,1685.082750078944,,,
anomaly_taxon,broad_pretrigger_excursion,traditional_mean3,29420,287.60052118740083,251.0,430.8649951745586,,,
anomaly_taxon,early_peak,traditional_mean3,220,1287.3363636363642,469.1933333333336,1536.7349468824145,,,
anomaly_taxon,pretrigger_slope,traditional_mean3,4324,46.48951588035769,39.0,53.918320840253365,,,
anomaly_taxon,quiet_pretrigger,traditional_mean3,373392,8.352807058890745,9.33333333333303,11.78968821174062,,,
group,sample_ii_analysis,gradient_boosted_trees,500384,51.137566987913345,21.944881544056297,229.32146753689756,,,
group,sample_ii_analysis,traditional_mean3,500384,249.23525798853143,18.0,734.8356158293427,,,
timing_target_sample,0,gradient_boosted_trees,18096,,,,0.64347808809724,0.2590075154730327,0.03774314765694076
timing_target_sample,1,gradient_boosted_trees,18098,,,,0.24321188058843585,0.16173057796441595,0.0016576417283677754
timing_target_sample,2,gradient_boosted_trees,18091,,,,0.22670314610080836,0.1814714498922116,0.0021004919573268475
timing_target_sample,3,gradient_boosted_trees,17453,,,,0.38889624148534013,0.24299547355755458,0.043660115739414425
timing_target_sample,0,traditional_mean3,18098,,,,0.21055107853738012,0.14841418941319484,0.0007735661399049619
timing_target_sample,1,traditional_mean3,18098,,,,0.16355942437166981,0.13835782959443033,0.00044203779423140677
timing_target_sample,2,traditional_mean3,18098,,,,0.10722887793970827,0.17604155155265774,0.0006630566913471102
timing_target_sample,3,traditional_mean3,18098,,,,0.1050733840074185,0.10277378715880207,0.0009393303127417395
timing_pair,B4-B6,gradient_boosted_trees,40283,,,,0.26579664091050914,0.22694436859221012,0.024253407144452996
timing_pair,B4-B8,gradient_boosted_trees,15353,,,,0.2743334903717698,0.23076923076923078,0.028658894027225948
timing_pair,B6-B8,gradient_boosted_trees,16102,,,,0.18911666153782833,0.1523413240591231,0.005961992299093281
timing_pair,B4-B6,traditional_mean3,40592,,,,0.11955167089807348,0.1658208513992905,0.0008868742609381159
timing_pair,B4-B8,traditional_mean3,15484,,,,0.12680094795925423,0.17088607594936708,0.0005166623611469904
timing_pair,B6-B8,traditional_mean3,16316,,,,0.05910760462130256,0.05264770777151263,0.00042902672223584214
