run,events,candidate_pretrigger_rows,sampled_rows
31,39990,639840,2500
32,41921,670736,2500
33,57173,914768,2500
34,39765,636240,2500
35,27786,444576,2500
36,21764,348224,2500
37,50513,808208,2500
39,30321,485136,2500
40,32613,521808,2500
41,33997,543952,2500
42,33972,543552,2500
44,4294,68704,2500
45,48181,770896,2500
46,1441,23056,2500
47,10970,175520,2500
48,31713,507408,2500
49,32354,517664,2500
50,44804,716864,2500
51,20569,329104,2500
52,10005,160080,2500
53,39612,633792,2500
54,37413,598608,2500
55,24416,390656,2500
56,51823,829168,2500
57,31284,500544,2500
58,34141,546256,2500
59,42303,676848,2500
60,36074,577184,2500
61,36535,584560,2500
62,37584,601344,2500
63,37030,592480,2500
64,35943,575088,2500
65,38424,614784,2500
