method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95,timing_residual_res68,timing_residual_res68_ci95,shape_error_mae,shape_error_mae_ci95,energy_proxy_bias,energy_proxy_bias_ci95,saturation_sensitivity,pid_leakage_abs_delta,saturation_sensitivity_ci95,pid_leakage_abs_delta_ci95
mlp,167683,0.00039228856563566783,0.014764632463455211,0.051025872791289915,"[0.011687127278447158, 0.020603106342256067]","[-0.000536870360374464, 0.0014337119460105904]","[0.03939318303143195, 0.06370185470167457]",0.014764632463455211,"[0.011687127278447158, 0.020603106342256067]",0.051025872791289915,"[0.03939318303143195, 0.06370185470167457]",0.00039228856563566783,"[-0.000536870360374464, 0.0014337119460105904]",-0.007843474519252791,0.014414040138106925,"[-0.0136410304814577, -0.003627555013298979]","[0.00927192303190761, 0.02173258922572995]"
traditional_clipped_template,167683,0.0007629552563180875,0.02869313668007433,0.14168626178262286,"[0.026157457685863167, 0.031077491650455178]","[-0.00028940785018237577, 0.0019524247184340509]","[0.11058366213362754, 0.17417871995897563]",0.02869313668007433,"[0.026157457685863167, 0.031077491650455178]",0.14168626178262286,"[0.11058366213362754, 0.17417871995897563]",0.0007629552563180875,"[-0.00028940785018237577, 0.0019524247184340509]",0.006925846227626459,0.13638567933440965,"[0.004832465872177057, 0.00928863639508561]","[0.09784394837094501, 0.17152694968894444]"
gradient_boosted_trees,167683,-0.012312542613999056,0.03243900732053569,0.07715276951252414,"[0.02994646155782821, 0.03556308902329309]","[-0.013843501256930861, -0.010964340001563733]","[0.061945117736054045, 0.09323754604589587]",0.03243900732053569,"[0.02994646155782821, 0.03556308902329309]",0.07715276951252414,"[0.061945117736054045, 0.09323754604589587]",-0.012312542613999056,"[-0.013843501256930861, -0.010964340001563733]",-0.002432370122775942,0.03700599526539785,"[-0.004400659940979506, 0.0007853677013493531]","[0.02994544028259186, 0.04475039044632177]"
1d_cnn,167683,-0.0032300943136215343,0.036791129708290085,0.08704581852686794,"[0.03227954020515084, 0.043416690986454474]","[-0.009868157725781231, 0.0022570995986461494]","[0.07088963478984972, 0.10349316573241654]",0.036791129708290085,"[0.03227954020515084, 0.043416690986454474]",0.08704581852686794,"[0.07088963478984972, 0.10349316573241654]",-0.0032300943136215343,"[-0.009868157725781231, 0.0022570995986461494]",-0.004882795834541334,0.011213423036375906,"[-0.011260242037177083, 0.0001335888582467804]","[0.0008623291615916268, 0.021191607235063126]"
charge_tail_integration,167683,0.0035978956998999057,0.04706393836359602,0.20781072731022598,"[0.04257774814847286, 0.05321892366493294]","[-0.005134980255773494, 0.011762452157305921]","[0.15541102345829336, 0.26437855539681393]",0.04706393836359602,"[0.04257774814847286, 0.05321892366493294]",0.20781072731022598,"[0.15541102345829336, 0.26437855539681393]",0.0035978956998999057,"[-0.005134980255773494, 0.011762452157305921]",0.004780537800556796,0.08512185115157135,"[-0.003696401060173408, 0.011966571423260835]","[0.033753607409758135, 0.14820081766799484]"
waveform_transformer,167683,-0.020317732095718383,0.050060551178455384,0.09235674360238115,"[0.04398964464038611, 0.056792700994312766]","[-0.023932292789220794, -0.016964024726301447]","[0.07788357884441008, 0.10825077161076649]",0.050060551178455384,"[0.04398964464038611, 0.056792700994312766]",0.09235674360238115,"[0.07788357884441008, 0.10825077161076649]",-0.020317732095718383,"[-0.023932292789220794, -0.016964024726301447]",-0.018457874059677123,0.009970097887715822,"[-0.02231613100409507, -0.013102571753561503]","[0.0026540228581410333, 0.01560938909163281]"
birks_huber_saturation,167683,-0.008088341038832741,0.05039580497441574,0.23755959715673067,"[0.04266079691200359, 0.05783409344020262]","[-0.013891341927197872, -0.004153764864788162]","[0.17621821872653207, 0.30143541599406576]",0.05039580497441574,"[0.04266079691200359, 0.05783409344020262]",0.23755959715673067,"[0.17621821872653207, 0.30143541599406576]",-0.008088341038832741,"[-0.013891341927197872, -0.004153764864788162]",-0.020278809881880702,0.11194863377589913,"[-0.02557969436870488, -0.013240326130247707]","[0.05463961770135792, 0.18499523256921185]"
gated_residual_cnn,167683,0.011386588811874376,0.06378184584379198,0.11552059571626996,"[0.05609603048115974, 0.07278279475197197]","[0.007792452231049525, 0.014448831554502235]","[0.09435308891295723, 0.13535209987869584]",0.06378184584379198,"[0.05609603048115974, 0.07278279475197197]",0.11552059571626996,"[0.09435308891295723, 0.13535209987869584]",0.011386588811874376,"[0.007792452231049525, 0.014448831554502235]",-0.02104084079265598,0.01623617227369,"[-0.028441181544363477, -0.012524044173061875]","[0.00682357420932611, 0.02633515750541716]"
ridge,167683,0.017675238895649925,0.1565111758012436,0.20698422766463082,"[0.1285320258008764, 0.1887742856748096]","[0.004144033165545964, 0.0317556507211]","[0.1681123773369824, 0.24008024433808722]",0.1565111758012436,"[0.1285320258008764, 0.1887742856748096]",0.20698422766463082,"[0.1681123773369824, 0.24008024433808722]",0.017675238895649925,"[0.004144033165545964, 0.0317556507211]",-0.06358253981373198,0.036866361964251394,"[-0.10311631613677555, -0.033033253299477976]","[0.00784298203007793, 0.05712823313646359]"
