method,taxon,metric,ci_low,ci_high
traditional_p09a_frozen_template,novel_delayed_peak,timing_tail_enrichment,0.0,0.0
traditional_p09a_frozen_template,novel_delayed_peak,charge_bias_delta,-4.953449487686157,-4.65216064453125
traditional_p09a_frozen_template,novel_delayed_peak,baseline_excursion_rate,0.0,0.0
traditional_p09a_frozen_template,novel_delayed_peak,pileup_score_delta,14.599859688793229,14.701943006829968
traditional_p09a_frozen_template,novel_delayed_peak,target_stratum_ap,0.4238880201326785,0.4507833252861796
traditional_p09a_frozen_template,novel_delayed_peak,recover_veto_ap,0.13139871662826796,0.1543075324259026
traditional_p09a_frozen_template,novel_broad_template_mismatch,timing_tail_enrichment,0.0,0.0
traditional_p09a_frozen_template,novel_broad_template_mismatch,charge_bias_delta,2.11159610748291,2.2198660373687744
traditional_p09a_frozen_template,novel_broad_template_mismatch,baseline_excursion_rate,0.0,0.0
traditional_p09a_frozen_template,novel_broad_template_mismatch,pileup_score_delta,-0.21703437592743613,0.6678027843342553
traditional_p09a_frozen_template,novel_broad_template_mismatch,target_stratum_ap,0.02610534225912248,0.09700195988955436
traditional_p09a_frozen_template,novel_broad_template_mismatch,recover_veto_ap,0.011904761904761904,0.06
traditional_p09a_frozen_template,combined_target_taxa,timing_tail_enrichment,0.0,0.0
traditional_p09a_frozen_template,combined_target_taxa,charge_bias_delta,-4.560689806938171,-4.435710430145264
traditional_p09a_frozen_template,combined_target_taxa,baseline_excursion_rate,0.0,0.0
traditional_p09a_frozen_template,combined_target_taxa,pileup_score_delta,14.47512071716078,14.645940949691214
traditional_p09a_frozen_template,combined_target_taxa,target_stratum_ap,0.4198968251276931,0.46808591567985913
traditional_p09a_frozen_template,combined_target_taxa,recover_veto_ap,0.12299416724490683,0.1476928604780686
ml_pca_ae_latent_isolation,novel_delayed_peak,timing_tail_enrichment,0.0,0.0
ml_pca_ae_latent_isolation,novel_delayed_peak,charge_bias_delta,-4.953449487686157,-4.65216064453125
ml_pca_ae_latent_isolation,novel_delayed_peak,baseline_excursion_rate,0.0,0.0
ml_pca_ae_latent_isolation,novel_delayed_peak,pileup_score_delta,14.599859688793229,14.701943006829968
ml_pca_ae_latent_isolation,novel_delayed_peak,target_stratum_ap,0.7505165730452381,0.8291529433961429
ml_pca_ae_latent_isolation,novel_delayed_peak,recover_veto_ap,0.18579807113999985,0.20834654810997538
ml_pca_ae_latent_isolation,novel_broad_template_mismatch,timing_tail_enrichment,0.0,0.0
ml_pca_ae_latent_isolation,novel_broad_template_mismatch,charge_bias_delta,2.11159610748291,2.2198660373687744
ml_pca_ae_latent_isolation,novel_broad_template_mismatch,baseline_excursion_rate,0.0,0.0
ml_pca_ae_latent_isolation,novel_broad_template_mismatch,pileup_score_delta,-0.21703437592743613,0.6678027843342553
ml_pca_ae_latent_isolation,novel_broad_template_mismatch,target_stratum_ap,0.05207712537399855,0.08331174973078356
ml_pca_ae_latent_isolation,novel_broad_template_mismatch,recover_veto_ap,1.0,1.0
ml_pca_ae_latent_isolation,combined_target_taxa,timing_tail_enrichment,0.0,0.0
ml_pca_ae_latent_isolation,combined_target_taxa,charge_bias_delta,-4.560689806938171,-4.435710430145264
ml_pca_ae_latent_isolation,combined_target_taxa,baseline_excursion_rate,0.0,0.0
ml_pca_ae_latent_isolation,combined_target_taxa,pileup_score_delta,14.47512071716078,14.645940949691214
ml_pca_ae_latent_isolation,combined_target_taxa,target_stratum_ap,0.739620223479461,0.8064566610165799
ml_pca_ae_latent_isolation,combined_target_taxa,recover_veto_ap,0.1913936295596967,0.20781639821170733
