window,best_artificial_method,best_res68_abs_frac,best_res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95,tail_delta,tail_delta_ci95,adoptable
w2_8,gbr_masked,0.08120972878215624,"[0.07932581229244448, 0.08295661889138492]",0.029168391594658696,"[0.0240264131253684, 0.033155229339852106]",0.780679551738468,"[0.7723610837432571, 0.7880543739809774]",0.028075190575190572,"[-0.007593307593307611, 0.07877190377190375]",False
w3_7,gbr_masked,0.09575442489812465,"[0.09411505348005499, 0.09713279786497006]",0.03254229025943558,"[0.02542207855988171, 0.03970140356715873]",0.7065128376596481,"[0.6975363657861466, 0.7187941135320742]",0.013568376068376067,"[-0.012698412698412717, 0.04189560439560442]",False
w4_6,gbr_masked,0.09694473393136552,"[0.094117845993417, 0.09957148331683842]",0.029797614424734616,"[0.022358002239310427, 0.037843250020047216]",0.6982031872836366,"[0.6814166819142161, 0.715230915173917]",0.005846368346368346,"[-0.026769626769626798, 0.04189560439560442]",False
w3_5,gbr_masked,0.10716485451259018,"[0.10060311519990857, 0.11285814997912366]",0.028279610186630295,"[0.019436561489198288, 0.03568751901510337]",0.6461518988214024,"[0.6167856603864816, 0.6779747756225879]",-0.007844107844107844,"[-0.04105534105534108, 0.02524502524502527]",False
w5_7,gbr_masked,0.11118941247903028,"[0.10895695593288784, 0.11323206494333199]",0.026282589852287826,"[0.018182392378032094, 0.0335054707081913]",0.623324056520808,"[0.6095905144611824, 0.6357385256896071]",0.021848084348084367,"[0.0019305019305019425, 0.045906964656964686]",False
s6,gbr_masked,0.13103407153135554,"[0.12992095487626762, 0.13218735410788454]",0.014309586570634211,"[0.0058584762728699944, 0.020816191112866544]",0.5207215072305134,"[0.5160409800993676, 0.5246865021380119]",0.007921657921657934,"[-0.012698412698412717, 0.03389957264957266]",False
s5,mlp_masked,0.14003976624367123,"[0.13382523210543004, 0.1452231795779677]",0.020342040986090718,"[-0.000316222682771525, 0.03774633963571624]",0.5076018451375706,"[0.4854211346916501, 0.5294225731686736]",0.010989010989010997,"[0.0, 0.032967032967032996]",False
s7,gbr_masked,0.14062456466007583,"[0.13794326722784853, 0.14297761567856015]",0.013923016363935318,"[0.002530375769252872, 0.025279228426107535]",0.48849522911230536,"[0.47651392114054764, 0.5023403573997779]",0.006913506913506927,"[-0.01587301587301588, 0.033642708642708616]",False
w2_4,gbr_masked,0.1428724493491769,"[0.1403780889163982, 0.14527322432423515]",0.02621154407910737,"[0.010644175912098918, 0.040922747666277653]",0.48095585983564637,"[0.47075380123803434, 0.4902567314275501]",0.0176814176814177,"[-0.004418704418704416, 0.042615995115995134]",False
s4,gbr_masked,0.1445335210250321,"[0.14237336208999227, 0.14673012732058285]",0.01834869645452755,"[0.002520242818577549, 0.032313909395724906]",0.47109521886596245,"[0.46385237678991437, 0.47821436691670793]",0.016094116094116102,"[-0.009523809523809554, 0.04090354090354093]",False
s3,mlp_masked,0.14525342799193292,"[0.14218079412778778, 0.1482445076576693]",0.007866645651298246,"[-0.01420590973898781, 0.026333965133879447]",0.46836962826275,"[0.4559751369723107, 0.4797566548892432]",-0.0031746031746031794,"[-0.009523809523809537, 0.0]",False
