window,method,res68_abs_frac,res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95
s3,gbr_masked,0.14702093859210622,"[0.1451623021070243, 0.1490124124562269]",0.01778634073544829,"[0.0019518908133882643, 0.03199540658373]",0.46192549337415273,"[0.45152161508703836, 0.47202917257770954]"
s3,mlp_masked,0.14525342799193292,"[0.14218079412778778, 0.1482445076576693]",0.007866645651298246,"[-0.01420590973898781, 0.026333965133879447]",0.46836962826275,"[0.4559751369723107, 0.4797566548892432]"
s3,observed_ceiling,0.2675531010991482,"[0.25788150014850725, 0.27701675622900906]",-0.20765416762119807,"[-0.21872639738130456, -0.19781812354831388]",0.168724981153133,"[0.14999854181621847, 0.18483814110147417]"
s3,traditional_template,10.815387781799148,"[4.214793311841956, 20.87925757062165]",0.6810230120712147,"[-0.05756334112435256, 1.8927319626268462]",0.08973450439964707,"[0.08094455441426322, 0.09824971060362774]"
s4,gbr_masked,0.1445335210250321,"[0.14237336208999227, 0.14673012732058285]",0.01834869645452755,"[0.002520242818577549, 0.032313909395724906]",0.47109521886596245,"[0.46385237678991437, 0.47821436691670793]"
s4,mlp_masked,0.14614154855347192,"[0.14227430094195317, 0.15000852616250718]",0.01701051658235512,"[-0.006777634056768613, 0.0373120985057406]",0.46876644348257585,"[0.45350122496110945, 0.48410787901949714]"
s4,observed_ceiling,0.2675531010991482,"[0.2583952344508313, 0.2786297512198631]",-0.20765416762119807,"[-0.2178620049674811, -0.19744114960369596]",0.168724981153133,"[0.15009217956169876, 0.1842100423054377]"
s4,traditional_template,1.580436920214923,"[0.9054395077171744, 2.471246321937927]",-0.02063863557922849,"[-0.0821527850136913, 0.0508739687515042]",0.1176857289961193,"[0.10762070139476641, 0.12739209184516084]"
s5,gbr_masked,0.1400992702968568,"[0.13708389329542287, 0.1432434273662391]",0.019270826106875315,"[0.00479655577497104, 0.032821898208659994]",0.4855531551509185,"[0.4721394994155753, 0.49701204934139087]"
s5,mlp_masked,0.14003976624367123,"[0.13382523210543004, 0.1452231795779677]",0.020342040986090718,"[-0.000316222682771525, 0.03774633963571624]",0.5076018451375706,"[0.4854211346916501, 0.5294225731686736]"
s5,observed_ceiling,0.2675531010991482,"[0.2584414885581801, 0.2769718585081973]",-0.20765416762119807,"[-0.21903738864234845, -0.19660446528046902]",0.168724981153133,"[0.15240517641188023, 0.1848257073000229]"
s5,traditional_template,0.3670617280983114,"[0.3350245705921343, 0.4066510813043628]",-0.0889757784843426,"[-0.11858022384189344, -0.05217321245989328]",0.15178817626320704,"[0.14181329915603355, 0.1630163510912817]"
s6,gbr_masked,0.13103407153135554,"[0.12992095487626762, 0.13218735410788454]",0.014309586570634211,"[0.0058584762728699944, 0.020816191112866544]",0.5207215072305134,"[0.5160409800993676, 0.5246865021380119]"
s6,mlp_masked,0.14071281390843463,"[0.13474075541461916, 0.1479551160756048]",0.008691204980533156,"[-0.00820487093048902, 0.02495312095766264]",0.5018054930203841,"[0.4888292235150926, 0.5141081032001675]"
