method,family,n,pid_auc,pid_balanced_error,energy_bias_frac,energy_sigma68_frac,energy_mae_mev,timing_bias_ns,timing_sigma68_ns,pid_auc_ci95,energy_sigma68_ci95,energy_bias_ci95,timing_sigma68_ns_ci95,winner_score
mlp,neural_tabular,248783,0.9999567209484314,0.0006045295333700906,0.0150909799814211,0.019060559836840758,0.10499245974752316,-0.10567999335720835,0.06841378319890358,"[0.999933693200137, 0.9999780508362203]","[0.01336032812080388, 0.03096869745132855]","[0.014546927533683007, 0.01607589391810119]","[0.05066146946307104, 0.09989001571458954]",0.021387754148546063
gradient_boosted_trees,tree_ml,248783,0.9998412555605212,0.0017874674187032813,-0.01057847867342606,0.04927344739077513,0.18183360558211717,0.04715944656143556,0.8461096170100024,"[0.9997924311612983, 0.9998844656855276]","[0.04120030442746454, 0.062070576362553344]","[-0.016455504030724637, 0.004160503822293514]","[0.5721737409481742, 0.8960575915751479]",0.05921925598050209
pedestal_tail_fusion_new,new_hybrid,248783,0.9998496418700286,0.001764143942269314,-0.014874717690615194,0.13191482897039833,0.3311854472231967,-0.01124190480004117,0.3349010619577241,"[0.999790884871895, 0.9998918968671121]","[0.09979722722472525, 0.1785583296877367]","[-0.0242144155214215, 0.008055270703060566]","[0.22381564840971505, 0.511834182546023]",0.13716629108034892
ridge,linear_ml,248783,0.994877967658899,0.046665495444849436,-0.024978671540886874,0.1324137131406336,0.335064987056215,0.08205497684880214,0.9253471000023089,"[0.9940663219032042, 0.9953847725291562]","[0.10092726530699979, 0.17427502597366487]","[-0.040063747321788815, 0.002033288334217799]","[0.8336546222015697, 1.169334674505782]",0.15628690795257377
traditional_charge_ratio_template,traditional,248783,0.9968660277793355,0.007566100613294324,-0.01885218324492089,0.03276027493272526,0.25722690395904296,0.0,15.0,"[0.9962391040813356, 0.9974941826167311]","[0.026830725640317597, 0.06283621117112426]","[-0.024350963929977612, -0.014261389632390237]","[10.0, 15.0]",0.18891438056987597
1d_cnn,neural_waveform,248783,0.9938276952251933,0.07515760301629326,0.03707087861570432,0.1676748058218097,0.508655772005883,-1.332540512084961,6.953363132476809,"[0.9917031843026988, 0.9947418137311782]","[0.1560455155430356, 0.2003891169610583]","[-0.02704499341188159, 0.054928141407321995]","[6.149362807869911, 7.526534514427184]",0.2583614702353989
tiny_transformer_multitask,sequence_nn_new,248783,0.9929587581533826,0.16706348361120082,0.054180449383209685,0.19616187163936388,0.5653318805400109,0.5284976959228516,6.770150279998779,"[0.9888601746733342, 0.994642232548216]","[0.17454966086325413, 0.21754550528772093]","[-0.045264453293745815, 0.09663931054242893]","[5.6131290292739875, 7.365607862472532]",0.3013821837659702
