method,estimator,n_shared_cells,n_b2_covariances,n_downstream_covariances,b2_signed_cov_ns2,downstream_signed_cov_ns2,b2_minus_downstream_cov_ns2,inferred_correlated_fraction,left_out_run
downstream_only_control,winsor_mad,54,162,162,41.03754313061448,0.5364331035276884,40.501110027086796,0.9869282354009273,45
downstream_only_control,winsor_mad,56,168,168,43.33377051316872,0.5323698099790729,42.80140070318965,0.9877146667904818,48
downstream_only_control,winsor_mad,56,168,168,43.33377051316872,0.5323698099790729,42.80140070318965,0.9877146667904818,49
downstream_only_control,winsor_mad,55,165,165,40.52761233711445,0.5309695302361158,39.996642806878334,0.986898573599169,50
downstream_only_control,winsor_mad,55,165,165,41.97793837768812,0.5202151944810371,41.45772318320708,0.9876074144041923,51
downstream_only_control,winsor_mad,56,168,168,43.33377051316872,0.5323698099790729,42.80140070318965,0.9877146667904818,52
downstream_only_control,winsor_mad,54,162,162,37.86105365560698,0.5239795526273905,37.33707410297959,0.9861604603666441,53
downstream_only_control,winsor_mad,54,162,162,40.80048920721997,0.5162228123721361,40.28426639484783,0.9873476317955329,54
downstream_only_control,winsor_mad,55,165,165,41.68298120305771,0.5305130376551209,41.15246816540259,0.9872726704678166,55
downstream_only_control,winsor_mad,54,162,162,35.50013860578832,0.5218839533405815,34.97825465244774,0.9852991009658906,56
downstream_only_control,winsor_mad,56,168,168,43.33377051316872,0.5323698099790729,42.80140070318965,0.9877146667904818,57
downstream_only_control,winsor_mad,54,162,162,42.966726691854156,0.5180247919852546,42.4487018998689,0.9879435825842543,58
downstream_only_control,winsor_mad,47,141,141,45.074055237067945,0.5578667039935135,44.516188533074434,0.9876233300718251,59
downstream_only_control,winsor_mad,47,141,141,53.21356362466542,0.5423208975514249,52.67124272711399,0.9898085965191767,60
downstream_only_control,winsor_mad,47,141,141,56.172405159272444,0.5117250903606553,55.66068006891179,0.9908900982802908,61
downstream_only_control,winsor_mad,48,144,144,51.305715063371366,0.5754861758246361,50.73022888754673,0.9887831954955932,62
downstream_only_control,winsor_mad,49,147,147,41.65728607761695,0.5469650057323895,41.11032107188456,0.9868698838250464,63
downstream_only_control,winsor_mad,55,165,165,43.53509915372484,0.5322468239728021,43.00285232975204,0.9877743054611312,65
ml_no_b2_local,winsor_mad,54,162,162,9.384411398256299,0.557884670472985,8.826526727783314,0.9405519806413597,45
ml_no_b2_local,winsor_mad,56,168,168,9.45025672580888,0.5534346103573143,8.896822115451565,0.9414370819317669,48
ml_no_b2_local,winsor_mad,56,168,168,9.45025672580888,0.5534346103573143,8.896822115451565,0.9414370819317669,49
ml_no_b2_local,winsor_mad,55,165,165,9.415135268210346,0.5514238167729864,8.863711451437359,0.9414321939022122,50
ml_no_b2_local,winsor_mad,55,165,165,9.36288921471298,0.5447887824126989,8.818100432300282,0.9418140309129569,51
ml_no_b2_local,winsor_mad,56,168,168,9.45025672580888,0.5534346103573143,8.896822115451565,0.9414370819317669,52
ml_no_b2_local,winsor_mad,54,162,162,9.367452522467596,0.5441023597240987,8.823350162743498,0.9419156533306059,53
ml_no_b2_local,winsor_mad,54,162,162,9.401733991935222,0.5377078818307186,8.864026110104504,0.9428075839741943,54
ml_no_b2_local,winsor_mad,55,165,165,9.350391674396276,0.5519748089542388,8.798416865442038,0.9409677339543236,55
ml_no_b2_local,winsor_mad,54,162,162,9.351058400057926,0.5138804716225254,8.837177928435402,0.9450457424563469,56
ml_no_b2_local,winsor_mad,56,168,168,9.45025672580888,0.5534346103573143,8.896822115451565,0.9414370819317669,57
ml_no_b2_local,winsor_mad,54,162,162,9.484462338891673,0.5419778396075093,8.942484499284163,0.9428562400015978,58
ml_no_b2_local,winsor_mad,47,141,141,8.794519143990954,0.5937904137260671,8.200728730264887,0.9324817646077004,59
ml_no_b2_local,winsor_mad,47,141,141,9.911330111594824,0.5695812217750287,9.341748889819796,0.9425323124785542,60
ml_no_b2_local,winsor_mad,47,141,141,10.465412684085477,0.5291123242880468,9.93630035979743,0.9494418098683622,61
ml_no_b2_local,winsor_mad,48,144,144,10.113834284841506,0.6054310599742524,9.508403224867253,0.9401383250977658,62
ml_no_b2_local,winsor_mad,49,147,147,8.692460995312654,0.5696095943309789,8.122851400981675,0.9344708484009147,63
ml_no_b2_local,winsor_mad,55,165,165,9.48132278388508,0.5533656986464532,8.927957085238626,0.9416362345993555,65
ml_shuffled_run_control,winsor_mad,54,162,162,126.0245670770015,2.0398633409012015,123.9847037361003,0.9838137643460038,45
ml_shuffled_run_control,winsor_mad,56,168,168,133.01075435535404,2.037808599241996,130.97294575611204,0.9846793696560975,48
ml_shuffled_run_control,winsor_mad,56,168,168,133.01075435535404,2.037808599241996,130.97294575611204,0.9846793696560975,49
ml_shuffled_run_control,winsor_mad,55,165,165,119.43108232386227,2.030744689024367,117.40033763483791,0.9829965143954941,50
ml_shuffled_run_control,winsor_mad,55,165,165,127.43493882107401,2.044129197794469,125.39080962327954,0.9839594288920674,51
ml_shuffled_run_control,winsor_mad,56,168,168,133.01075435535404,2.037808599241996,130.97294575611204,0.9846793696560975,52
ml_shuffled_run_control,winsor_mad,54,162,162,111.09273339763506,2.052786891123232,109.03994650651182,0.9815218617065108,53
ml_shuffled_run_control,winsor_mad,54,162,162,118.67100142576011,2.0144213390111525,116.65658008674896,0.9830251593497223,54
ml_shuffled_run_control,winsor_mad,55,165,165,126.02524524797181,2.0325878585059076,123.9926573894659,0.9838715818048478,55
ml_shuffled_run_control,winsor_mad,54,162,162,110.88369249032804,2.0228057514386277,108.86088673888942,0.9817574098949216,56
ml_shuffled_run_control,winsor_mad,56,168,168,133.01075435535404,2.037808599241996,130.97294575611204,0.9846793696560975,57
ml_shuffled_run_control,winsor_mad,54,162,162,132.072800084242,1.98378201588837,130.08901806835362,0.9849796323344168,58
ml_shuffled_run_control,winsor_mad,47,141,141,149.80631984651947,2.0397009950187424,147.76661885150074,0.9863844129065552,59
ml_shuffled_run_control,winsor_mad,47,141,141,164.29678610228905,2.124358220732792,162.17242788155625,0.9870699952742216,60
ml_shuffled_run_control,winsor_mad,47,141,141,172.4764588742184,1.9431125553545883,170.5333463188638,0.9887340419206331,61
ml_shuffled_run_control,winsor_mad,48,144,144,160.37944313280417,2.14794568480038,158.23149744800378,0.9866071009922278,62
ml_shuffled_run_control,winsor_mad,49,147,147,133.66902571976775,2.0346053308692458,131.6344203888985,0.9847787823700105,63
ml_shuffled_run_control,winsor_mad,55,165,165,133.65610256965647,2.0358013132718864,131.62030125638458,0.9847683624306574,65
ml_with_b2_local,winsor_mad,54,162,162,3.8910261719885257,0.3913886013554739,3.499637570633052,0.8994124983858813,45
ml_with_b2_local,winsor_mad,56,168,168,3.9360526508046325,0.38391067373508847,3.552141977069544,0.9024630237970503,48
ml_with_b2_local,winsor_mad,56,168,168,3.9360526508046325,0.38391067373508847,3.552141977069544,0.9024630237970503,49
ml_with_b2_local,winsor_mad,55,165,165,3.907744331416999,0.3810180044874058,3.526726326929593,0.9024966906293883,50
ml_with_b2_local,winsor_mad,55,165,165,3.8387477920527466,0.3753010073049037,3.463446784747843,0.9022334814280117,51
ml_with_b2_local,winsor_mad,56,168,168,3.9360526508046325,0.38391067373508847,3.552141977069544,0.9024630237970503,52
ml_with_b2_local,winsor_mad,54,162,162,3.9143287181586546,0.3788262486051397,3.535502469553515,0.9032206347801714,53
ml_with_b2_local,winsor_mad,54,162,162,3.9148786386396086,0.3774537915786981,3.5374248470609104,0.9035848039187594,54
ml_with_b2_local,winsor_mad,55,165,165,3.812021450913615,0.3818112006269573,3.430210250286658,0.8998402276735746,55
ml_with_b2_local,winsor_mad,54,162,162,3.8528434606055586,0.3620561262599228,3.4907873343456357,0.9060288511687891,56
ml_with_b2_local,winsor_mad,56,168,168,3.9360526508046325,0.38391067373508847,3.552141977069544,0.9024630237970503,57
ml_with_b2_local,winsor_mad,54,162,162,3.9699768695772644,0.3771822131599446,3.5927946564173197,0.9049913323046368,58
ml_with_b2_local,winsor_mad,47,141,141,3.308661466215658,0.38678888236534664,2.9218725838503112,0.8830980786898868,59
ml_with_b2_local,winsor_mad,47,141,141,4.5446487181481325,0.39906985760912583,4.145578860539007,0.9121890640269904,60
ml_with_b2_local,winsor_mad,47,141,141,4.774983087940545,0.37462889765548846,4.400354190285057,0.9215434084778997,61
ml_with_b2_local,winsor_mad,48,144,144,4.117294277132588,0.4188930450532117,3.6984012320793767,0.8982601152947121,62
ml_with_b2_local,winsor_mad,49,147,147,3.5113873681623335,0.39637545510919237,3.115011913053141,0.8871171381707642,63
ml_with_b2_local,winsor_mad,55,165,165,3.9451637230996983,0.3832159055307546,3.5619478175689436,0.9028643847435402,65
raw_pair_median,median_centered,54,162,162,175.7210778960548,11.497190757606065,164.22388713844873,0.9345713622107016,45
raw_pair_median,median_centered,56,168,168,186.65604130701382,11.404263912866488,175.25177739414733,0.9389022512584597,48
raw_pair_median,median_centered,56,168,168,186.65604130701382,11.404263912866488,175.25177739414733,0.9389022512584597,49
raw_pair_median,median_centered,55,165,165,171.6155522342694,11.4803810372153,160.1351711970541,0.9331040754305086,50
raw_pair_median,median_centered,55,165,165,180.494582420953,11.442806978024779,169.05177544292823,0.9366030446756699,51
raw_pair_median,median_centered,56,168,168,186.65604130701382,11.404263912866488,175.25177739414733,0.9389022512584597,52
raw_pair_median,median_centered,54,162,162,165.56339255348462,11.525563530164733,154.0378290233199,0.9303857975340688,53
raw_pair_median,median_centered,54,162,162,171.67209158490084,11.458619551444768,160.21347203345607,0.9332528692016437,54
raw_pair_median,median_centered,55,165,165,180.29930438807563,11.459582144983399,168.83972224309224,0.9364413402265944,55
raw_pair_median,median_centered,54,162,162,164.40907579575128,11.548538909927002,152.86053688582427,0.9297572907454696,56
raw_pair_median,median_centered,56,168,168,186.65604130701382,11.404263912866488,175.25177739414733,0.9389022512584597,57
