heldout_run,train_rows,downstream_train_rows
44,65315,21483
45,63697,21034
46,65471,21525
47,65328,21484
48,64386,21222
49,64298,21206
50,64195,21193
51,64868,21354
52,65172,21433
53,64364,21221
54,64431,21247
55,64728,21311
56,63815,21068
57,64263,21181
58,64277,21175
59,54297,17775
60,54960,17828
61,53629,17283
62,54548,17695
63,59668,19712
65,63970,21130
