method,metric,bootstrap_unit,value,ci_low,ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
hierarchical_shared_bins,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.3581112507159523,1.0597047202841687,1.50131393440301,11460,1.0349791728628333,1.3581112507159523,2.5534715026276893,0.017975567190226877,1.3291088945169884,86.05967257198823
gradient_boosted_trees,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.4958192089814728,1.342097242676383,1.7075430254207948,11460,1.517796932773667,1.4958192089814728,2.3316992766504576,0.015357766143106457,1.5980349661464452,31.84775522288298
topology_only_control,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.5335061330467887,1.2596117232401234,1.9209140109627523,11460,1.6873293373546971,1.5335061330467887,2.7009947527723623,0.02207678883071553,1.7190142997553528,83.83722399155796
analytic_amp_ridge,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.5510917109777833,1.3589773389714803,1.8326280425405692,11460,1.49475129012459,1.5510917109777833,2.6669889969286347,0.019109947643979056,1.6213842800051415,47.01860845754314
amplitude_only_control,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.5615102379099093,1.3755466556200255,1.8548465958730347,11460,1.505959638437588,1.5615102379099093,2.6695618519991586,0.018237347294938918,1.6928405011418286,41.30364675795525
ridge,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.6012679786540258,1.4461045155953467,1.9082586217631874,11460,1.4446939114898711,1.6012679786540258,2.6075922469968873,0.015706806282722512,1.608537408823564,17.11372191451578
mlp,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.6347278511523686,1.4671096180040664,1.8202155063201966,11460,1.4832129733954318,1.6347278511523686,2.3769342362733816,0.012565445026178011,1.6288345715532628,11.686026841187786
monotone_binned,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,1.6451494274970766,1.3255856505466923,1.9634344437311906,11460,1.4256597686321761,1.6451494274970766,2.7160339836912515,0.019458987783595113,1.740123737064185,116.70364713759763
template_phase_base,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,2.7414145300852155,2.68944645179862,2.992319268962799,11460,-3.7226235857461702,2.7414145300852155,3.308372978304417,0.08132635253054102,1.4378711374428605,145.19549907160268
shuffled_residual_hgb_control,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,2.786453036381149,2.703513027082291,2.939024421877989,11460,-3.521695729140312,2.786453036381149,3.320649032114275,0.07643979057591622,0.8531632028731423,83.50927195699734
cnn,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,2.8033360439348023,2.667896228511338,2.93360406753224,11460,-2.4043075826779265,2.8033360439348023,3.2912453158702353,0.061605584642233854,135.09998711502334,51.74011389390305
tcn_new_architecture,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,2.8035169894005785,2.655870150721572,2.9236205233271324,11460,-2.4064186748877354,2.8035169894005785,3.2919630575889665,0.0618673647469459,156.5719341956635,51.83218541431555
