heldout_run,method,stave,n_pulses,monotonicity_violation_fraction,low_amp_pred_median_ns,high_amp_pred_median_ns
58,analytic_amp_ridge,B4,73,0.2361111111111111,-4.071179772358892,-4.236912683317854
58,analytic_amp_ridge,B6,73,0.18055555555555555,2.5791681033296143,2.395098285254541
58,analytic_amp_ridge,B8,73,0.08333333333333333,1.8976207488594952,1.2013364211839814
58,monotone_binned,B4,73,0.25,-4.1767157118730935,-4.1767157118730935
58,monotone_binned,B6,73,0.0,2.6428031039120583,2.6428031039120583
58,monotone_binned,B8,73,0.0,1.5339126079610423,0.7857009981998466
58,hierarchical_shared_bins,B4,73,0.0,-3.56916942865604,-3.573454380647154
58,hierarchical_shared_bins,B6,73,0.0,2.5120635348535374,2.4320519011718367
58,hierarchical_shared_bins,B8,73,0.0,1.499805461010537,1.4491474897923928
58,ridge,B4,73,0.4861111111111111,-4.255945205688477,-4.027491092681885
58,ridge,B6,73,0.4444444444444444,2.5975890159606934,2.596181869506836
58,ridge,B8,73,0.5,2.4619617462158203,1.121032953262329
58,gradient_boosted_trees,B4,73,0.5,-4.177786678369407,-4.065483517166375
58,gradient_boosted_trees,B6,73,0.4722222222222222,2.4137331038436782,2.48217639359346
58,gradient_boosted_trees,B8,73,0.5,2.4330202523620192,1.1923571308805136
58,mlp,B4,73,0.4722222222222222,-4.4750471115112305,-4.412201881408691
58,mlp,B6,73,0.5,2.7730093002319336,2.942284107208252
58,mlp,B8,73,0.4583333333333333,2.63031005859375,1.3484013080596924
58,cnn,B4,73,0.4444444444444444,-0.7942387461662292,-0.1677660495042801
58,cnn,B6,73,0.4722222222222222,-0.4254968762397766,0.38484618067741394
58,cnn,B8,73,0.4722222222222222,-0.040896136313676834,0.8393974602222443
58,tcn_new_architecture,B4,73,0.4583333333333333,-0.7865317165851593,-0.1619860678911209
58,tcn_new_architecture,B6,73,0.4722222222222222,-0.4202120006084442,0.39046841859817505
58,tcn_new_architecture,B8,73,0.4583333333333333,-0.03580114245414734,0.8451197743415833
58,amplitude_only_control,B4,73,0.1527777777777778,-4.170600891113281,-4.218808174133301
58,amplitude_only_control,B6,73,0.1527777777777778,2.494624137878418,2.5232205390930176
58,amplitude_only_control,B8,73,0.09722222222222222,1.9082130193710327,0.9426499009132385
58,topology_only_control,B4,73,0.2361111111111111,-4.133537292480469,-4.170396327972412
58,topology_only_control,B6,73,0.2777777777777778,2.557278633117676,2.483560085296631
58,topology_only_control,B8,73,0.125,1.6868363618850708,1.6131175756454468
58,shuffled_residual_hgb_control,B4,73,0.4861111111111111,-0.011536842556671659,0.015442598964556738
