stave,amp_atom,shape_atom,topology_atom,atom_id,n_pulses,n_events,median_log_amp,median_rise_ns,heldout_run
B4,0,-1,low_amp_stave,B4_A0_S-1_low_amp_stave,1,1,7.350516171833998,161.3072625698324,58
B4,0,0,low_amp_stave,B4_A0_S0_low_amp_stave,7,7,7.540090320145325,7.099899612137804,58
B4,0,1,low_amp_stave,B4_A0_S1_low_amp_stave,2,2,7.4672631369021625,10.83132836419232,58
B4,0,1,mid_amp_stave,B4_A0_S1_mid_amp_stave,4,4,7.630842573130293,10.770854232570692,58
B4,0,2,low_amp_stave,B4_A0_S2_low_amp_stave,6,6,7.45867921989201,12.057408761177932,58
B4,0,2,mid_amp_stave,B4_A0_S2_mid_amp_stave,6,6,7.491972908967787,12.295242992691758,58
B4,1,0,low_amp_stave,B4_A1_S0_low_amp_stave,2,2,7.745346382149851,8.37674158790567,58
B4,1,0,mid_amp_stave,B4_A1_S0_mid_amp_stave,1,1,7.801595882018701,8.363284849603389,58
B4,1,1,high_amp_stave,B4_A1_S1_high_amp_stave,1,1,7.8073066868519945,11.16402674791376,58
B4,1,1,low_amp_stave,B4_A1_S1_low_amp_stave,2,2,7.843508499416291,11.04032301771272,58
B4,1,1,mid_amp_stave,B4_A1_S1_mid_amp_stave,2,2,7.690048899364215,10.508837222230003,58
B4,1,2,low_amp_stave,B4_A1_S2_low_amp_stave,10,10,7.77848014202368,12.095493108999182,58
B4,1,2,mid_amp_stave,B4_A1_S2_mid_amp_stave,6,6,7.784937223734639,12.498314293984315,58
B4,2,0,mid_amp_stave,B4_A2_S0_mid_amp_stave,1,1,7.952087360737176,10.028219807183525,58
B4,2,1,low_amp_stave,B4_A2_S1_low_amp_stave,5,5,8.01780194527591,11.038458789638042,58
B4,2,1,mid_amp_stave,B4_A2_S1_mid_amp_stave,4,4,8.024753830890589,10.876292572216318,58
B4,2,2,low_amp_stave,B4_A2_S2_low_amp_stave,2,2,7.933789793021706,11.950546029649942,58
B4,2,2,mid_amp_stave,B4_A2_S2_mid_amp_stave,5,5,7.915348169263078,11.952198316759706,58
B4,3,0,high_amp_stave,B4_A3_S0_high_amp_stave,3,3,8.390949464841986,8.602442333785618,58
B4,3,0,mid_amp_stave,B4_A3_S0_mid_amp_stave,2,2,8.365326703878026,8.249644621293477,58
B4,3,1,high_amp_stave,B4_A3_S1_high_amp_stave,1,1,8.089635836833256,10.378541329293569,58
B6,0,0,high_amp_stave,B6_A0_S0_high_amp_stave,1,1,7.244941546337007,8.922374223064999,58
