model,kind,train_seconds,n_features,arch,width,n_parameters,last_train_loss,heldout_run,analytic_candidate,analytic_alpha,binned_direction,binned_n_bins
ridge,sklearn,0.010221242904663086,31.0,,,,,58,amp_only,100.0,decreasing,10
gradient_boosted_trees,sklearn,0.38950109481811523,31.0,,,,,58,amp_only,100.0,decreasing,10
mlp,sklearn,2.845248222351074,31.0,,,,,58,amp_only,100.0,decreasing,10
cnn,torch,0.4365711212158203,31.0,cnn,16.0,1281.0,10.299064636230469,58,amp_only,100.0,decreasing,10
tcn_new_architecture,torch,0.2985050678253174,31.0,tcn,16.0,1281.0,10.301863670349121,58,amp_only,100.0,decreasing,10
amplitude_only_control,control,0.004390239715576172,6.0,,,,,58,amp_only,100.0,decreasing,10
topology_only_control,control,0.0034270286560058594,4.0,,,,,58,amp_only,100.0,decreasing,10
shuffled_residual_hgb_control,control,0.10284733772277832,31.0,,,,,58,amp_only,100.0,decreasing,10
ridge,sklearn,0.010025739669799805,31.0,,,,,59,amp_only,100.0,decreasing,8
gradient_boosted_trees,sklearn,0.34346675872802734,31.0,,,,,59,amp_only,100.0,decreasing,8
mlp,sklearn,2.2464699745178223,31.0,,,,,59,amp_only,100.0,decreasing,8
cnn,torch,0.4027886390686035,31.0,cnn,16.0,1281.0,8.940993309020996,59,amp_only,100.0,decreasing,8
tcn_new_architecture,torch,0.37717485427856445,31.0,tcn,16.0,1281.0,8.942159652709961,59,amp_only,100.0,decreasing,8
amplitude_only_control,control,0.014181137084960938,6.0,,,,,59,amp_only,100.0,decreasing,8
topology_only_control,control,0.003865480422973633,4.0,,,,,59,amp_only,100.0,decreasing,8
shuffled_residual_hgb_control,control,0.16890740394592285,31.0,,,,,59,amp_only,100.0,decreasing,8
ridge,sklearn,0.006806135177612305,31.0,,,,,60,amp_only,100.0,decreasing,8
gradient_boosted_trees,sklearn,0.33617544174194336,31.0,,,,,60,amp_only,100.0,decreasing,8
mlp,sklearn,5.311327219009399,31.0,,,,,60,amp_only,100.0,decreasing,8
cnn,torch,0.3688516616821289,31.0,cnn,16.0,1281.0,10.429388999938965,60,amp_only,100.0,decreasing,8
tcn_new_architecture,torch,0.27349042892456055,31.0,tcn,16.0,1281.0,10.431668281555176,60,amp_only,100.0,decreasing,8
amplitude_only_control,control,0.003295421600341797,6.0,,,,,60,amp_only,100.0,decreasing,8
topology_only_control,control,0.0031676292419433594,4.0,,,,,60,amp_only,100.0,decreasing,8
shuffled_residual_hgb_control,control,0.15639281272888184,31.0,,,,,60,amp_only,100.0,decreasing,8
ridge,sklearn,0.007476806640625,31.0,,,,,61,amp_only,100.0,decreasing,12
gradient_boosted_trees,sklearn,0.3389413356781006,31.0,,,,,61,amp_only,100.0,decreasing,12
mlp,sklearn,1.9980988502502441,31.0,,,,,61,amp_only,100.0,decreasing,12
cnn,torch,0.34865283966064453,31.0,cnn,16.0,1281.0,9.190589904785156,61,amp_only,100.0,decreasing,12
tcn_new_architecture,torch,0.27497148513793945,31.0,tcn,16.0,1281.0,9.211892127990723,61,amp_only,100.0,decreasing,12
amplitude_only_control,control,0.0033617019653320312,6.0,,,,,61,amp_only,100.0,decreasing,12
topology_only_control,control,0.003304719924926758,4.0,,,,,61,amp_only,100.0,decreasing,12
shuffled_residual_hgb_control,control,0.15288662910461426,31.0,,,,,61,amp_only,100.0,decreasing,12
ridge,sklearn,0.00728154182434082,31.0,,,,,62,amp_only,100.0,decreasing,8
gradient_boosted_trees,sklearn,0.3131704330444336,31.0,,,,,62,amp_only,100.0,decreasing,8
mlp,sklearn,6.047409772872925,31.0,,,,,62,amp_only,100.0,decreasing,8
cnn,torch,0.355471134185791,31.0,cnn,16.0,1281.0,11.19686222076416,62,amp_only,100.0,decreasing,8
tcn_new_architecture,torch,0.2544863224029541,31.0,tcn,16.0,1281.0,11.204257011413574,62,amp_only,100.0,decreasing,8
amplitude_only_control,control,0.002826690673828125,6.0,,,,,62,amp_only,100.0,decreasing,8
topology_only_control,control,0.004956960678100586,4.0,,,,,62,amp_only,100.0,decreasing,8
shuffled_residual_hgb_control,control,0.14882636070251465,31.0,,,,,62,amp_only,100.0,decreasing,8
ridge,sklearn,0.007407665252685547,31.0,,,,,63,amp_only,100.0,decreasing,8
gradient_boosted_trees,sklearn,0.35678935050964355,31.0,,,,,63,amp_only,100.0,decreasing,8
mlp,sklearn,6.834794998168945,31.0,,,,,63,amp_only,100.0,decreasing,8
cnn,torch,0.35669779777526855,31.0,cnn,16.0,1281.0,8.904382705688477,63,amp_only,100.0,decreasing,8
tcn_new_architecture,torch,0.2686927318572998,31.0,tcn,16.0,1281.0,8.906413078308105,63,amp_only,100.0,decreasing,8
amplitude_only_control,control,0.003021717071533203,6.0,,,,,63,amp_only,100.0,decreasing,8
topology_only_control,control,0.0030558109283447266,4.0,,,,,63,amp_only,100.0,decreasing,8
shuffled_residual_hgb_control,control,0.0943291187286377,31.0,,,,,63,amp_only,100.0,decreasing,8
ridge,sklearn,0.007927179336547852,31.0,,,,,65,amp_only,100.0,decreasing,10
gradient_boosted_trees,sklearn,0.35831594467163086,31.0,,,,,65,amp_only,100.0,decreasing,10
mlp,sklearn,1.862102746963501,31.0,,,,,65,amp_only,100.0,decreasing,10
cnn,torch,0.39176416397094727,31.0,cnn,16.0,1281.0,13.311904907226562,65,amp_only,100.0,decreasing,10
tcn_new_architecture,torch,0.29413652420043945,31.0,tcn,16.0,1281.0,13.302490234375,65,amp_only,100.0,decreasing,10
amplitude_only_control,control,0.0032427310943603516,6.0,,,,,65,amp_only,100.0,decreasing,10
topology_only_control,control,0.0032629966735839844,4.0,,,,,65,amp_only,100.0,decreasing,10
shuffled_residual_hgb_control,control,0.09784293174743652,31.0,,,,,65,amp_only,100.0,decreasing,10
