component,run,bin_index,n_bins,run_shrink_strength,deployment_population_weight,log_amp_center,raw_target_ns,shrunk_target_ns,fitted_target_ns,deployment_target_ns,n_train_pulses,stave,heldout_run
population,-1,0,8,80.0,4.0,7.341483852363161,-0.4660873920389683,,1.0746539512964677,,1406,,58
population,-1,1,8,80.0,4.0,7.591357046698551,0.8928031039120512,,1.0746539512964677,,1409,,58
population,-1,2,8,80.0,4.0,7.728635826051634,1.1428031039120654,,1.0746539512964677,,1407,,58
population,-1,3,8,80.0,4.0,7.834788107388194,0.8928031039120583,,1.0746539512964677,,1399,,58
population,-1,4,8,80.0,4.0,7.914983005848394,1.5339126079610423,,1.0746539512964677,,1408,,58
population,-1,5,8,80.0,4.0,7.999594651686632,1.5339126079610423,,1.0746539512964677,,1402,,58
population,-1,6,8,80.0,4.0,8.118951928397392,1.5339126079610423,,1.0746539512964677,,1406,,58
population,-1,7,8,80.0,4.0,8.396267717119336,1.5339126079610423,,1.0746539512964677,,1404,,58
stave_population,-1,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.6318265120630224,-3.3764247192976393,-3.5687999414039657,691,B4,58
stave_population,-1,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.601223146046293,-3.3764247192976393,-3.5703980121351107,650,B4,58
stave_population,-1,2,8,80.0,4.0,7.728635826051634,-4.1767157118730935,-3.5791203021240685,-3.3764247192976393,-3.5726609003603733,623,B4,58
stave_population,-1,3,8,80.0,4.0,7.834788107388194,-4.1767157118730935,-3.5932301937431426,-3.3764247192976393,-3.573454380647154,640,B4,58
stave_population,-1,4,8,80.0,4.0,7.914983005848394,-4.1767157118730935,-3.5213185620235388,-3.3764247192976393,-3.573454380647154,561,B4,58
stave_population,-1,5,8,80.0,4.0,7.999594651686632,-4.1767157118730935,-3.2654151195660113,-3.3764247192976393,-3.573454380647154,381,B4,58
stave_population,-1,6,8,80.0,4.0,8.118951928397392,-4.1767157118730935,-2.3580595514680507,-3.3764247192976393,-3.573454380647154,151,B4,58
stave_population,-1,7,8,80.0,4.0,8.396267717119336,-1.17671571187309,0.20874254238509937,-3.3764247192976393,-3.573454380647154,50,B4,58
run_stave_shrunken,59,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.936928148554605,-3.8276877466212813,-3.5687999414039657,187,B4,58
run_stave_shrunken,59,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.912156706063026,-3.8276877466212813,-3.5703980121351107,162,B4,58
run_stave_shrunken,59,2,8,80.0,4.0,7.728635826051634,-4.1767157118730935,-3.877541509041148,-3.8276877466212813,-3.5726609003603733,134,B4,58
run_stave_shrunken,59,3,8,80.0,4.0,7.834788107388194,-4.1767157118730935,-3.854990689732207,-3.8276877466212813,-3.573454380647154,119,B4,58
run_stave_shrunken,59,4,8,80.0,4.0,7.914983005848394,-4.426715711873086,-3.9235823022561056,-3.8276877466212813,-3.573454380647154,87,B4,58
run_stave_shrunken,59,5,8,80.0,4.0,7.999594651686632,-4.676715711873086,-3.85763477166808,-3.8276877466212813,-3.573454380647154,47,B4,58
run_stave_shrunken,59,6,8,80.0,4.0,8.118951928397392,-4.1767157118730935,-3.5364829178127297,-3.8276877466212813,-3.573454380647154,20,B4,58
run_stave_shrunken,59,7,8,80.0,4.0,8.396267717119336,-0.9267157118730793,-3.1793216957117547,-3.8276877466212813,-3.573454380647154,7,B4,58
run_stave_shrunken,60,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.786329861836286,-3.786329861836286,-3.5687999414039657,84,B4,58
run_stave_shrunken,60,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.8023105691477346,-3.8023105691477346,-3.5703980121351107,91,B4,58
run_stave_shrunken,60,2,8,80.0,4.0,7.728635826051634,-4.1767157118730935,-3.824939451400366,-3.824939451400366,-3.5726609003603733,102,B4,58
run_stave_shrunken,60,3,8,80.0,4.0,7.834788107388194,-4.1767157118730935,-3.8830309439554958,-3.832874254268172,-3.573454380647154,138,B4,58
run_stave_shrunken,60,4,8,80.0,4.0,7.914983005848394,-4.1767157118730935,-3.9185573271713343,-3.832874254268172,-3.573454380647154,168,B4,58
run_stave_shrunken,60,5,8,80.0,4.0,7.999594651686632,-4.1767157118730935,-3.8896158042227067,-3.832874254268172,-3.573454380647154,143,B4,58
run_stave_shrunken,60,6,8,80.0,4.0,8.118951928397392,-4.1767157118730935,-3.735175853900429,-3.832874254268172,-3.573454380647154,65,B4,58
run_stave_shrunken,60,7,8,80.0,4.0,8.396267717119336,-4.1767157118730935,-3.5166819035634407,-3.832874254268172,-3.573454380647154,17,B4,58
run_stave_shrunken,61,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.913245426251545,-3.664200622713342,-3.5687999414039657,163,B4,58
run_stave_shrunken,61,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.894674833432404,-3.664200622713342,-3.5703980121351107,147,B4,58
run_stave_shrunken,61,2,8,80.0,4.0,7.728635826051634,-3.9267157118730935,-3.7401763923559903,-3.664200622713342,-3.5726609003603733,156,B4,58
run_stave_shrunken,61,3,8,80.0,4.0,7.834788107388194,-3.6767157118731006,-3.582506773025897,-3.664200622713342,-3.573454380647154,175,B4,58
run_stave_shrunken,61,4,8,80.0,4.0,7.914983005848394,-3.9267157118730935,-3.7417439496628564,-3.664200622713342,-3.573454380647154,158,B4,58
run_stave_shrunken,61,5,8,80.0,4.0,7.999594651686632,-3.4267157118731006,-3.4026242184237776,-3.664200622713342,-3.573454380647154,87,B4,58
run_stave_shrunken,61,6,8,80.0,4.0,8.118951928397392,-3.9267157118730935,-3.5439045866032126,-3.664200622713342,-3.573454380647154,35,B4,58
run_stave_shrunken,61,7,8,80.0,4.0,8.396267717119336,0.32328428812691,-2.893853979198785,-3.664200622713342,-3.573454380647154,12,B4,58
run_stave_shrunken,62,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.8908975002390025,-3.8170500344382003,-3.5687999414039657,144,B4,58
run_stave_shrunken,62,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.8896158042227067,-3.8170500344382003,-3.5703980121351107,143,B4,58
run_stave_shrunken,62,2,8,80.0,4.0,7.728635826051634,-4.1767157118730935,-3.8983536274990227,-3.8170500344382003,-3.5726609003603733,150,B4,58
run_stave_shrunken,62,3,8,80.0,4.0,7.834788107388194,-4.1767157118730935,-3.9031119537276386,-3.8170500344382003,-3.573454380647154,154,B4,58
run_stave_shrunken,62,4,8,80.0,4.0,7.914983005848394,-4.1767157118730935,-3.837968201788245,-3.8170500344382003,-3.573454380647154,109,B4,58
run_stave_shrunken,62,5,8,80.0,4.0,7.999594651686632,-4.1767157118730935,-3.760980131314416,-3.8170500344382003,-3.573454380647154,74,B4,58
run_stave_shrunken,62,6,8,80.0,4.0,8.118951928397392,-4.3017157118730935,-3.589953409891975,-3.8170500344382003,-3.573454380647154,24,B4,58
run_stave_shrunken,62,7,8,80.0,4.0,8.396267717119336,-2.9267157118730935,-3.3309485275356066,-3.8170500344382003,-3.573454380647154,9,B4,58
run_stave_shrunken,63,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.8044873432333475,-3.6379174591520136,-3.5687999414039657,92,B4,58
run_stave_shrunken,63,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.800108185955233,-3.6379174591520136,-3.5703980121351107,90,B4,58
run_stave_shrunken,63,2,8,80.0,4.0,7.728635826051634,-4.1767157118730935,-3.7527204840185484,-3.6379174591520136,-3.5726609003603733,71,B4,58
run_stave_shrunken,63,3,8,80.0,4.0,7.834788107388194,-4.6767157118730935,-3.870333700973587,-3.6379174591520136,-3.573454380647154,49,B4,58
run_stave_shrunken,63,4,8,80.0,4.0,7.914983005848394,-4.176715711873101,-3.6199915431249536,-3.6379174591520136,-3.573454380647154,35,B4,58
run_stave_shrunken,63,5,8,80.0,4.0,7.999594651686632,-4.4267157118730935,-3.602958070637443,-3.6379174591520136,-3.573454380647154,22,B4,58
run_stave_shrunken,63,6,8,80.0,4.0,8.118951928397392,-3.42671571187309,-3.379933393198252,-3.6379174591520136,-3.573454380647154,6,B4,58
run_stave_shrunken,63,7,8,80.0,4.0,8.396267717119336,7.323284288126921,-2.747030071802077,-3.6379174591520136,-3.573454380647154,5,B4,58
run_stave_shrunken,65,0,8,80.0,4.0,7.341483852363161,-4.1767157118730935,-3.5428218563677834,-3.4491148120879793,-3.5687999414039657,21,B4,58
run_stave_shrunken,65,1,8,80.0,4.0,7.591357046698551,-4.1767157118730935,-3.5166819035634407,-3.4491148120879793,-3.5703980121351107,17,B4,58
run_stave_shrunken,65,2,8,80.0,4.0,7.728635826051634,-4.1767157118730935,-3.465345940694912,-3.4491148120879793,-3.5726609003603733,10,B4,58
run_stave_shrunken,65,3,8,80.0,4.0,7.834788107388194,-4.1767157118730935,-3.4235006600373716,-3.4491148120879793,-3.573454380647154,5,B4,58
run_stave_shrunken,65,4,8,80.0,4.0,7.914983005848394,-4.676715711873101,-3.4383433379917085,-3.4491148120879793,-3.573454380647154,4,B4,58
run_stave_shrunken,65,5,8,80.0,4.0,7.999594651686632,-4.1767157118730935,-3.4491784458954076,-3.4491148120879793,-3.573454380647154,8,B4,58
run_stave_shrunken,65,6,8,80.0,4.0,8.118951928397392,-0.6767157118730864,-3.3430949784652375,-3.4491148120879793,-3.573454380647154,1,B4,58
run_stave_shrunken,65,7,8,80.0,4.0,8.396267717119336,-3.3764247192976393,-3.3764247192976393,-3.4491148120879793,-3.573454380647154,0,B4,58
stave_population,-1,0,8,80.0,4.0,7.341483852363161,2.6428031039120583,2.430891056261303,2.451953308461885,2.5122550472322214,512,B6,58
stave_population,-1,1,8,80.0,4.0,7.591357046698551,2.6428031039120583,2.4615141845345336,2.451953308461885,2.511426366630099,612,B6,58
stave_population,-1,2,8,80.0,4.0,7.728635826051634,2.6428031039120583,2.4604601791893153,2.451953308461885,2.5094815960175376,608,B6,58
stave_population,-1,3,8,80.0,4.0,7.834788107388194,2.6428031039120583,2.450686821815202,2.450686821815202,2.506773054985715,573,B6,58
stave_population,-1,4,8,80.0,4.0,7.914983005848394,2.6428031039120583,2.447699010274038,2.447699010274038,2.499571309588627,563,B6,58
stave_population,-1,5,8,80.0,4.0,7.999594651686632,2.6428031039120583,2.4305324910368515,2.4305324910368515,2.4670812718370305,511,B6,58
stave_population,-1,6,8,80.0,4.0,8.118951928397392,2.6428031039120583,2.3330452466052747,2.3330452466052747,2.3797727910637145,325,B6,58
stave_population,-1,7,8,80.0,4.0,8.396267717119336,2.6428031039120583,1.6228686957067961,1.6228686957067961,1.6666049195629717,43,B6,58
run_stave_shrunken,59,0,8,80.0,4.0,7.341483852363161,2.6428031039120583,2.580989404980828,2.580989404980828,2.5122550472322214,167,B6,58
run_stave_shrunken,59,1,8,80.0,4.0,7.591357046698551,2.6428031039120583,2.578108257996745,2.578108257996745,2.511426366630099,156,B6,58
run_stave_shrunken,59,2,8,80.0,4.0,7.728635826051634,2.6428031039120583,2.574945398863108,2.574945398863108,2.5094815960175376,145,B6,58
run_stave_shrunken,59,3,8,80.0,4.0,7.834788107388194,2.6428031039120583,2.5619120377660134,2.5619120377660134,2.506773054985715,110,B6,58
run_stave_shrunken,59,4,8,80.0,4.0,7.914983005848394,2.6428031039120583,2.5546204627197326,2.5546204627197326,2.499571309588627,97,B6,58
run_stave_shrunken,59,5,8,80.0,4.0,7.999594651686632,2.6428031039120583,2.5170131110971212,2.5170131110971212,2.4670812718370305,55,B6,58
run_stave_shrunken,59,6,8,80.0,4.0,8.118951928397392,2.6428031039120583,2.406797117392604,2.406797117392604,2.3797727910637145,25,B6,58
run_stave_shrunken,59,7,8,80.0,4.0,8.396267717119336,2.017803103912051,1.6587718237254556,1.6587718237254556,1.6666049195629717,8,B6,58
run_stave_shrunken,60,0,8,80.0,4.0,7.341483852363161,2.6428031039120583,2.524446641617377,2.561127816458358,2.5122550472322214,49,B6,58
run_stave_shrunken,60,1,8,80.0,4.0,7.591357046698551,2.6428031039120583,2.5524600054741065,2.561127816458358,2.511426366630099,89,B6,58
run_stave_shrunken,60,2,8,80.0,4.0,7.728635826051634,2.6428031039120583,2.5565433093583074,2.561127816458358,2.5094815960175376,97,B6,58
run_stave_shrunken,60,3,8,80.0,4.0,7.834788107388194,2.6428031039120583,2.5663389120327125,2.561127816458358,2.506773054985715,121,B6,58
run_stave_shrunken,60,4,8,80.0,4.0,7.914983005848394,2.6428031039120583,2.574644468579999,2.561127816458358,2.499571309588627,149,B6,58
run_stave_shrunken,60,5,8,80.0,4.0,7.999594651686632,2.6428031039120583,2.5729197745704266,2.561127816458358,2.4670812718370305,163,B6,58
