run,selected_pulses_raw,B2_raw,B4_raw,B6_raw,B8_raw,selected_pulses_sorted_even,B2_sorted_even,B4_sorted_even,B6_sorted_even,B8_sorted_even
31,27871,26948,592,237,94,30065,28697,887,351,130
32,28240,27316,605,224,95,30641,29310,887,315,129
33,48737,47724,559,318,136,49818,48315,871,439,193
34,34118,33373,412,244,89,34760,33710,618,313,119
35,11667,11029,403,163,72,13793,12856,605,228,104
36,10391,9847,340,143,61,12107,11305,518,195,89
37,24537,22956,997,423,161,29337,26941,1546,615,235
39,14218,13174,663,273,108,17229,15719,982,381,147
40,14708,13575,707,310,116,18041,16265,1126,473,177
41,16146,14963,758,298,127,19428,17690,1130,418,190
42,18112,16977,711,307,117,21290,19571,1109,438,172
44,2038,1884,93,44,17,2463,2215,151,67,30
45,24333,22786,969,401,177,28993,26619,1501,606,267
46,687,675,7,3,2,736,722,9,3,2
47,5276,5116,85,50,25,5687,5489,108,60,30
48,14000,13044,599,245,112,17003,15567,915,361,160
49,14815,13779,640,281,115,17875,16311,987,408,169
50,35217,34088,659,330,140,36830,35078,1076,476,200
51,14740,14200,303,177,60,15774,14970,470,242,92
52,7152,6893,148,76,35,7668,7281,227,108,52
53,32200,31225,559,296,120,33603,32056,921,440,186
54,30440,29493,536,298,113,31655,30223,842,421,169
55,17387,16735,372,199,81,18686,17656,612,293,125
56,40148,38730,825,421,172,42084,39971,1282,584,247
57,13833,12774,656,273,130,16792,15212,985,415,180
58,16781,15791,591,285,114,17533,16137,865,379,152
59,21377,13565,4527,2366,919,23852,14907,5275,2634,1036
60,17029,9873,4040,2189,927,19397,11081,4762,2489,1065
61,18965,11015,4401,2490,1059,21438,12254,5182,2807,1195
62,19089,11635,4183,2342,929,21438,12911,4884,2603,1040
63,18817,14566,2645,1153,453,20360,15434,3115,1290,521
64,14630,11907,1689,763,271,15860,12660,2029,857,314
65,13038,11768,842,323,105,14137,12472,1115,417,133
