method,family,mean_sigma68_ns,fold_boot_ci_low_ns,fold_boot_ci_high_ns,mean_full_rms_ns,mean_core_sigma_ns,mean_chi2_ndf,mean_tail_frac_abs_gt5ns,mean_pull_width,n_folds
gradient_boosted_trees,ml_nn,1.7300194749546018,1.6014449071763273,1.8812052297930386,4.821823903685471,1.5409203646007286,1.5283353492331087,0.049153793259975945,,7
ridge,ml_nn,1.9767061807826238,1.878145323527388,2.1262489990026996,4.642097125012804,1.9417915753374007,1.5110308337467926,0.02407236860072217,,7
mlp,ml_nn,2.0667248077395612,1.8703044170123628,2.2587477586139633,4.681770800300564,2.0935530925098473,1.7859407927395097,0.04363095253237605,2.781705738204501,7
attention_pulse,ml_nn,2.090357123149715,1.8520864063395839,2.381340644821899,4.927713782632375,1.7481009637722216,2.3545502505510023,0.05435442596939818,2.877369887125893,7
cnn_1d,ml_nn,2.1347422513078773,1.8833463731834739,2.4125319999282935,5.081817212337183,1.9414291703821003,1.6524752072404205,0.051518876755830396,2.924149220840133,7
template_phase,traditional,2.8274220181812653,2.7019013737018716,2.921985219040143,3.238947891413062,69.161871510475,17.520306974162644,0.07030787956916433,,7
cfd20,traditional,3.139982679287623,3.0373793245648386,3.246186628317831,5.415083325136633,235.00538101058535,3.800333449478906,0.0640463293908118,,7
