task,model,alpha,fold,train_seconds,sigma68_ns,n_pair_residuals,n_estimators,max_depth,min_samples_leaf,learning_rate,hidden,width,n_parameters,train_loss
timing,ridge,0.1,0,0.004946708679199219,1.227419477456705,3018,,,,,,,,
timing,ridge,0.1,1,0.007038593292236328,1.4076508305263813,3534,,,,,,,,
timing,ridge,0.1,2,0.023874998092651367,1.384912721986305,4710,,,,,,,,
timing,ridge,0.1,-1,,1.3399943433231305,0,,,,,,,,
timing,ridge,1.0,0,0.012981176376342773,1.2258498318224493,3018,,,,,,,,
timing,ridge,1.0,1,0.008440256118774414,1.4098363860110645,3534,,,,,,,,
timing,ridge,1.0,2,0.0063512325286865234,1.38595636998265,4710,,,,,,,,
timing,ridge,1.0,-1,,1.3405475292720546,0,,,,,,,,
timing,ridge,10.0,0,0.0072362422943115234,1.22234211069712,3018,,,,,,,,
timing,ridge,10.0,1,0.006674051284790039,1.4083010333207389,3534,,,,,,,,
timing,ridge,10.0,2,0.019408226013183594,1.3831559109756628,4710,,,,,,,,
timing,ridge,10.0,-1,,1.3379330183311737,0,,,,,,,,
timing,extra_trees,,0,1.2156643867492676,1.0766134382085015,3018,120.0,14.0,8.0,,,,,
timing,extra_trees,,1,1.0609138011932373,1.2080133185211674,3534,120.0,14.0,8.0,,,,,
timing,extra_trees,,2,0.8855850696563721,1.1133846299489876,4710,120.0,14.0,8.0,,,,,
timing,extra_trees,,-1,,1.132670462226219,0,120.0,14.0,8.0,,,,,
timing,gradient_boosted_trees,,0,0.3822605609893799,1.1001569793710029,3018,,,,0.03,,,,
timing,gradient_boosted_trees,,1,0.3704402446746826,1.224098393017339,3534,,,,0.03,,,,
timing,gradient_boosted_trees,,2,0.4078993797302246,1.131568291708859,4710,,,,0.03,,,,
timing,gradient_boosted_trees,,-1,,1.1519412213657336,0,,,,0.03,,,,
timing,gradient_boosted_trees,,0,0.408275842666626,1.1313044366519267,3018,,,,0.08,,,,
timing,gradient_boosted_trees,,1,0.5583553314208984,1.2866789438034336,3534,,,,0.08,,,,
timing,gradient_boosted_trees,,2,0.5352933406829834,1.1961181407020829,4710,,,,0.08,,,,
timing,gradient_boosted_trees,,-1,,1.204700507052481,0,,,,0.08,,,,
timing,mlp,,0,4.870434522628784,1.1721811697241042,3018,,,,,32.0,,,
timing,mlp,,1,2.9028539657592773,1.2451157694201882,3534,,,,,32.0,,,
timing,mlp,,2,0.6965725421905518,1.3054294400558386,4710,,,,,32.0,,,
timing,mlp,,-1,,1.2409087930667104,0,,,,,32.0,,,
timing,mlp,,0,6.32369327545166,1.1996951949860906,3018,,,,,64.0,,,
timing,mlp,,1,9.863621711730957,1.2255386204079861,3534,,,,,64.0,,,
timing,mlp,,2,9.901161909103394,1.2091404660330953,4710,,,,,64.0,,,
timing,mlp,,-1,,1.2114580938090573,0,,,,,64.0,,,
timing,cnn,,0,2.1408305168151855,1.1272527833716635,3018,,,,,,8.0,337.0,1.919207215309143
timing,cnn,,1,1.8884141445159912,1.3382254387056505,3534,,,,,,8.0,337.0,4.93253755569458
timing,cnn,,2,1.7172338962554932,1.3144691818517518,4710,,,,,,8.0,337.0,4.758774280548096
timing,cnn,,-1,,1.2599824679763552,0,,,,,,8.0,,
timing,resnet,,0,3.4367644786834717,1.1675658682566956,3018,,,,,,8.0,537.0,1.1546660661697388
timing,resnet,,1,2.9406726360321045,1.234646146013832,3534,,,,,,8.0,537.0,5.4319024085998535
timing,resnet,,2,2.6007397174835205,1.4137925497790584,4710,,,,,,8.0,537.0,4.029513835906982
timing,resnet,,-1,,1.272001521349862,0,,,,,,8.0,,
timing,tcn,,0,3.1565945148468018,1.122710661834063,3018,,,,,,8.0,337.0,1.919089436531067
timing,tcn,,1,2.74906587600708,1.3060962680807147,3534,,,,,,8.0,337.0,4.901576995849609
timing,tcn,,2,2.3911819458007812,1.1488292467957562,4710,,,,,,8.0,337.0,4.781168460845947
timing,tcn,,-1,,1.1925453922368447,0,,,,,,8.0,,
timing,attention,,0,9.09487271308899,1.1539308241003818,3018,,,,,,8.0,425.0,2.5186970233917236
timing,attention,,1,8.032341957092285,1.314001110669031,3534,,,,,,8.0,425.0,4.547307968139648
timing,attention,,2,6.919010639190674,1.3608060137606637,4710,,,,,,8.0,425.0,4.8253655433654785
timing,attention,,-1,,1.276245982843359,0,,,,,,8.0,,
timing,gru,,0,6.9253692626953125,1.1186057033094368,3018,,,,,,16.0,1249.0,1.9236239194869995
timing,gru,,1,5.9666428565979,1.2488779479209036,3534,,,,,,16.0,1249.0,4.915215492248535
timing,gru,,2,5.1947996616363525,1.4073503119506645,4710,,,,,,16.0,1249.0,4.754310131072998
timing,gru,,-1,,1.2582779877270016,0,,,,,,16.0,,
