method,fold,C,n,roc_auc,average_precision,brier,n_estimators,max_depth,min_samples_leaf,learning_rate,max_leaf_nodes,hidden
logistic,0,0.3,680.0,0.8577854671280277,0.8457657188563998,0.15498675798761846,,,,,,
logistic,1,0.3,340.0,0.8662975778546712,0.8619443033021124,0.14986445485841074,,,,,,
logistic,2,0.3,340.0,0.8099653979238755,0.7758868960938613,0.17922252242291836,,,,,,
logistic,-1,0.3,,0.8446828143021915,,,,,,,,
logistic,0,1.0,680.0,0.8577595155709342,0.8456370024526685,0.1549612126393735,,,,,,
logistic,1,1.0,340.0,0.8634602076124568,0.8599207192809516,0.15077389498750465,,,,,,
logistic,2,1.0,340.0,0.8108650519031143,0.773808202671834,0.17940310482193197,,,,,,
logistic,-1,1.0,,0.8440282583621684,,,,,,,,
logistic,0,3.0,680.0,0.8569723183391004,0.8443276962750461,0.15525602122827026,,,,,,
logistic,1,3.0,340.0,0.8619031141868512,0.8578562531144437,0.15137937866467685,,,,,,
logistic,2,3.0,340.0,0.8103806228373702,0.7718814295588293,0.17973825073497635,,,,,,
logistic,-1,3.0,,0.843085351787774,,,,,,,,
random_forest,0,,680.0,0.843226643598616,0.8475147922800932,0.16346609020744693,96.0,10.0,10.0,,,
random_forest,1,,340.0,0.8617993079584776,0.8630951702943401,0.15369351804346704,96.0,10.0,10.0,,,
random_forest,2,,340.0,0.8385813148788929,0.8463195426648253,0.16466862576626765,96.0,10.0,10.0,,,
random_forest,-1,,,0.8478690888119954,,,96.0,10.0,10.0,,,
hist_gradient_boosting,0,,680.0,0.8517387543252595,0.858571174984319,0.17578009862475408,,,,0.08,31.0,
hist_gradient_boosting,1,,340.0,0.8583391003460208,0.8657382559446856,0.16136048582145684,,,,0.08,31.0,
hist_gradient_boosting,2,,340.0,0.8335294117647059,0.837086413592586,0.18532787868042228,,,,0.08,31.0,
hist_gradient_boosting,-1,,,0.8478690888119953,,,,,,0.08,31.0,
mlp,0,,680.0,0.8454844290657441,0.8286939893671129,0.16290772012564786,,,,,,48.0
mlp,1,,340.0,0.8396539792387544,0.83870135382025,0.17607300837404607,,,,,,48.0
mlp,2,,340.0,0.7995501730103807,0.7982612984717685,0.18523168688027047,,,,,,48.0
mlp,-1,,,0.8282295271049597,,,,,,,,48.0
