task,model,cv_sigma68_ns,train_seconds,n_parameters,alpha,n_estimators,max_depth,min_samples_leaf,learning_rate,hidden,width
timing,ridge,1.3379330183311737,0.036280155181884766,26,10.0,,,,,,
timing,extra_trees,1.132670462226219,2.315976858139038,26,,120.0,14.0,8.0,,,
timing,gradient_boosted_trees,1.1519412213657336,0.5067451000213623,26,,,,,0.03,,
timing,mlp,1.2114580938090573,48.69732332229614,1664,,,,,,64.0,
timing,cnn,1.2599824679763552,2.1533026695251465,337,,,,,,,8.0
timing,resnet,1.272001521349862,2.899167776107788,537,,,,,,,8.0
timing,tcn,1.1925453922368447,2.4663493633270264,337,,,,,,,8.0
timing,attention,1.276245982843359,8.305153608322144,425,,,,,,,8.0
timing,gru,1.2582779877270016,7.1489574909210205,1249,,,,,,,16.0
