task,target,model,metric,cv_res68_abs_frac,train_seconds,n_train_rows,n_heldout_rows,alpha,n,bias_median_frac,res68_abs_frac,rms_frac,within_10pct,res68_abs_frac_ci_low,res68_abs_frac_ci_high,rms_frac_ci_low,rms_frac_ci_high,bias_median_frac_ci_low,bias_median_frac_ci_high,within_10pct_ci_low,within_10pct_ci_high,epsilon,n_estimators,max_depth,min_samples_leaf,learning_rate,max_leaf_nodes,hidden
amplitude_charge,amplitude,random_forest,res68_abs_frac,0.003565520061641713,20.83284306526184,30000,26857,,26857,-2.2187400687100425e-05,0.003495611604903711,0.16531971304997514,0.9610529843243847,0.0033123805046862487,0.003766294226174117,0.10540663992377863,0.20647991851940178,-4.050115148565006e-05,7.377429581519038e-07,0.9549171430638975,0.9675563736769444,,48.0,14.0,8.0,,,
amplitude_charge,amplitude,extra_trees,res68_abs_frac,0.004605050258989341,7.025965929031372,30000,26857,,26857,-0.0001222065888233115,0.005116871255070486,0.15474822022966642,0.9642923632572513,0.004617563775526147,0.005775154296263943,0.07650762343821096,0.202529065054245,-0.0003905191724701968,0.00014467653683166137,0.9576669802445907,0.9713146188065654,,64.0,14.0,8.0,,,
amplitude_charge,amplitude,hist_gradient_boosting,res68_abs_frac,0.008623212731199805,8.491032838821411,30000,26857,,26857,0.00033808263623745055,0.010972458824282778,0.1429445527602405,0.9717019771381763,0.01032172424316702,0.011558330043353472,0.06668181418459808,0.18845773130598603,0.00017897537101915304,0.0005372790170485903,0.9667124972863449,0.9769903359410953,,,,,0.08,31.0,
amplitude_charge,amplitude,huber,res68_abs_frac,0.008557130915075166,5.8962318897247314,30000,26857,0.001,26857,1.985465429177702e-05,0.017874936008769774,13.99289720186574,0.910116543173102,0.017584496163662727,0.01800434742730576,4.680554260834398,18.97015862678742,-0.0010863230094605328,0.0016872215364978484,0.8957232795426586,0.9253719895689523,1.35,,,,,,
amplitude_charge,amplitude,mlp,res68_abs_frac,0.037532917031148826,71.47605872154236,30000,26857,,26857,0.002964893386814677,0.025896010883550615,0.1674723103240224,0.9329411326655993,0.024366610546563413,0.027679745851650714,0.06322468198995794,0.22524962074217678,0.0014868968823984702,0.004217895629490068,0.9219914610319125,0.9445467096180395,,,,,,,48.0
amplitude_charge,amplitude,ridge,res68_abs_frac,0.0323524979456773,0.3934609889984131,30000,26857,10.0,26857,0.0008615486954335518,0.06018738275515475,0.997681190039968,0.839334251777935,0.054960217961867015,0.06405743201097805,0.44451338127697226,1.322140677027416,-0.008355570513366252,0.014904619110839781,0.8316810188870396,0.8474459272894616,,,,,,,
amplitude_charge,charge,random_forest,res68_abs_frac,0.005953571152366231,20.68284559249878,30000,26857,,26857,-8.168448907696217e-05,0.00710024264882134,0.6332880187478477,0.9538667758871058,0.0067398385864294655,0.007522084812436314,0.29472777697986385,0.8351563472767233,-0.00022704793835709767,9.9352170291897e-05,0.946957088067154,0.9611903666206474,,48.0,14.0,8.0,,,
amplitude_charge,charge,extra_trees,res68_abs_frac,0.006805694882818974,6.668988227844238,30000,26857,,26857,0.0005256315253187796,0.008926880234998652,0.5763518212186642,0.9582231820382023,0.0087840070366573,0.00908285191475504,0.27540107870988617,0.7576476244287479,-8.347828654435618e-05,0.001172364226645448,0.9525291265648744,0.9642583218285014,,64.0,14.0,8.0,,,
amplitude_charge,charge,hist_gradient_boosting,res68_abs_frac,0.01347978397236309,8.677942991256714,30000,26857,,26857,0.0011332538024147573,0.018679610192425502,0.5554970362629031,0.9541646498119671,0.018255196975457726,0.01907293590977755,0.2331375108132217,0.7405626244947688,0.0003507040071817933,0.0020166625867455968,0.9468123597944859,0.9619573554226108,,,,,0.08,31.0,
amplitude_charge,charge,huber,res68_abs_frac,0.01555044478563406,2.1781818866729736,30000,26857,0.001,26857,0.00025792174401594465,0.031537113714732494,2608.6346295386743,0.8900100532449641,0.029841692033326542,0.032672457824344685,678.9960935768855,3576.3636610016565,-0.0018323524298410946,0.0034673757909256674,0.8743034951877849,0.9066574628010431,1.35,,,,,,
amplitude_charge,charge,mlp,res68_abs_frac,0.04037922574332719,15.795708179473877,30000,26857,,26857,0.011008762194299587,0.03898910960017122,0.1048670740874108,0.9056484343001825,0.038022639248520576,0.03980168183394887,0.09206851560729745,0.11565096540125148,0.0049517706491607185,0.017165957842938933,0.8985454808596859,0.9131768676177328,,,,,,,48.0
amplitude_charge,charge,ridge,res68_abs_frac,0.05431274095916406,0.17783832550048828,30000,26857,10.0,26857,-0.0035344576205287716,0.09276004104532967,25.611801786805746,0.7041367241315113,0.08690098210718954,0.09869279000482926,11.605428030627296,33.878932191053956,-0.015367278099910795,0.013790533841691748,0.6851510967939868,0.7220493523409798,,,,,,,
