method,fold,res68_abs_frac,alpha,target,epsilon,n_estimators,max_depth,min_samples_leaf,learning_rate,max_leaf_nodes,hidden
ridge,0,0.03055229594664147,0.1,amplitude,,,,,,,
ridge,1,0.03821834438631174,0.1,amplitude,,,,,,,
ridge,2,0.03638964978319347,0.1,amplitude,,,,,,,
ridge,-1,0.03505343003871556,0.1,amplitude,,,,,,,
ridge,0,0.030339263887319196,1.0,amplitude,,,,,,,
ridge,1,0.03799742221837424,1.0,amplitude,,,,,,,
ridge,2,0.03600737808486382,1.0,amplitude,,,,,,,
ridge,-1,0.03478135473018575,1.0,amplitude,,,,,,,
ridge,0,0.02726848437701305,10.0,amplitude,,,,,,,
ridge,1,0.03552000866372008,10.0,amplitude,,,,,,,
ridge,2,0.03426900079629878,10.0,amplitude,,,,,,,
ridge,-1,0.0323524979456773,10.0,amplitude,,,,,,,
huber,0,0.006945381421756433,0.001,amplitude,1.35,,,,,,
huber,1,0.010051425966222004,0.001,amplitude,1.35,,,,,,
huber,2,0.008674585357247064,0.001,amplitude,1.35,,,,,,
huber,-1,0.008557130915075166,0.001,amplitude,1.35,,,,,,
random_forest,0,0.0032207457313425886,,amplitude,,48.0,14.0,8.0,,,
random_forest,1,0.004116603722249021,,amplitude,,48.0,14.0,8.0,,,
random_forest,2,0.0033592107313335285,,amplitude,,48.0,14.0,8.0,,,
random_forest,-1,0.003565520061641713,,amplitude,,48.0,14.0,8.0,,,
extra_trees,0,0.004051674467100355,,amplitude,,64.0,14.0,8.0,,,
extra_trees,1,0.005200859109664935,,amplitude,,64.0,14.0,8.0,,,
extra_trees,2,0.004562617200202735,,amplitude,,64.0,14.0,8.0,,,
extra_trees,-1,0.004605050258989341,,amplitude,,64.0,14.0,8.0,,,
hist_gradient_boosting,0,0.00825188573426071,,amplitude,,,,,0.08,31.0,
hist_gradient_boosting,1,0.009027435939904856,,amplitude,,,,,0.08,31.0,
hist_gradient_boosting,2,0.00859031651943385,,amplitude,,,,,0.08,31.0,
hist_gradient_boosting,-1,0.008623212731199805,,amplitude,,,,,0.08,31.0,
mlp,0,0.03937339304437868,,amplitude,,,,,,,48.0
mlp,1,0.04863152981654169,,amplitude,,,,,,,48.0
mlp,2,0.0245938282325261,,amplitude,,,,,,,48.0
mlp,-1,0.037532917031148826,,amplitude,,,,,,,48.0
ridge,0,0.04976508208633424,0.1,charge,,,,,,,
ridge,1,0.06065569439834105,0.1,charge,,,,,,,
ridge,2,0.057555354104728146,0.1,charge,,,,,,,
ridge,-1,0.055992043529801146,0.1,charge,,,,,,,
ridge,0,0.04949058330832787,1.0,charge,,,,,,,
ridge,1,0.060473693160536184,1.0,charge,,,,,,,
ridge,2,0.05741828204895338,1.0,charge,,,,,,,
ridge,-1,0.055794186172605814,1.0,charge,,,,,,,
ridge,0,0.04786258917147327,10.0,charge,,,,,,,
ridge,1,0.05866199523077083,10.0,charge,,,,,,,
ridge,2,0.05641363847524808,10.0,charge,,,,,,,
ridge,-1,0.05431274095916406,10.0,charge,,,,,,,
huber,0,0.012728134364969314,0.001,charge,1.35,,,,,,
huber,1,0.01828932423721528,0.001,charge,1.35,,,,,,
huber,2,0.015633875754717586,0.001,charge,1.35,,,,,,
huber,-1,0.01555044478563406,0.001,charge,1.35,,,,,,
random_forest,0,0.0054466119986831055,,charge,,48.0,14.0,8.0,,,
random_forest,1,0.0066420863378877405,,charge,,48.0,14.0,8.0,,,
random_forest,2,0.005772015120527845,,charge,,48.0,14.0,8.0,,,
random_forest,-1,0.005953571152366231,,charge,,48.0,14.0,8.0,,,
extra_trees,0,0.006125178482622199,,charge,,64.0,14.0,8.0,,,
extra_trees,1,0.007498786416415491,,charge,,64.0,14.0,8.0,,,
extra_trees,2,0.00679311974941923,,charge,,64.0,14.0,8.0,,,
extra_trees,-1,0.006805694882818974,,charge,,64.0,14.0,8.0,,,
hist_gradient_boosting,0,0.01277046349840939,,charge,,,,,0.08,31.0,
hist_gradient_boosting,1,0.013762120219885557,,charge,,,,,0.08,31.0,
hist_gradient_boosting,2,0.013906768198794326,,charge,,,,,0.08,31.0,
hist_gradient_boosting,-1,0.01347978397236309,,charge,,,,,0.08,31.0,
mlp,0,0.03164178092760183,,charge,,,,,,,48.0
mlp,1,0.04279698100432979,,charge,,,,,,,48.0
mlp,2,0.04669891529804995,,charge,,,,,,,48.0
mlp,-1,0.04037922574332719,,charge,,,,,,,48.0
