event_id,split,source_run,stave,is_overlap,true_t1_sample,true_t2_sample,true_amp1_adc,true_amp2_adc,true_sep_sample,true_ratio
train:58:0,train,58,B6,1,8.346507415207466,9.346507415207466,2756.5,2756.5,1.0,1.0
train:58:1,train,58,B2,1,5.622291955089756,10.622291955089757,3735.0,1867.5,5.0,0.5
train:58:2,train,58,B8,1,7.996779486002788,8.746779486002788,4088.5,4088.5,0.75,1.0
train:58:3,train,58,B2,1,4.985330600602766,5.485330600602766,3253.0,813.25,0.5,0.25
train:58:4,train,58,B6,1,5.282917819816818,5.782917819816818,3148.0,1574.0,0.5,0.5
train:58:5,train,58,B6,1,8.996470521540218,10.996470521540218,2245.0,1122.5,2.0,0.5
train:58:6,train,58,B8,1,10.46156460097859,10.96156460097859,3344.5,2508.375,0.5,0.75
train:58:7,train,58,B2,1,6.085370597019448,10.085370597019448,6102.0,4576.5,4.0,0.75
train:58:8,train,58,B8,1,5.731182969880449,6.481182969880449,3699.0,3699.0,0.75,1.0
train:58:9,train,58,B2,1,9.622451083425602,10.622451083425602,8211.0,8211.0,1.0,1.0
train:58:10,train,58,B2,1,5.0351202150648415,8.035120215064842,3735.0,1867.5,3.0,0.5
train:58:11,train,58,B2,1,6.974640327350274,7.974640327350274,3419.5,3419.5,1.0,1.0
train:58:12,train,58,B6,1,9.263199910267108,10.763199910267108,2756.5,1378.25,1.5,0.5
train:58:13,train,58,B6,1,4.716274372549854,6.216274372549854,1847.5,1385.625,1.5,0.75
train:58:14,train,58,B8,1,10.264589065562742,10.764589065562742,4321.0,1080.25,0.5,0.25
train:58:15,train,58,B8,1,7.925528075116224,10.925528075116224,2639.0,1979.25,3.0,0.75
train:58:16,train,58,B6,1,4.07801114920856,7.07801114920856,6287.5,3143.75,3.0,0.5
train:58:17,train,58,B4,1,4.645622731140056,10.645622731140056,2840.5,2130.375,6.0,0.75
train:58:18,train,58,B2,1,6.838711900093283,8.338711900093283,2977.5,1488.75,1.5,0.5
train:58:19,train,58,B8,1,5.411619286087008,9.411619286087008,2362.5,2362.5,4.0,1.0
