method,mask,n_pulses,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
continuous_wavelet_cfd_template_atlas,amplitude_adc_lt_3600,29549,855,2.3135222472615515,2.023217678070065,2.544498862407419
ridge,amplitude_adc_lt_3600,29549,855,1.556585425650281,1.291639981144612,1.6914371027349366
gradient_boosted_trees,amplitude_adc_lt_3600,29549,855,1.3601579132452328,1.230770174350159,1.455834903459432
mlp,amplitude_adc_lt_3600,29549,855,1.4408336340920624,1.2281624724611764,1.5060209694841724
cnn_1d,amplitude_adc_lt_3600,29549,855,1.682896260058238,1.3295395879745475,1.794289457979442
compact_waveform_transformer,amplitude_adc_lt_3600,29549,855,1.6296057990380213,1.2629895806312597,1.7647170325138966
wavelet_phase_space_residual_fusion,amplitude_adc_lt_3600,29549,855,1.330793500160513,1.1167872533198206,1.44327647219934
continuous_wavelet_cfd_template_atlas,amplitude_adc_lt_3800,31759,954,2.294209581529658,2.023217678070065,2.49016690665174
ridge,amplitude_adc_lt_3800,31759,954,1.545900279027375,1.3069072054911397,1.6534417824791596
gradient_boosted_trees,amplitude_adc_lt_3800,31759,954,1.3352642217350588,1.2204372988732572,1.4339705596800734
mlp,amplitude_adc_lt_3800,31759,954,1.428885376633382,1.2428964958499054,1.4953512283376824
cnn_1d,amplitude_adc_lt_3800,31759,954,1.703002140109672,1.390860557556156,1.7927448309160496
compact_waveform_transformer,amplitude_adc_lt_3800,31759,954,1.598661571223529,1.288150403910553,1.7175195258373392
wavelet_phase_space_residual_fusion,amplitude_adc_lt_3800,31759,954,1.3467133969903258,1.1625836995282803,1.433656910820389
continuous_wavelet_cfd_template_atlas,amplitude_adc_lt_4000,33702,1008,2.2547759698539016,2.023217678070065,2.471453061597676
ridge,amplitude_adc_lt_4000,33702,1008,1.5452561358116723,1.3001015813606784,1.6683544009066686
gradient_boosted_trees,amplitude_adc_lt_4000,33702,1008,1.3327824974427744,1.218770622522399,1.4332873572777722
mlp,amplitude_adc_lt_4000,33702,1008,1.4104696852790342,1.255180675200144,1.492012723291927
cnn_1d,amplitude_adc_lt_4000,33702,1008,1.7077642519100205,1.4090014696121216,1.7896177018021229
compact_waveform_transformer,amplitude_adc_lt_4000,33702,1008,1.5998200771903466,1.3432915210723877,1.7094494649005736
wavelet_phase_space_residual_fusion,amplitude_adc_lt_4000,33702,1008,1.3488612591396385,1.173089418500524,1.4347377378815032
