run,pid_proxy,pedestal_bin,pileup_bin,saturation_bin,n_pulses,haar_d1_energy,haar_d4_energy,phase_space_loop_area,subsample_phase,pileup_spacing_proxy_ns,clipped_sample_count,reconstructed_energy_proxy
42,high_dE_proxy,0,mild_pileup,hard_saturation_proxy,3119,0.03471469349480382,0.2267259251820005,-0.42805582365212164,0.4631847381591818,20.0,1.0,64197.00129890442
42,high_dE_proxy,0,mild_pileup,near_saturation_proxy,12,0.03271990709308799,0.2694579084835032,-0.4394163857746314,0.6743075774707834,40.0,1.0,33442.00078344345
42,high_dE_proxy,0,single_like,hard_saturation_proxy,20,0.027970980431234797,0.15541273072564304,-0.353958114154187,0.22794904708862518,,1.0,11578.999808132648
42,high_dE_proxy,0,single_like,near_saturation_proxy,1,0.0287779870474482,0.08742009494499436,-0.16692950255691497,0.6454056739807159,,1.0,5276.999814093113
42,low_dE_proxy,0,mild_pileup,hard_saturation_proxy,1028,0.0336050216834504,0.27168420200289195,-0.43861668402460097,0.5578537045706331,40.0,1.0,37549.501183986664
42,low_dE_proxy,0,mild_pileup,near_saturation_proxy,987,0.03296731206939746,0.2972352495503205,-0.44531281016551405,0.47202083692859453,40.0,1.0,32868.99846076965
42,low_dE_proxy,0,mild_pileup,unsaturated_proxy,4790,0.026613270888836776,0.3094884061707666,-0.3944518047144653,0.4631847381591818,20.0,1.0,17418.50034761429
42,low_dE_proxy,0,single_like,hard_saturation_proxy,11,0.028316460666596446,0.15586147384763965,-0.34414754185630364,0.6631847381591798,,1.0,20551.999195575714
42,low_dE_proxy,0,single_like,near_saturation_proxy,13,0.028109129855202947,0.1779178461369104,-0.35589741811710446,0.6631847381591798,25.0,1.0,6742.999783933163
42,low_dE_proxy,0,single_like,unsaturated_proxy,668,0.14210293314138095,0.9132700754873421,-1.4275039295713197,0.4631847381591818,20.0,1.0,-30664.000210285187
42,mid_dE_proxy,0,mild_pileup,hard_saturation_proxy,6798,0.03351532622014912,0.22195394877133834,-0.42694786600399154,0.5311283540681466,20.0,1.0,52193.99975538254
42,mid_dE_proxy,0,mild_pileup,near_saturation_proxy,91,0.032256961383773944,0.2658684248695119,-0.42549159869429265,0.42794904708862314,30.0,1.0,33620.99874687195
42,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,468,0.027741363833482885,0.3015036284248983,-0.4084419811863873,0.42794904708862314,20.0,2.0,21479.500071048737
42,mid_dE_proxy,0,single_like,hard_saturation_proxy,23,0.028367422650663308,0.13351439641407442,-0.3273164646584382,0.6631847381591798,,1.0,14810.999593019485
42,mid_dE_proxy,0,single_like,near_saturation_proxy,9,0.02574826589834805,0.10838115506587066,-0.21130792635829498,0.22794904708862518,,1.0,7015.0002282857895
