method,n_pair_residuals,timing_sigma68_ns,timing_sigma68_ci_low,timing_sigma68_ci_high,median_residual_ns,median_residual_ci_low,median_residual_ci_high,shape_phase_bias_ns,shape_phase_bias_ci_low,shape_phase_bias_ci_high,rise_time_bias_ns,rise_time_bias_ci_low,rise_time_bias_ci_high,energy_drift_area_norm,energy_drift_ci_low,energy_drift_ci_high
continuous_wavelet_cfd_template_atlas,1224,2.153698749520067,2.023217678070065,2.371520791979833,-3.7976503350354953,-3.990697181701663,-3.568669051353748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridge,1224,1.5453598445921388,1.3293694307644686,1.6603433064994595,1.3254814119752432,1.1056767643144276,1.4324469524826355,0.9044518127249646,0.0500429839295186,1.894579983180428,0.0,0.0,0.0,0.0,0.0,0.0
gradient_boosted_trees,1224,1.3235981460565414,1.225186172638833,1.390216837594289,1.533686870170346,1.273458792799044,1.8084217669069889,-1.69651115067618,-1.9974416682653453,-0.884429159749363,0.0,0.0,0.0,0.0,0.0,0.0
mlp,1224,1.4113184248871675,1.2421389126017317,1.5014641608780388,1.620145628450775,1.5213501660226534,1.7936724016716674,0.3785837080904244,-0.6275222830400402,1.331808296068388,0.0,0.0,0.0,0.0,0.0,0.0
cnn_1d,1224,1.7267044794320572,1.5282173743430485,1.80552730834728,1.0178335596093395,0.8885612716487508,1.1381445961115944,7.912674773520081,7.912674773520081,7.912674773520081,0.0,0.0,0.0,0.0,0.0,0.0
compact_waveform_transformer,1224,1.617823654628607,1.4012318555658538,1.7189394145011896,1.2768853034973162,1.070832535077745,1.466925405979154,7.912674773520081,7.912674773520081,7.912674773520081,0.0,0.0,0.0,0.0,0.0,0.0
wavelet_phase_space_residual_fusion,1224,1.3530909656626435,1.2125766608340456,1.4286875467583258,1.4724178915623618,1.3055546166742469,1.6435040704497652,2.323742726168277,2.0314158381984004,2.757530130824744,0.0,0.0,0.0,0.0,0.0,0.0
