method,n,pred_mean_ns,target_mean_ns
analytic_timewalk,1639,-4.014271167136516,-3.8249543000697015
analytic_timewalk,1636,-3.867469837366645,-4.057962921672415
analytic_timewalk,1638,-0.1589029050507334,-0.410955222878744
analytic_timewalk,1637,1.8162932491913881,2.1096762004473955
analytic_timewalk,1636,1.919295756642879,2.0801576100076318
analytic_timewalk,1637,2.0177901285190933,2.045673383783064
analytic_timewalk,1637,2.2380523919818605,2.062081229925452
s03b_binned_timewalk,3820,-3.924252652723764,-3.928310244346796
s03b_binned_timewalk,3820,1.463576431961414,2.3465607251551326
s03b_binned_timewalk,3820,2.460676220762352,1.5817495191916675
ml_ridge_on_template_phase,1638,-4.149263171440055,-3.9646983181694244
ml_ridge_on_template_phase,1637,-3.941375955184178,-3.912798773676722
ml_ridge_on_template_phase,1637,-0.2939932117761281,-0.882186298202062
ml_ridge_on_template_phase,1637,1.6762891167677334,1.7401055007030797
ml_ridge_on_template_phase,1637,1.808451777496039,2.018785023021527
ml_ridge_on_template_phase,1637,1.951840470329642,2.599725768287259
ml_ridge_on_template_phase,1637,2.2618027232027367,2.403489027369383
