bin,n,pred_energy_mean,true_energy_mean,pid_pred_rate,pid_proxy_rate,energy_calibration_bias_frac
"(2267.776, 3843.513]",37,3322.7758042658634,3389.1486486486488,0.0,0.0,-0.01958392837364928
"(3843.513, 4604.788]",37,4247.699510255779,4363.131756756757,0.0,0.0,-0.026456282536556134
"(4604.788, 5143.126]",36,4857.013618569827,4799.784722222223,0.0,0.0,0.011923221490047974
"(5143.126, 5728.65]",37,5466.596258296709,5320.226351351352,0.0,0.0,0.027511969844700036
"(5728.65, 6366.915]",37,6047.198612032341,5884.216216216216,0.0,0.0,0.027698233686070974
"(6366.915, 7186.515]",36,6783.270244379054,6645.583333333333,0.0,0.0,0.020718559100011937
"(7186.515, 8466.881]",37,7703.045753707253,7663.7027027027025,0.0,0.02702702702702703,0.005133687008849667
"(8466.881, 16015.366]",37,11353.933241233617,11338.861486486487,0.7297297297297297,0.6486486486486487,0.0013292123521477643
