method,pedestal_state,n,energy_bias,energy_sigma68,pid_positive_rate
1d_cnn,nominal,104,-0.043208735564193954,0.06778334368384288,0.028846153846153848
1d_cnn,shifted,172,-0.008784996057866666,0.09917214502553266,0.11046511627906977
ar1_charge_ratio_likelihood_traditional,nominal,78,0.06655394829176439,0.10000441181055238,0.02564102564102564
ar1_charge_ratio_likelihood_traditional,shifted,80,0.06886857909359317,0.09683809556175992,0.1
gradient_boosted_trees,nominal,114,0.0022923202513831847,0.05634008240120364,0.02631578947368421
gradient_boosted_trees,shifted,177,0.0025675472567189246,0.08491673235205274,0.11864406779661017
mlp,nominal,112,0.014009956676276228,0.07861598646680543,0.026785714285714284
mlp,shifted,187,-0.006036280155660766,0.12578919709031025,0.10695187165775401
pedestal_memory_fusion_new,nominal,111,0.0017070867882964607,0.05510725858546998,0.02702702702702703
pedestal_memory_fusion_new,shifted,183,0.01302000210409614,0.08248904535271037,0.12021857923497267
ridge,nominal,115,0.0012605301112098902,0.06119811903917978,0.02608695652173913
ridge,shifted,183,0.015256034631318442,0.10586185333816914,0.12021857923497267
tiny_sequence_transformer,nominal,96,0.00011663218171979419,0.09009605668461565,0.03125
tiny_sequence_transformer,shifted,157,0.003479043709559526,0.1284643677582711,0.12101910828025478
