g4_entry,primary_pdg,primary_ekin_mev,primary_time_ns,truth_stave,truth_layer,pid_label,pid_name,dominant_pdg,g4_total_edep_mev,g4_dominant_edep_mev,g4_first_time_ns,g4_energy_weighted_time_ns,g4_n_sci_hits,g4_n_bstack_layers,g4_track_length_sum_mm,g4_pseudo_run_index,g4_pseudo_run
9,2212,84.64002517583722,0.0,B2,0,1,deuteron,1000010020,81.6369611509218,43.35043003518553,9.529298867273393,10.585556980588999,2,1,218.6656264627868,0,50
22,2212,133.93449913972725,0.0,B2,0,0,proton,2212,0.7212136744014196,0.7212136744014196,7.614976099621486,7.614976099621486,1,1,110.1277944611782,0,50
23,2212,132.06041189486052,0.0,B6,4,0,proton,2212,51.964641650746145,23.447495840916172,7.734920809706317,8.10875456391328,3,3,347.291232493311,0,50
27,2212,113.44014343006003,0.0,B2,0,1,deuteron,1000010020,45.14825523120519,45.14825523120519,13.567819610300727,13.567819610300727,1,1,110.2855701992909,0,50
31,2212,135.01162464564925,0.0,B2,0,0,proton,2212,42.6378116540314,12.199977084089415,7.5577380261986145,7.815508049768397,5,2,225.99903057807398,0,50
39,2212,161.432585121701,0.0,B8,6,0,proton,2212,54.84422009024439,18.19445441904784,7.051953220867518,7.5315523139714475,4,4,469.34754254287327,0,50
45,2212,115.74484306316474,0.0,B2,0,1,deuteron,1000010020,45.299320952787085,45.299320952787085,13.657016858579533,13.657016858579533,1,1,111.15895852908193,0,50
53,2212,158.70299148232164,0.0,B8,6,0,proton,2212,73.4360614561165,30.587412542790418,7.101365590841888,7.671188605349242,4,4,466.9592191190801,0,50
65,2212,123.42384761822456,0.0,B2,0,1,deuteron,1000010020,61.02518205276302,61.02518205276302,14.89735751549175,14.89735751549175,1,1,111.42084538205559,0,50
66,2212,100.11877627268842,0.0,B4,2,0,proton,2212,56.78220736986932,38.27729136810437,8.647776085470941,8.89167958839945,3,2,223.92554484045377,0,50
68,2212,146.36732565735218,0.0,B8,6,0,proton,2212,72.44505002001296,23.29198674940451,7.305576356683451,7.8753006258233285,4,4,464.14690839441346,0,50
73,2212,170.28133806836377,0.0,B2,0,0,proton,2212,10.022031287495414,10.022031287495414,6.976353923866436,6.976353923866435,1,1,113.26898541564762,0,50
74,2212,135.3440289629611,0.0,B8,6,0,proton,2212,73.73415428396493,27.08224025546805,7.566104417454422,8.163952718949758,4,4,466.3141589112409,0,50
78,2212,119.68081478333443,0.0,B2,0,1,deuteron,1000010020,52.30498652860792,52.30498652860792,13.994935256300222,13.994935256300222,1,1,111.20237298262569,0,50
85,2212,99.03096317199383,0.0,B2,0,1,deuteron,1000010020,117.88889672426504,53.39517853553095,8.731428476696593,10.692862636821046,3,2,332.9991019494861,0,50
