source,run,path,entries,has_EVENTNO,has_EVT,has_TRIGGER,eventno_min,eventno_max,evt_min,evt_max,trigger_modes,duplicate_EVENTNO,duplicate_EVT
daq_raw_root,12,/home/billy/ccb-data/extracted/root/root/hrdb_run_0012.root,14791,True,True,True,1961.0,16752.0,0.0,135.0,1:14791,0,14655
daq_raw_root,13,/home/billy/ccb-data/extracted/root/root/hrdb_run_0013.root,50629,True,True,True,17918.0,68563.0,0.0,166.0,1:50629,0,50462
daq_raw_root,14,/home/billy/ccb-data/extracted/root/root/hrdb_run_0014.root,3479,True,True,True,70768.0,74247.0,0.0,99.0,1:3479,0,3379
daq_raw_root,15,/home/billy/ccb-data/extracted/root/root/hrdb_run_0015.root,103871,True,True,True,74248.0,178140.0,0.0,156.0,1:103871,0,103714
daq_raw_root,16,/home/billy/ccb-data/extracted/root/root/hrdb_run_0016.root,11533,True,True,True,178256.0,189791.0,0.0,127.0,1:11533,0,11410
daq_raw_root,17,/home/billy/ccb-data/extracted/root/root/hrdb_run_0017.root,5648,True,True,True,0.0,5648.0,1.0,227.0,1:5648,0,5421
daq_raw_root,18,/home/billy/ccb-data/extracted/root/root/hrdb_run_0018.root,75023,True,True,True,5649.0,80683.0,0.0,427.0,1:75023,0,74595
daq_raw_root,19,/home/billy/ccb-data/extracted/root/root/hrdb_run_0019.root,73470,True,True,True,80684.0,154170.0,0.0,344.0,1:73470,0,73125
daq_raw_root,20,/home/billy/ccb-data/extracted/root/root/hrdb_run_0020.root,57388,True,True,True,154171.0,211569.0,0.0,322.0,1:57388,0,57065
daq_raw_root,21,/home/billy/ccb-data/extracted/root/root/hrdb_run_0021.root,0,True,True,True,,,,,,0,0
daq_raw_root,22,/home/billy/ccb-data/extracted/root/root/hrdb_run_0022.root,0,True,True,True,,,,,,0,0
daq_raw_root,23,/home/billy/ccb-data/extracted/root/root/hrdb_run_0023.root,3806,True,True,True,211575.0,215380.0,2.0,3409.0,1:3806,0,398
daq_raw_root,24,/home/billy/ccb-data/extracted/root/root/hrdb_run_0024.root,24908,True,True,True,215381.0,240294.0,1.0,16383.0,1:24908,0,8559
daq_raw_root,25,/home/billy/ccb-data/extracted/root/root/hrdb_run_0025.root,3315,True,True,True,240296.0,243610.0,2.0,2961.0,1:3315,0,391
daq_raw_root,26,/home/billy/ccb-data/extracted/root/root/hrdb_run_0026.root,53953,True,True,True,243611.0,297573.0,0.0,16383.0,1:53953,0,37569
