stratum,value,method,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
spacing_bin,"(-0.001, 10.0]",1d_cnn,,,0.7563795853269538,0.6590909090909091,0.6590909090909091,0.6979665071770335,0.6197380474187675,10.620818929991525,0.15384615384615385,0.48514851485148514,,-0.010779244523594605,0.08219911423098844,101,101
spacing_bin,"(10.0, 25.0]",1d_cnn,,,0.7949999999999999,0.65,0.8125,0.7050000000000001,-3.273452281570517,7.44009956506647,0.10294117647058823,0.47692307692307695,,-0.027541068382314852,0.07797678787770224,65,65
spacing_bin,"(25.0, 45.0]",1d_cnn,,,0.7813953488372093,0.6888888888888889,0.7209302325581395,0.7049095607235142,-3.855305066028656,9.594862405357118,0.12857142857142856,0.20454545454545456,,-0.05197757451096935,0.09781708744181206,88,88
spacing_bin,"(45.0, 70.0]",1d_cnn,,,0.7678447678447679,0.5897435897435898,0.7931034482758621,0.7137907137907138,-1.2354531378257683,14.118476860227116,0.2966101694915254,0.2236842105263158,,-0.07462186917428965,0.10450222876716389,76,76
spacing_bin,"(-0.001, 10.0]",deltaE_over_E_likelihood_template,,,0.8309409888357258,0.8636363636363636,0.7916666666666666,0.8440988835725678,2.7873196087089314,15.99922994721476,0.31666666666666665,0.7029702970297029,,0.022372898723624232,0.07666849185154508,101,101
spacing_bin,"(10.0, 25.0]",deltaE_over_E_likelihood_template,,,0.885,0.875,0.875,0.8375,0.9965581932689815,16.154622323852124,0.2857142857142857,0.676923076923077,,-0.006440595185495862,0.10173269899492896,65,65
spacing_bin,"(25.0, 45.0]",deltaE_over_E_likelihood_template,,,0.7297157622739019,0.7555555555555555,0.7083333333333334,0.7149870801033591,1.293754268529459,11.257635663010582,0.17105263157894737,0.5681818181818182,,0.005061435168273158,0.06283247956397733,88,88
spacing_bin,"(45.0, 70.0]",deltaE_over_E_likelihood_template,,,0.8399168399168399,0.6923076923076923,0.84375,0.7785862785862786,-1.7280977046053847,10.118219510210805,0.2125,0.47368421052631576,,-0.020208219269561616,0.10391592380266801,76,76
spacing_bin,"(-0.001, 10.0]",gradient_boosted_trees,,,0.9210526315789473,0.9545454545454546,0.8235294117647058,0.8983253588516746,0.8631825344219823,7.947096287641715,0.08064516129032258,0.38613861386138615,,0.019475703392832704,0.05304661628028473,101,101
spacing_bin,"(10.0, 25.0]",gradient_boosted_trees,,,0.9309999999999999,0.9,0.8780487804878049,0.8500000000000001,1.1477052796505927,7.1834452108374265,0.0625,0.26153846153846155,,-0.004273725495012627,0.07868853265072488,65,65
