method,heldout_run,energy_fractional_bias,energy_fractional_sigma68,saturation_onset_bias,time_sigma68_ns,pileup_miss_rate,false_split_rate,calibration_slope,n_events,n_positive,pid_macro_f1,pid_auc
1d_cnn,58,-0.03947557627402652,0.08257116034747397,-0.11932582733164576,9.529500381240007,0.34210526315789475,0.15789473684210525,0.8564774650638625,152,76,0.5934218347533188,0.7357037037037036
1d_cnn,60,0.01750942812127582,0.08831929571826755,0.025604411083960662,10.274612443874606,0.40789473684210525,0.2236842105263158,0.8878416640881499,152,76,0.6495883321571394,0.7886340977068794
1d_cnn,62,-0.005317283428172809,0.058407184785327276,0.0765281308073047,8.941839289734226,0.2894736842105263,0.19736842105263158,1.0257990189627701,152,76,0.6053846153846154,0.6987074030552292
1d_cnn,64,-0.05062313868041085,0.08688197806796787,-0.04016550579481662,10.085075420398528,0.32894736842105265,0.21052631578947367,0.9221189461513059,152,76,0.5957446808510638,0.6474025974025974
1d_cnn,65,-0.03299523966454747,0.08812080948260867,-0.19216853058165145,8.853741089152624,0.3157894736842105,0.17105263157894737,0.8341414099959984,152,76,0.6267432701663345,0.7110525159305647
gradient_boosted_trees,58,-0.01202143555052395,0.06829320292130053,-0.07788779280314076,6.221832578168457,0.27631578947368424,0.19736842105263158,0.8912445164312541,152,76,0.6219089889284495,0.776
gradient_boosted_trees,60,0.006835312767322556,0.05774465482226326,-0.01168305501661234,7.672727069295563,0.3157894736842105,0.2631578947368421,0.9090863263542341,152,76,0.6465773809523809,0.8167996011964107
gradient_boosted_trees,62,-0.0028322994951090683,0.07371049143804062,-0.014724557124884767,8.095342427757293,0.2894736842105263,0.21052631578947367,0.9716716003746447,152,76,0.6378883171336002,0.7301997649823736
gradient_boosted_trees,64,-0.01842345431723661,0.07136896678335172,-0.012278131506209124,7.837514735134375,0.34210526315789475,0.15789473684210525,0.9840073003925871,152,76,0.6183035714285714,0.679004329004329
gradient_boosted_trees,65,-0.009635414870630183,0.06290869181824223,-0.12392705353662599,8.105600326379074,0.3026315789473684,0.17105263157894737,0.8590068627609897,152,76,0.6748511904761905,0.7730169193583828
mlp,58,-0.016911721698802347,0.10146486843375754,-0.11370130518393666,10.872977692849972,0.40789473684210525,0.25,0.8944311528981107,152,76,0.5654659805603202,0.7404444444444443
mlp,60,-0.02610916744663079,0.12085366012904308,-0.11330772801022054,11.016222729608316,0.34210526315789475,0.18421052631578946,0.9163776803402102,152,76,0.5955748494608598,0.7492522432701894
mlp,62,-0.025878631172543375,0.1426194628813529,-0.04500229766769954,10.868280191031033,0.39473684210526316,0.27631578947368424,0.9284138052808402,152,76,0.5999042833213688,0.6559341950646299
mlp,64,-0.030610124635447402,0.18276358028721457,-0.05318655982868206,10.878897299077263,0.5131578947368421,0.2236842105263158,0.8367727762127767,152,76,0.5649122807017544,0.6660173160173161
mlp,65,-0.060681844960773654,0.1275490651338738,-0.11399185712617554,11.531809910260424,0.42105263157894735,0.17105263157894737,0.7992090889863549,152,76,0.6324404761904762,0.7237969676994068
ridge,58,-0.013436906176331921,0.08335072548738634,-0.07892653815227765,8.358060497140668,0.32894736842105265,0.2236842105263158,0.8746365697011579,152,76,0.6274509803921569,0.7564444444444445
ridge,60,0.01767929672847269,0.06452728842757904,0.03859575713176854,9.89331193570909,0.3026315789473684,0.25,0.9007010987691209,152,76,0.655328798185941,0.8115653040877369
ridge,62,0.009884879688390039,0.06451298058840986,-0.05027693098687869,9.704173354927423,0.2631578947368421,0.21052631578947367,0.9478823176838713,152,76,0.6638908492119501,0.7616921269095183
ridge,64,-0.028348586037420503,0.08946692998306745,-0.0017940560780954449,9.572094036543264,0.39473684210526316,0.11842105263157894,0.9479603466518173,152,76,0.6153669197147458,0.7205627705627706
ridge,65,-0.0015123367018095581,0.05706571416751127,-0.07946801871267167,9.267185538326668,0.3815789473684211,0.18421052631578946,0.8996948122067339,152,76,0.665443873807777,0.7811470006591956
template_residual_boosted_stack_new,58,-0.026797693793899156,0.058437656353932596,-0.0644529065585376,7.106236516688701,0.3026315789473684,0.15789473684210525,0.9163922794689798,152,76,0.6219089889284495,0.7677037037037038
template_residual_boosted_stack_new,60,-0.0013436085854263047,0.060285254566278985,0.008195877338690814,7.841557043614707,0.27631578947368424,0.23684210526315788,0.9178576162727421,152,76,0.661084491674178,0.806580259222333
template_residual_boosted_stack_new,62,0.0072554018708388054,0.07028655313597418,-0.02867996237308206,8.033164715120954,0.27631578947368424,0.18421052631578946,0.9843391356448159,152,76,0.6290021536252692,0.7280846063454759
template_residual_boosted_stack_new,64,-0.003644243724633682,0.07219420517457187,0.004488245278959221,8.531755575129157,0.3815789473684211,0.15789473684210525,0.9550484171471365,152,76,0.6097652056201279,0.6748917748917749
template_residual_boosted_stack_new,65,-0.014396470374272406,0.06945120575555,-0.10121442459469149,8.347355081113031,0.34210526315789475,0.19736842105263158,0.8935909240677936,152,76,0.6807169864164684,0.7686222808174028
tiny_sequence_transformer,58,-0.09928757859057157,0.07782971673100421,-0.14614228351740902,14.727473673443502,0.2894736842105263,0.3684210526315789,0.8015187155518078,152,76,0.5758928571428572,0.7531851851851851
tiny_sequence_transformer,60,-0.06712576765557432,0.05672068629434314,-0.039508919057715364,16.396632732694478,0.2894736842105263,0.2894736842105263,0.9036117680790481,152,76,0.6202589143765613,0.7799102691924227
tiny_sequence_transformer,62,-0.07263811301371689,0.07944721145090301,-0.09491915422698763,17.542499588817247,0.23684210526315788,0.32894736842105265,0.9028845621770726,152,76,0.6260251503553855,0.7313748531139835
tiny_sequence_transformer,64,-0.10717352711098593,0.1033366167377291,-0.046862158331190805,18.59504129143299,0.3157894736842105,0.27631578947368424,0.9323333003598739,152,76,0.556498673740053,0.651948051948052
tiny_sequence_transformer,65,-0.06077638454510574,0.09822805144148311,-0.20033666498160901,17.606786606506155,0.2894736842105263,0.21052631578947367,0.8729538120154716,152,76,0.599195530726257,0.7018237749945068
two_pulse_template_cfd_baseline,58,0.0008615289561902405,0.07987387833423094,0.0364130649365111,9.397761494443959,0.5921052631578947,0.19736842105263158,1.0789115079054616,152,76,0.5185185185185185,0.6656716417910448
two_pulse_template_cfd_baseline,60,0.037521663204500226,0.08694706815295035,0.023642924337884418,12.439288340604065,0.5394736842105263,0.14473684210526316,1.013324009778053,152,76,0.593939393939394,0.819047619047619
two_pulse_template_cfd_baseline,62,0.001927805914012138,0.10450880063225199,,8.340281625645392,0.5921052631578947,0.23684210526315788,1.030683489414088,152,76,0.5195968645016797,0.7327586206896551
two_pulse_template_cfd_baseline,64,-0.05078277563457718,0.0630111485828476,-0.003786544845365893,9.150923312548043,0.47368421052631576,0.2236842105263158,1.011709175710093,152,76,0.5225937183383992,0.7045454545454546
two_pulse_template_cfd_baseline,65,-0.00023892883362069492,0.06925426377584053,0.07515019342411079,8.996947690455045,0.618421052631579,0.19736842105263158,1.053367339959723,152,76,0.5800000000000001,0.7661290322580645
