method,energy_fractional_bias,energy_fractional_sigma68,saturation_onset_bias,time_sigma68_ns,pileup_miss_rate,false_split_rate,calibration_slope,n_events,n_positive,pid_macro_f1,pid_auc,energy_fractional_bias_ci_low,energy_fractional_bias_ci_high,energy_fractional_sigma68_ci_low,energy_fractional_sigma68_ci_high,saturation_onset_bias_ci_low,saturation_onset_bias_ci_high,time_sigma68_ns_ci_low,time_sigma68_ns_ci_high,pileup_miss_rate_ci_low,pileup_miss_rate_ci_high,false_split_rate_ci_low,false_split_rate_ci_high,calibration_slope_ci_low,calibration_slope_ci_high,pid_macro_f1_ci_low,pid_macro_f1_ci_high,pid_auc_ci_low,pid_auc_ci_high
template_residual_boosted_stack_new,-0.007805422912011676,0.062213372204218714,-0.04138932315237094,7.757859693958935,0.3157894736842105,0.1868421052631579,0.9334928286375013,760,380,0.6357443390525337,0.752173207759616,-0.022608202251077337,0.003762509139248675,0.060663605984917476,0.07272382548267622,-0.0644529065585376,0.004488245278959221,7.519914285773446,8.156073454496177,0.2868421052631579,0.3526315789473684,0.1631578947368421,0.2131578947368421,0.912331962507803,0.9672572740996253,0.6144195247100908,0.6696900982615268,0.7077190413199348,0.7869581649562463
gradient_boosted_trees,-0.011204563775959575,0.06944299912714089,-0.04186424076138971,7.837234467635058,0.30526315789473685,0.2,0.9226061105216673,760,380,0.6409674981103552,0.7568679090449336,-0.014670099594379473,-0.0035197341581136654,0.06170023831066801,0.07272676018801714,-0.07788779280314076,-0.012278131506209124,7.093771862022106,8.239168240207675,0.2868421052631579,0.3263157894736842,0.1736842105263158,0.23157894736842105,0.8877888461273391,0.968837925241224,0.6168711140984708,0.6689796040972034,0.7183868146531903,0.793106637481888
ridge,-0.0056883058278897536,0.07349475558068595,-0.06230186690681626,9.499976725596763,0.33421052631578946,0.19736842105263158,0.9135798332676404,760,380,0.6461506112763209,0.7700645998530519,-0.014407524363162992,0.007539516606646654,0.06393869976296379,0.08434928607017694,-0.07892653815227765,0.002659541935201157,9.005074004146156,9.928325392222204,0.29598684210526316,0.3763157894736842,0.15263157894736842,0.23296052631578942,0.8838025241829666,0.9467151253841877,0.6163813886210223,0.673679690854444,0.7446996466431095,0.7970488534396809
1d_cnn,-0.029048540566171444,0.08602882247369373,-0.0804783554443094,9.709540032848462,0.3368421052631579,0.19210526315789472,0.9103159420313495,760,380,0.6112853607720137,0.7171728737869636,-0.041778539684608734,-0.0034333515346663466,0.07479367056728263,0.09824898264035012,-0.11932582733164576,0.025604411083960662,8.944383998689604,10.529626747640057,0.3078947368421053,0.3684210526315789,0.16967105263157894,0.21453947368421047,0.8558929874380298,0.9775362179677185,0.5903615824978866,0.6205555302424365,0.6723254486797636,0.753035491905355
tiny_sequence_transformer,-0.0783278921045846,0.08677450559556706,-0.10879976060425467,16.670461025208816,0.28421052631578947,0.29473684210526313,0.8719967205520754,760,380,0.605771951334528,0.7245107300642182,-0.09684320041562497,-0.06651113434810388,0.07115764490036754,0.10462823595755383,-0.14614228351740902,-0.039508919057715364,16.049772291912433,17.680364841903437,0.2578947368421053,0.30526315789473685,0.24447368421052632,0.34210526315789475,0.8237191521616701,0.9202785578447527,0.5799608758572041,0.6183840298281267,0.6876546629732225,0.760727816550349
two_pulse_template_cfd_baseline,-0.0015988991823502354,0.09023799913487077,0.033597758935157186,9.372082451254656,0.5631578947368421,0.2,1.0477368041929116,760,380,0.5418069391961525,0.7448293257104422,-0.03308090006389777,0.02691497496463156,0.07246111880374204,0.09515875579449024,0.014077147279006962,0.07515019342411079,9.060424484178526,10.85769111185809,0.5144078947368421,0.6026315789473684,0.17105263157894737,0.22631578947368422,1.0210415971414422,1.067638016997262,0.510989010989011,0.573045516641828,0.7042553626917357,0.7843316289262235
mlp,-0.03894934983500574,0.14155318370591835,-0.10733990670813179,11.222976032667482,0.41578947368421054,0.22105263157894736,0.8871128272724578,760,380,0.5974447278190274,0.7095010448572983,-0.04998825150443221,-0.018723028850282816,0.11939931370388804,0.15834229234478162,-0.11370130518393666,-0.05318655982868206,10.73291878787039,11.671160565369188,0.37105263157894736,0.4710526315789474,0.18947368421052632,0.25526315789473686,0.8389211626420163,0.9147019246857124,0.5706863090544024,0.6235874567104702,0.6764636067008462,0.7416900152827305
