matching,caliper,matched_rows,matched_pairs,support_loss_fraction,max_abs_smd,nuisance_only_runheldout_auc
exact_cell,,944,472,0.9967406241152382,0.6866150404341487,0.7583539562118815
continuous_nn_propensity,0.35,796,398,0.9972516279615781,1.4462123542811933,0.9253839409076416
continuous_nn_propensity,0.55,2098,1049,0.9927561752052647,1.4187872672950705,0.9417257890532633
continuous_nn_propensity,0.8,3664,1832,0.9873492020743994,1.3840578448376208,0.955980172593986
