heldout_run,status,train_negative,train_positive,test_negative,test_positive
31,evaluated,1023,1023,26,26
32,evaluated,1019,1019,30,30
33,evaluated,1044,1044,5,5
34,evaluated,1042,1042,7,7
35,evaluated,1014,1014,35,35
36,evaluated,1028,1028,21,21
37,evaluated,995,995,54,54
39,evaluated,1012,1012,37,37
40,evaluated,1007,1007,42,42
41,evaluated,1015,1015,34,34
42,evaluated,1029,1029,20,20
44,evaluated,1044,1044,5,5
45,evaluated,1006,1006,43,43
47,evaluated,1041,1041,8,8
48,evaluated,1001,1001,48,48
49,evaluated,1015,1015,34,34
50,evaluated,1014,1014,35,35
51,evaluated,1033,1033,16,16
52,evaluated,1041,1041,8,8
53,evaluated,1027,1027,22,22
54,evaluated,1038,1038,11,11
55,evaluated,1025,1025,24,24
56,evaluated,1018,1018,31,31
57,evaluated,1015,1015,34,34
59,evaluated,979,979,70,70
60,evaluated,975,975,74,74
61,evaluated,976,976,73,73
62,evaluated,976,976,73,73
63,evaluated,1004,1004,45,45
64,evaluated,1006,1006,43,43
65,evaluated,1008,1008,41,41
