run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,42,0.6344104359830828,0.7780958541169413
31,1,94,94,5,0.7087662867702099,0.762530586252621
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,51,0.6406116326875755,0.7829843873947064
32,1,99,99,6,0.7454898101795117,0.7716546865149878
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,21,0.7357379957962951,0.7804381437547377
33,1,83,83,2,0.7123856761235812,0.7497336540351331
33,2,37,37,2,0.7334693460564181,0.7439283076465429
33,3,24,24,0,,
34,0,8240,8240,12,0.7709999196440398,0.7892520928570077
34,1,58,58,4,0.6419940283506068,0.774129992294227
34,2,29,29,0,,
34,3,18,18,1,0.44928535837723305,0.44928535837723305
35,0,2664,2664,53,0.6182575927291708,0.7463027284541812
35,1,59,59,3,0.7646102079888235,0.7828774493384116
35,2,22,22,1,0.7880666243871345,0.7880666243871345
35,3,12,12,1,0.6768003843409846,0.6768003843409846
36,0,2380,2380,33,0.6320866359207258,0.7587110806579584
36,1,49,49,2,0.6016432429122167,0.6919700361756601
36,2,23,23,0,,
37,0,5491,5491,71,0.5253911708078947,0.7422545519992325
37,1,151,151,9,0.6261998553220413,0.6899719832612361
37,2,62,62,1,0.6566808107417986,0.6566808107417986
37,3,30,30,0,,
39,0,3138,3138,47,0.5801115683003175,0.7297712994835592
39,1,97,97,3,0.7259750349426247,0.7680035224971975
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,61,0.5786348671033784,0.7235938102570516
40,1,100,100,4,0.7183671038155082,0.7788831328955013
40,2,42,42,2,0.7441633481670342,0.76603468619063
40,3,20,20,0,,
41,0,3560,3560,49,0.5430774673829887,0.751271049529574
41,1,116,116,3,0.50562693327717,0.5319292884395843
41,2,42,42,1,0.6873942692344217,0.6873942692344217
41,3,22,22,0,,
42,0,4072,4072,35,0.6817531395099851,0.7849303674947556
42,1,106,106,3,0.597395249365682,0.6904171805081396
42,2,43,43,1,0.7503420621740511,0.7503420621740511
42,3,22,22,0,,
44,0,449,449,11,0.6491891298547557,0.7545622640414122
44,1,13,13,0,,
45,0,5463,5463,57,0.5306127367875826,0.7377510821885224
45,1,148,148,3,0.7660481598346159,0.7931777649032509
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,2,0.702270025996093,0.7341830115738879
47,0,1259,1259,13,0.669466410170097,0.7527429601235971
47,1,12,12,0,,
48,0,3117,3117,70,0.5815505378060759,0.7354031225104433
48,1,91,91,1,0.7190232466682883,0.7190232466682883
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,58,0.5784400696713354,0.7476544340812616
49,1,94,94,3,0.6986163166044838,0.7451960555589933
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,65,0.627016377094092,0.7798410290907654
50,1,101,101,1,0.7883831102238524,0.7883831102238524
50,2,45,45,2,0.7449279571568863,0.7500236924046487
50,3,26,26,2,0.6009602626396263,0.6170147975247995
51,0,3474,3474,27,0.6415084217738971,0.7506183489134981
51,1,44,44,1,0.7885356932768447,0.7885356932768447
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,15,0.6483253952398244,0.7492701261697059
52,1,22,22,0,,
53,0,7664,7664,29,0.6510995412146755,0.7582927643751912
53,1,84,84,5,0.6441564773466281,0.7367527244691857
53,2,37,37,0,,
53,3,22,22,1,0.776095111857562,0.776095111857562
54,0,7238,7238,23,0.6331571270695516,0.7471596029656521
54,1,79,79,2,0.5760071970270526,0.6373254211356005
54,2,38,38,1,0.5688414348555717,0.5688414348555717
54,3,20,20,0,,
55,0,4090,4090,38,0.5618216062596724,0.711242616949478
55,1,55,55,3,0.6567087092717048,0.7221247462542104
55,2,24,24,1,0.7660459142932867,0.7660459142932867
55,3,16,16,0,,
56,0,9469,9469,57,0.6063818459779252,0.7651442597273317
56,1,125,125,4,0.7698715528033995,0.7874629911563172
56,2,53,53,0,,
56,3,35,35,1,0.7037984358486404,0.7037984358486404
57,0,3038,3038,60,0.6442408553048995,0.766419090430821
57,1,96,96,3,0.6190688679930858,0.6258014045803795
57,2,38,38,0,,
57,3,20,20,1,0.7071140036022537,0.7071140036022537
58,0,3803,3803,5,0.7121114320449401,0.7400226019227889
58,1,89,89,1,0.7649658485767347,0.7649658485767347
58,2,35,35,1,0.69165828575058,0.69165828575058
58,3,22,22,0,,
59,0,2260,2260,54,0.5881646776383589,0.7239894158553485
59,1,566,566,30,0.649892208483742,0.7738658484332039
59,2,359,359,20,0.6741709793441786,0.7577402909604638
59,3,208,208,25,0.6323422430235456,0.7464259387347872
60,0,1468,1468,36,0.5292156218902425,0.7489769689110334
60,1,484,484,39,0.6293605218750484,0.7877971291544682
60,2,307,307,27,0.6404507992876483,0.7432210091110968
60,3,209,209,28,0.6454518807181229,0.7796648014160604
61,0,1663,1663,46,0.5446634554086005,0.7645289244515712
61,1,500,500,35,0.6170399644006117,0.753712998982015
61,2,350,350,26,0.675107129277108,0.7586490865386529
61,3,243,243,28,0.6703440654965567,0.7639956902076076
62,0,1871,1871,38,0.5177365800852646,0.77354360115466
62,1,489,489,33,0.6319442395204142,0.7473946484303865
62,2,339,339,21,0.6008755715004939,0.7185217937560244
62,3,211,211,25,0.6455548412686077,0.7462219658266562
63,0,2994,2994,63,0.5712209774406628,0.7361745264102777
63,1,373,373,13,0.7056011586122369,0.7788915859547267
63,2,176,176,9,0.6951848411205712,0.7825388960223912
63,3,100,100,8,0.6940227868307689,0.790710796787612
64,0,2560,2560,51,0.552078345969278,0.6984747741385685
64,1,248,248,11,0.5795000557758526,0.7636810969571658
64,2,110,110,5,0.5758899167363954,0.6842250229577546
64,3,60,60,3,0.6618766221205871,0.7444935119006834
65,0,2742,2742,53,0.5367593044373151,0.739376788851578
65,1,132,132,7,0.7199371523367221,0.7636281700413864
65,2,50,50,2,0.5747027121092718,0.6400801631516424
65,3,20,20,0,,
