covariate,negative_mean,positive_mean,standardized_mean_difference
log_b2_area,10.745047667460629,10.784773389308992,0.12377114258248656
log_even_total_charge,10.954548296642031,10.998354621792657,0.18680358029339128
event_fraction,0.4959338302973208,0.49568294020211173,-0.0008835702296385177
depth_idx,0.34985700667302194,0.34985700667302194,0.0
multiplicity,1.349857006673022,1.349857006673022,0.0
topology_code,0.572926596758818,0.572926596758818,0.0
downstream_charge_fraction,0.13456130184823478,0.13558925561355742,0.004065704718600758
saturated_count,0.38798856053384173,0.38798856053384173,0.0
b2_saturated,0.38798856053384173,0.38798856053384173,0.0
b2_width20,13.450905624404195,13.160152526215443,-0.22249222526282186
b2_tail_fraction,0.24187026931583255,0.34111963519320476,1.4187872672950705
propensity_logit,0.8830080469629963,2.0933422541701554,0.4783560566974218
