heldout_run,heldout_group,n_scored_events,n_synthetic_train,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,synthetic_delay_mae_sample,synthetic_delay_mae_ns,shuffled_label_synthetic_auc
44,high_20nA,652,5600,45 46 47 48 49 50 51 52 53 54 55 56 57,0.9572070425761053,0.9631976904350816,0.0860288785473934,0.07084939762544282,0.7701970571759811,7.70197057175981,0.5472664454288066
45,high_20nA,1120,5600,44 46 47 48 49 50 51 52 53 54 55 56 57,0.9357765306122449,0.944426318418176,0.10787008605728106,0.08733907030098632,1.0188745934565966,10.188745934565965,0.4351622448979592
46,low_2nA,417,5600,44 45 47 48 49 50 51 52 53 54 55 56 57,0.9909386881588234,0.9918556941594059,0.04497696339660744,0.06031456493746047,0.5252306517708247,5.252306517708247,0.4096714705279694
47,low_2nA,675,5600,44 45 46 48 49 50 51 52 53 54 55 56 57,0.974251392685446,0.979158392825046,0.07713768403883041,0.07251179658863105,0.7366767206094598,7.366767206094598,0.41903758487811155
48,high_20nA,1086,5600,44 45 46 47 49 50 51 52 53 54 55 56 57,0.9304040816326532,0.943079481090968,0.10879642182617678,0.08384731226659357,0.9607989230368863,9.607989230368863,0.5273693877551021
49,high_20nA,1107,5600,44 45 46 47 48 50 51 52 53 54 55 56 57,0.9264571428571429,0.934834096996854,0.11831195592737957,0.08499169635633655,1.0265207391201787,10.265207391201788,0.5021775510204082
50,high_20nA,996,5600,44 45 46 47 48 49 51 52 53 54 55 56 57,0.95975,0.9628844920023762,0.09549482283878358,0.0784955005340837,0.960801368751071,9.60801368751071,0.5775357142857143
51,high_20nA,903,5600,44 45 46 47 48 49 50 52 53 54 55 56 57,0.9523612611396165,0.9561943667912365,0.09623598359913822,0.07982573953089649,0.9178244879457144,9.178244879457143,0.4626400891169322
52,high_20nA,703,5600,44 45 46 47 48 49 50 51 53 54 55 56 57,0.9719473922902495,0.9750483542875623,0.07778155533291194,0.07043881186755065,0.7965014529031329,7.965014529031329,0.4992217687074829
53,high_20nA,929,5600,44 45 46 47 48 49 50 51 52 54 55 56 57,0.9323660995589163,0.9401429941734558,0.10969630010357459,0.0862141745517471,0.9532983349634018,9.532983349634018,0.4534131484982147
54,high_20nA,927,5600,44 45 46 47 48 49 50 51 52 53 55 56 57,0.9383065118573233,0.9467095953253263,0.10912569965085546,0.07994401687726645,0.9726243428807493,9.726243428807493,0.4475256906964988
55,high_20nA,950,5600,44 45 46 47 48 49 50 51 52 53 54 56 57,0.9368838708069995,0.9445765175528852,0.11169606409009396,0.08235707125338228,0.9903500789580547,9.903500789580548,0.44669314586118974
56,high_20nA,1052,5600,44 45 46 47 48 49 50 51 52 53 54 55 57,0.9316132653061224,0.9397488813711234,0.12131828722250028,0.09007489826059902,1.0266193423640249,10.26619342364025,0.37754387755102037
57,high_20nA,1100,5600,44 45 46 47 48 49 50 51 52 53 54 55 56,0.9336887755102039,0.942123095101863,0.10910563566512058,0.08630915480889875,1.0055983883942856,10.055983883942856,0.5035173469387756
