heldout_run,heldout_group,n_scored_events,n_synthetic_train,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
44,high_20nA,1438,5600,45 46 47 48 49 50 51 52 53 54 55 56 57,0.9851714285714286,0.9883121293769445,0.04532113047382216,0.0386851122694895,0.3797734693877551
45,high_20nA,2100,5600,44 46 47 48 49 50 51 52 53 54 55 56 57,0.978769387755102,0.9828112062461268,0.053978891331411157,0.04709029619242778,0.5237112244897959
46,low_2nA,627,5600,44 45 47 48 49 50 51 52 53 54 55 56 57,0.9935004339956333,0.9943344449048568,0.03690164395013503,0.03526997356400727,0.5736444672222206
47,low_2nA,2080,5600,44 45 46 48 49 50 51 52 53 54 55 56 57,0.9888979591836734,0.9907623746947833,0.05254087584815734,0.04324285565819537,0.5655265306122449
48,high_20nA,2100,5600,44 45 46 47 49 50 51 52 53 54 55 56 57,0.9810755102040817,0.9833397300374283,0.05361176835592242,0.04712433332416832,0.5034530612244899
49,high_20nA,2100,5600,44 45 46 47 48 50 51 52 53 54 55 56 57,0.9786183673469387,0.9814971454274624,0.053999644557209125,0.04627749462730577,0.5663530612244898
50,high_20nA,2100,5600,44 45 46 47 48 49 51 52 53 54 55 56 57,0.9872632653061224,0.9890805976534698,0.04421678059421837,0.038219888435159374,0.37179591836734693
51,high_20nA,1938,5600,44 45 46 47 48 49 50 52 53 54 55 56 57,0.9859714285714285,0.9854473158820581,0.04892147930557964,0.04000404793057808,0.6284591836734694
52,high_20nA,1611,5600,44 45 46 47 48 49 50 51 53 54 55 56 57,0.9903551020408163,0.9905674999976701,0.03979572758474752,0.03417554386961971,0.4867734693877551
53,high_20nA,2100,5600,44 45 46 47 48 49 50 51 52 54 55 56 57,0.988204081632653,0.9886865942787637,0.04412290212369694,0.040349802303056646,0.4274530612244898
54,high_20nA,2092,5600,44 45 46 47 48 49 50 51 52 53 55 56 57,0.9844408163265307,0.9871893837587682,0.049125471165536755,0.041905298375084866,0.483334693877551
55,high_20nA,2020,5600,44 45 46 47 48 49 50 51 52 53 54 56 57,0.9842795918367347,0.986346219566668,0.047997280617813616,0.03879393375992818,0.5883734693877551
56,high_20nA,2100,5600,44 45 46 47 48 49 50 51 52 53 54 55 57,0.988130612244898,0.9888639331055197,0.046468978225971916,0.038689290299712166,0.6730163265306122
57,high_20nA,2100,5600,44 45 46 47 48 49 50 51 52 53 54 55 56,0.9751469387755101,0.976652598162604,0.06271270237046303,0.04951403722706333,0.5034020408163264
