heldout_run,heldout_group,n_scored_events,n_synthetic_train,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
44,high_20nA,652,5600,45 46 47 48 49 50 51 52 53 54 55 56 57,0.9646337195380279,0.9689024394174854,0.0783773290511423,0.05801035621563458,0.5576820350347216
45,high_20nA,1120,5600,44 46 47 48 49 50 51 52 53 54 55 56 57,0.9243959183673469,0.9392957508529876,0.11092672988921874,0.06895343665907465,0.5478816326530612
46,low_2nA,417,5600,44 45 47 48 49 50 51 52 53 54 55 56 57,0.9842125472589792,0.987224634595175,0.05148801798820783,0.042118404124570644,0.583648393194707
47,low_2nA,675,5600,44 45 46 48 49 50 51 52 53 54 55 56 57,0.9690123273183952,0.9741703180671335,0.08020777398486324,0.0569834396552816,0.5517838257650869
48,high_20nA,1086,5600,44 45 46 47 49 50 51 52 53 54 55 56 57,0.9295448979591836,0.9399045261689613,0.11272571405694196,0.07428550581782109,0.4314775510204082
49,high_20nA,1107,5600,44 45 46 47 48 50 51 52 53 54 55 56 57,0.9342561224489796,0.9398947287666214,0.11004011919615314,0.07894932014853977,0.4777020408163265
50,high_20nA,996,5600,44 45 46 47 48 49 51 52 53 54 55 56 57,0.9424214285714286,0.9462527143994367,0.10886776597318683,0.07509873717787546,0.4126989795918367
51,high_20nA,903,5600,44 45 46 47 48 49 50 52 53 54 55 56 57,0.943672973236056,0.9502260882469222,0.09858501334204164,0.06651031209283266,0.5105828333740898
52,high_20nA,703,5600,44 45 46 47 48 49 50 51 53 54 55 56 57,0.9708960893532904,0.971877112426476,0.07610036703700464,0.0594443251341948,0.5569512006308308
53,high_20nA,929,5600,44 45 46 47 48 49 50 51 52 54 55 56 57,0.9362955695769638,0.942325971847541,0.1099911329396729,0.07490059793086351,0.47031137785985433
54,high_20nA,927,5600,44 45 46 47 48 49 50 51 52 53 55 56 57,0.9512981902316064,0.9574273926713516,0.09842738809847498,0.06734336543436693,0.5017465892992296
55,high_20nA,950,5600,44 45 46 47 48 49 50 51 52 53 54 56 57,0.9298441973181577,0.9395860984450128,0.11441855984323952,0.07114306091505766,0.5693215339233039
56,high_20nA,1052,5600,44 45 46 47 48 49 50 51 52 53 54 55 57,0.9322295918367347,0.9400753505987878,0.11636915059851195,0.0726712881635284,0.5134530612244899
57,high_20nA,1100,5600,44 45 46 47 48 49 50 51 52 53 54 55 56,0.9330704081632655,0.9425559315912845,0.10698913822788894,0.07325655726119226,0.38892346938775507
