species,ke_MeV,edep_scint_MeV,arrival_readout,detected_pe
deuteron,110.0,26.9387,899,268
deuteron,110.0,25.1812,870,254
deuteron,110.0,27.0386,907,284
deuteron,110.0,26.7778,904,270
deuteron,110.0,55.8847,783,235
deuteron,110.0,27.1522,955,271
deuteron,110.0,26.2994,926,269
deuteron,110.0,25.6138,912,284
deuteron,110.0,26.2685,883,259
deuteron,110.0,48.5625,645,199
deuteron,110.0,26.1098,908,249
deuteron,110.0,27.4743,943,279
deuteron,110.0,26.4826,899,255
deuteron,110.0,26.7219,928,302
deuteron,110.0,27.6867,930,263
deuteron,110.0,26.6605,906,278
deuteron,110.0,26.1590,857,283
deuteron,110.0,26.2385,868,246
deuteron,110.0,71.9941,1479,447
deuteron,110.0,26.8509,965,284
deuteron,110.0,26.6401,909,276
deuteron,110.0,26.6436,851,264
deuteron,110.0,26.2015,869,289
deuteron,110.0,25.9652,899,271
deuteron,110.0,25.8641,872,255
deuteron,110.0,26.0744,891,278
deuteron,110.0,26.4819,909,299
deuteron,110.0,27.7194,978,303
deuteron,110.0,27.2379,876,269
deuteron,110.0,25.7095,837,267
deuteron,110.0,21.2482,283,78
deuteron,110.0,60.8808,1650,507
deuteron,110.0,25.8139,900,291
deuteron,110.0,26.2061,915,274
deuteron,110.0,26.1336,918,278
deuteron,110.0,26.4844,913,273
deuteron,110.0,26.5115,855,260
deuteron,110.0,26.8511,959,294
deuteron,110.0,26.8744,944,272
deuteron,110.0,26.1827,924,269
deuteron,110.0,27.0998,912,278
deuteron,110.0,26.5330,854,279
deuteron,110.0,26.2063,934,276
deuteron,110.0,26.9518,897,256
deuteron,110.0,27.3398,969,290
deuteron,110.0,26.2263,938,264
deuteron,110.0,63.6950,1358,424
deuteron,110.0,26.4378,850,261
deuteron,110.0,26.3593,841,262
deuteron,110.0,26.2796,932,301
deuteron,110.0,27.2718,885,255
deuteron,110.0,27.3749,920,310
deuteron,110.0,27.1317,961,292
deuteron,110.0,27.2585,899,276
deuteron,110.0,26.7767,916,289
deuteron,110.0,26.5394,904,251
deuteron,110.0,29.0713,833,243
deuteron,110.0,25.3704,929,283
deuteron,110.0,26.1527,878,293
deuteron,110.0,13.0604,148,45
deuteron,110.0,28.8347,909,283
deuteron,110.0,27.7809,956,280
deuteron,110.0,27.3244,909,275
deuteron,110.0,25.8907,907,278
deuteron,110.0,26.6724,885,287
deuteron,110.0,26.3812,891,271
deuteron,110.0,26.2861,871,274
deuteron,110.0,26.6526,952,271
deuteron,110.0,26.2015,890,261
deuteron,110.0,27.0126,887,261
deuteron,110.0,29.7006,998,284
deuteron,110.0,25.9690,875,261
deuteron,110.0,25.8619,837,254
deuteron,110.0,27.2506,953,306
deuteron,110.0,25.9723,896,277
deuteron,110.0,26.4451,919,278
deuteron,110.0,26.7625,932,296
deuteron,110.0,26.3783,954,279
deuteron,110.0,25.7484,955,298
deuteron,110.0,34.2017,859,272
deuteron,110.0,27.3930,980,300
deuteron,110.0,25.8294,922,254
deuteron,110.0,26.3913,853,262
deuteron,110.0,26.6137,915,279
deuteron,110.0,26.4576,881,289
deuteron,110.0,62.4786,1758,548
deuteron,110.0,26.6262,925,297
deuteron,110.0,26.5755,899,271
deuteron,110.0,26.3203,898,262
deuteron,110.0,27.1926,947,281
deuteron,110.0,25.8643,831,241
deuteron,110.0,26.8941,914,285
deuteron,110.0,26.5677,874,273
deuteron,110.0,27.3021,911,278
deuteron,110.0,26.0007,893,279
deuteron,110.0,25.6061,879,282
deuteron,110.0,27.2655,910,273
deuteron,110.0,25.6413,848,272
deuteron,110.0,26.8500,905,254
deuteron,110.0,26.3313,848,253
deuteron,110.0,27.0712,917,272
deuteron,110.0,26.0211,904,289
deuteron,110.0,26.3098,883,252
deuteron,110.0,26.6780,852,276
deuteron,110.0,26.5083,911,290
deuteron,110.0,27.1592,917,257
deuteron,110.0,26.9749,869,279
deuteron,110.0,26.3899,941,275
deuteron,110.0,27.7996,886,236
deuteron,110.0,27.5669,896,278
deuteron,110.0,26.0681,902,273
deuteron,110.0,26.7777,933,276
deuteron,110.0,25.7349,906,265
deuteron,110.0,26.5735,942,256
deuteron,110.0,27.4053,904,277
deuteron,110.0,26.9450,872,254
deuteron,110.0,25.8054,882,274
deuteron,110.0,46.8176,194,60
deuteron,110.0,25.3936,894,310
deuteron,110.0,26.2281,877,244
deuteron,110.0,27.1996,922,280
deuteron,110.0,26.7654,893,231
deuteron,110.0,26.3763,937,278
deuteron,110.0,27.3311,971,313
deuteron,110.0,26.7566,870,278
deuteron,110.0,26.3947,932,293
deuteron,110.0,26.9465,919,276
deuteron,110.0,25.9439,914,270
deuteron,110.0,26.2956,877,229
deuteron,110.0,26.6284,883,271
deuteron,110.0,26.3951,832,253
deuteron,110.0,26.7217,931,282
