method,shuffled_proxy,n_pairs,n_events,veto_fraction,timing_efficiency,tail_fraction_before,tail_fraction_after,tail_capture,tail_fraction_delta,auc,average_precision,brier,veto_fraction_ci_low,veto_fraction_ci_high,tail_fraction_after_ci_low,tail_fraction_after_ci_high,tail_fraction_delta_ci_low,tail_fraction_delta_ci_high,tail_capture_ci_low,tail_capture_ci_high,auc_ci_low,auc_ci_high,average_precision_ci_low,average_precision_ci_high
traditional_quantile,False,11460,3820,0.10026178010471204,0.8997382198952879,0.015183246073298429,0.011541072640868975,0.3160919540229885,-0.0036421734324294536,0.7011703035598982,0.05064350532643156,0.35755353210498464,0.08301912791678129,0.11553716157958269,0.0076116535488345025,0.013843725357144433,-0.004651048119036515,-0.0027659501738305885,0.26838213458454596,0.3731809701492537,0.6735371950762437,0.7312770838676023,0.03746952770266316,0.06951482827153879
traditional_quantile,True,11460,3820,0.10130890052356022,0.8986910994764398,0.015183246073298429,0.014855811243810078,0.1206896551724138,-0.000327434829488351,0.521960378130977,0.016748763825822542,0.3620397249703686,0.09732289552527303,0.10658525785311748,0.011228582871510856,0.01831807977173978,-0.001127228316235656,0.0003618867044054564,0.07954094516594516,0.16508899676375402,0.48429835484876643,0.5605176583874918,0.013188589762727618,0.02047022362527711
ridge,False,11460,3820,0.10052356020942409,0.8994764397905759,0.015183246073298429,0.00863407062475747,0.4885057471264368,-0.006549175448540959,0.7315568469530962,0.14863613023692407,0.2072547964898249,0.0903242120907385,0.10926592013522078,0.005324944416899145,0.011123470522803115,-0.00830409066828959,-0.004662565292720668,0.40730744949494946,0.5886621976100261,0.687268899975026,0.7956019750753913,0.08403328153151494,0.24710483708199082
ridge,True,11460,3820,0.0830715532286213,0.9169284467713787,0.015183246073298429,0.013703844689760183,0.1724137931034483,-0.0014794013835382463,0.42743374458437977,0.03840163784290514,0.24726810942583904,0.061930309206982746,0.10001098966916451,0.010148665590573449,0.01569637726203178,-0.0040814590762294125,0.0001501264048992325,0.06167062012876991,0.2995289855072464,0.3291079118863864,0.5415995773836317,0.02405503505690372,0.09864247208799669
gradient_boosted_trees,False,11460,3820,0.10209424083769633,0.8979057591623036,0.015183246073298429,0.00816326530612245,0.5172413793103449,-0.007019980767175979,0.7450100928624825,0.24766622429650578,0.012721379317414426,0.09529754473574699,0.10881863560732113,0.0057852132728861754,0.01002079635245411,-0.00875034594003224,-0.005133986888210069,0.4540126199786705,0.5765032679738561,0.713517645793376,0.7699581169738012,0.17897566695984318,0.3209216063298324
gradient_boosted_trees,True,11460,3820,0.09720767888307155,0.9027923211169284,0.015183246073298429,0.014111734003479606,0.16091954022988506,-0.0010715120698188228,0.4528257978046242,0.017214266368409677,0.015067669721935463,0.06883187809073495,0.11852393155365931,0.008938502427102122,0.017676687106450793,-0.0027888319486035953,0.0002577604809279348,0.08640769675925926,0.32075471698113206,0.3863852981678694,0.5771534121064311,0.012681893127647687,0.027384214416492008
mlp,False,11460,3820,0.10148342059336823,0.8985165794066318,0.015183246073298429,0.008449062833835098,0.5,-0.006734183239463331,0.7418401600192284,0.2896977432252118,0.012437487509389309,0.09244533523541361,0.10829727375161459,0.0059674319813897035,0.010425424583823777,-0.008307826650960089,-0.0048599539114546,0.4497236429632074,0.555576441102757,0.7247996868276781,0.7620772307935358,0.23286562776647252,0.390789983008274
mlp,True,11460,3820,0.10165794066317627,0.8983420593368238,0.015183246073298429,0.014473045167557066,0.14367816091954022,-0.0007102009057413632,0.4608074086295502,0.0180871764731641,0.07494535663368875,0.09312997893153523,0.10843648866834522,0.010528214366692051,0.017766779469825154,-0.0015155593119894584,-0.00014402779928415071,0.10734267784880652,0.19745419517181725,0.3828824953103312,0.5035694556218859,0.011656203278628216,0.04478502219416116
cnn1d,False,11460,3820,0.09790575916230367,0.9020942408376963,0.015183246073298429,0.008028632230605534,0.5229885057471264,-0.007154613842692895,0.7386824486038037,0.3160370605327882,0.14557208319132472,0.08200867052023121,0.11049033057178484,0.00559617754462923,0.009801589094643029,-0.008937794098889356,-0.005009296272819198,0.4677272192135625,0.5909090909090909,0.7140136627193003,0.8017373308093425,0.21502109490318483,0.4701853799390132
cnn1d,True,11460,3820,0.09389179755671902,0.9061082024432809,0.015183246073298429,0.01454160246533128,0.13218390804597702,-0.0006416436079671496,0.35694003963816423,0.014342352416722664,0.24983898824226541,0.08457371945035735,0.09858615329193376,0.011035698878175498,0.017746913580246913,-0.001183911361882329,-0.00025161319338753925,0.10655616451644194,0.1718792002688172,0.3100086384697499,0.4035828539624002,0.011907113302991938,0.01913478900599358
siamese_cnn_meta,False,11460,3820,0.09738219895287958,0.9026178010471204,0.015183246073298429,0.008217324052590874,0.5114942528735632,-0.006965922020707555,0.7420504704231262,0.30219786947914085,0.13736291162293293,0.08067265090474231,0.11116869655351128,0.005584270142802639,0.01010314799217246,-0.008505984414540434,-0.005343713534363189,0.4627534122842232,0.5654786299765808,0.7161087557183742,0.7719527962156268,0.23267957930136854,0.4170490023408106
siamese_cnn_meta,True,11460,3820,0.06055846422338569,0.9394415357766143,0.015183246073298429,0.014118521270666914,0.12643678160919541,-0.0010647248026315146,0.41166199197052195,0.035633523332603896,0.24493031019491804,0.04664866191996072,0.08189081225033289,0.009475651477498542,0.018453562978075086,-0.0023028337455830114,0.00043584430050349417,0.02701801801801802,0.2500606796116504,0.3212740207292526,0.49484513870185837,0.01382176029296467,0.08042627116182026
