method,subset,n,bias_median_frac,res68_abs_frac,mae_frac,full_rms_frac,within_5pct,within_10pct,run_block_bias_ci95,run_block_res68_ci95,run_block_mae_ci95,run_block_full_rms_ci95,run_block_within_10pct_ci95
strong_traditional_full,heldout_all,26860,3.449464601417065e-05,0.013892142901043235,2.4632072085624896,257.8928901995247,0.8715189873417721,0.9106850335070737,"[-0.0011362932790926086, 0.00161979222585467]","[0.013446103752157483, 0.014238827018821738]","[0.7226046662826722, 4.105080739617637]","[75.35840484303242, 351.9776357000601]","[0.8988568948053828, 0.9232244209234545]"
strong_traditional_full,unsaturated_control,24561,0.00032738661712187794,0.014196180260877737,0.1768718573828196,8.852134628676282,0.8720736126379219,0.9091242213264932,"[-0.0009703227700965201, 0.001783064272839645]","[0.014162660463220907, 0.014220950456006229]","[0.062242008178573664, 0.29731120132422656]","[0.31244168807185096, 12.67238509562714]","[0.8939634299073224, 0.9235537190082644]"
strong_traditional_full,saturated,2299,-0.0021347222813134204,0.010126228097482736,26.88890645185255,881.0261882666632,0.8655937364071336,0.9273597216180949,"[-0.0033704067943386307, -0.0019143607961371492]","[0.00930440762027487, 0.015517313327088191]","[19.02657755082447, 28.823593346739678]","[403.83658067737986, 962.8492317020017]","[0.9140969162995595, 0.9306233062330623]"
strong_traditional_full,run_57,13822,-0.0011362932790926086,0.013446137717291544,4.105080739617637,351.9776357000601,0.8594993488641296,0.8988568948053828,,,,,
strong_traditional_full,run_65,13038,0.00161979222585467,0.014239059784663747,0.7226046662826721,75.35840484303243,0.8842613897837092,0.9232244209234545,,,,,
ridge_full,heldout_all,26860,-0.0014065993074600935,0.07496893967718343,0.2499253896079229,12.788181301948832,0.5432985852568876,0.7784810126582279,"[-0.011968721322361795, 0.013526699859241785]","[0.07435235156756165, 0.07576432686087972]","[0.14442911048328705, 0.3494377964395683]","[5.876837200490322, 16.88848409384972]","[0.7732600202575605, 0.7840159533670809]"
ridge_full,unsaturated_control,24561,-0.0027304220703529736,0.07925042589562782,0.12843919396197448,1.9856062902311487,0.5209478441431538,0.7674768942632629,"[-0.01574087253190604, 0.013713513344087115]","[0.07700494858353638, 0.08155468876702887]","[0.09310983744212356, 0.16555905890693598]","[0.2521202942183682, 2.831659056878777]","[0.7527761542957335, 0.7814685314685315]"
ridge_full,saturated,2299,0.005239322114754636,0.038283525179511606,1.5478037938098108,43.22666738225109,0.7820791648542845,0.8960417572857764,"[0.004856710589821256, 0.009164671975608107]","[0.034221772256909574, 0.04878954712596211]","[1.5431048096798599, 1.5668998857035543]","[31.465536632093116, 45.658613705091646]","[0.8546255506607929, 0.9062330623306233]"
ridge_full,run_57,13822,-0.011968721322361795,0.07435343606961087,0.3494377964395683,16.88848409384972,0.5576616987411374,0.7732600202575605,,,,,
ridge_full,run_65,13038,0.013526699859241785,0.07576954096245637,0.14442911048328702,5.876837200490322,0.5280717901518638,0.7840159533670809,,,,,
