method,subset,n,pairwise_order_accuracy,delta_vs_strong_traditional_full
strong_traditional_full,saturated,2299,0.9172917489143309,0.0
ridge_full,saturated,2299,0.7236663541255428,-0.19362539478878804
gbt_full,saturated,2299,0.8905448085274378,-0.02674694038689307
strong_traditional_rising,saturated,2299,0.8390742202921437,-0.07821752862218712
ridge_rising,saturated,2299,0.8471797275957362,-0.07011202131859462
gbt_rising,saturated,2299,0.9491215949467036,0.03182984603237271
mlp_full,saturated,2299,0.9331819976312673,0.01589024871693645
mlp_rising,saturated,2299,0.9017716146861429,-0.015520134228187987
cnn1d_full,saturated,2299,0.9421202625345441,0.02482851362021321
cnn1d_rising,saturated,2299,0.9522984109751284,0.0350066620607975
wavegate_residual_full,saturated,2299,0.9412258191867351,0.02393407027240424
wavegate_residual_rising,saturated,2299,0.9581338827477299,0.040842133833399075
