method,reference_method,subset,delta_res68_abs_frac,run_block_delta_res68_ci95
ridge_full,strong_traditional_full,heldout_all,0.061076796776140196,"[0.060906247815404164, 0.06152549984205798]"
ridge_full,strong_traditional_full,unsaturated_control,0.06505424563475008,"[0.06278399812753015, 0.06739202830380797]"
ridge_full,strong_traditional_full,saturated,0.028157297082028868,"[0.024917364636634704, 0.033272233798873924]"
gbt_full,strong_traditional_full,heldout_all,0.002192128238440909,"[0.0018555948066779487, 0.0026245442597966837]"
gbt_full,strong_traditional_full,unsaturated_control,0.002364249834939927,"[0.0018530469451473394, 0.0029840934250521117]"
gbt_full,strong_traditional_full,saturated,0.0012292202508782137,"[0.00115919981964774, 0.0013790343459162586]"
strong_traditional_rising,strong_traditional_full,heldout_all,0.16327094649907498,"[0.13532809901749956, 0.20131532668936364]"
strong_traditional_rising,strong_traditional_full,unsaturated_control,0.15838956743106555,"[0.13063025684794524, 0.19134844701099313]"
strong_traditional_rising,strong_traditional_full,saturated,0.22730768575680205,"[0.17146945523937324, 0.37554987808471585]"
ridge_rising,strong_traditional_full,heldout_all,0.19537667634686842,"[0.1867700597262301, 0.2125975488104845]"
ridge_rising,strong_traditional_full,unsaturated_control,0.1919634781140631,"[0.183730910542498, 0.20592507298602736]"
ridge_rising,strong_traditional_full,saturated,0.2781821374018838,"[0.22280011667690838, 0.4643019916683855]"
gbt_rising,strong_traditional_full,heldout_all,0.024647127742226292,"[0.020501533374786593, 0.028578698858855965]"
gbt_rising,strong_traditional_full,unsaturated_control,0.02645165841676267,"[0.022757874482286104, 0.02931859618602358]"
gbt_rising,strong_traditional_full,saturated,0.00942966158472735,"[0.009129412518958095, 0.009587935299909364]"
mlp_full,strong_traditional_full,heldout_all,0.007652062127511851,"[0.0056731460430687886, 0.009654817642671336]"
mlp_full,strong_traditional_full,unsaturated_control,0.008220205670142583,"[0.006127237325057138, 0.009786677533077666]"
mlp_full,strong_traditional_full,saturated,0.0053803822970507325,"[0.004905526088959526, 0.005526293746144856]"
mlp_rising,strong_traditional_full,heldout_all,0.039216875928912806,"[0.03740827818516595, 0.04073915514556411]"
mlp_rising,strong_traditional_full,unsaturated_control,0.039943584601267845,"[0.03783258160756806, 0.041753618223480726]"
mlp_rising,strong_traditional_full,saturated,0.037936378836252276,"[0.02658417613461177, 0.0394789667130865]"
cnn1d_full,strong_traditional_full,heldout_all,0.0013027384438167398,"[0.00045633572401954266, 0.002276908510263031]"
cnn1d_full,strong_traditional_full,unsaturated_control,0.0016936372387668219,"[0.0007552638984516663, 0.0024956999292257247]"
cnn1d_full,strong_traditional_full,saturated,-0.0007346747507094731,"[-0.004146225048049854, -0.000461361290324527]"
cnn1d_rising,strong_traditional_full,heldout_all,0.021759555912993264,"[0.01741075439001882, 0.026146611593152437]"
cnn1d_rising,strong_traditional_full,unsaturated_control,0.02387829249819099,"[0.02023786173429616, 0.02690050802294812]"
cnn1d_rising,strong_traditional_full,saturated,0.006185659301019815,"[0.00376214824938078, 0.006329244086607386]"
wavegate_residual_full,strong_traditional_full,heldout_all,0.0008785479680129098,"[0.0004729866331313719, 0.0013389514514410197]"
wavegate_residual_full,strong_traditional_full,unsaturated_control,0.001324101044074641,"[0.0010085469089083903, 0.001587313710358744]"
wavegate_residual_full,strong_traditional_full,saturated,-0.0017000079427846385,"[-0.006272870094675205, -0.0009391382795179391]"
wavegate_residual_rising,strong_traditional_full,heldout_all,0.03935462225309256,"[0.03545996927971231, 0.04297123408613138]"
wavegate_residual_rising,strong_traditional_full,unsaturated_control,0.043006801435986765,"[0.04147986455562608, 0.04414406196025648]"
wavegate_residual_rising,strong_traditional_full,saturated,0.007647148056717857,"[0.007123268760989874, 0.007701176723745786]"
