method,value,reference_value,delta,pass
template_phase_base,2.889152765080617,2.889152765080617,0.0,True
s03a_amp_only_ridge,1.494640076269676,1.494640076269676,0.0,True
s03b_isotonic_decreasing,1.5695763825403084,1.5695763825403084,0.0,True
