candidate,fold,sigma68_ns,n_pair_residuals,active_positive_terms,heldout_run
inv_sqrt_amp,0,2.1704208359174686,2997,2,58
inv_sqrt_amp,1,1.3851136932488244,3534,2,58
inv_sqrt_amp,2,1.460672209281724,4710,2,58
inv_sqrt_amp,-1,1.6720689128160056,0,0,58
inv_amp,0,2.160052653305317,2997,1,58
inv_amp,1,1.351560775974443,3534,2,58
inv_amp,2,1.453966162938415,4710,2,58
inv_amp,-1,1.6551931974060583,0,0,58
inv_sqrt_plus_inv_amp,0,2.170420846389333,2997,2,58
inv_sqrt_plus_inv_amp,1,1.3851136932538013,3534,2,58
inv_sqrt_plus_inv_amp,2,1.460672209281724,4710,2,58
inv_sqrt_plus_inv_amp,-1,1.6720689163082862,0,0,58
inv_sqrt_amp,0,2.2223956232450206,2799,1,59
inv_sqrt_amp,1,1.3430697829604505,2841,2,59
inv_sqrt_amp,2,1.397296995902649,3531,2,59
inv_sqrt_amp,-1,1.6542541340360402,0,0,59
inv_amp,0,2.215830902449377,2799,1,59
inv_amp,1,1.2956677704747035,2841,2,59
inv_amp,2,1.383811500297281,3531,2,59
inv_amp,-1,1.6317700577404537,0,0,59
inv_sqrt_plus_inv_amp,0,2.222395623244437,2799,1,59
inv_sqrt_plus_inv_amp,1,1.3430697829604505,2841,2,59
inv_sqrt_plus_inv_amp,2,1.397296995902649,3531,2,59
inv_sqrt_plus_inv_amp,-1,1.6542541340358454,0,0,59
inv_sqrt_amp,0,2.1900344480855227,2799,1,60
inv_sqrt_amp,1,1.4275293152990187,2838,2,60
inv_sqrt_amp,2,1.3560905751998675,3399,1,60
inv_sqrt_amp,-1,1.6578847795281364,0,0,60
inv_amp,0,2.1864546480588096,2799,1,60
inv_amp,1,1.4069466001838715,2838,2,60
inv_amp,2,1.3227465113345316,3399,1,60
inv_amp,-1,1.6387159198590708,0,0,60
inv_sqrt_plus_inv_amp,0,2.1900344480851532,2799,1,60
inv_sqrt_plus_inv_amp,1,1.4275293152990187,2838,2,60
inv_sqrt_plus_inv_amp,2,1.3560905752017667,3399,1,60
inv_sqrt_plus_inv_amp,-1,1.6578847795286462,0,0,60
inv_sqrt_amp,0,1.5032201577977333,2622,1,61
inv_sqrt_amp,1,1.5920429875082276,2640,2,61
inv_sqrt_amp,2,1.607956299523014,3399,1,61
inv_sqrt_amp,-1,1.5677398149429917,0,0,61
inv_amp,0,1.496627577582227,2622,1,61
inv_amp,1,1.574564410282831,2640,2,61
inv_amp,2,1.5882500900669219,3399,1,61
inv_amp,-1,1.5531473593106597,0,0,61
inv_sqrt_plus_inv_amp,0,1.5032201577959317,2622,1,61
inv_sqrt_plus_inv_amp,1,1.5920429875082276,2640,2,61
inv_sqrt_plus_inv_amp,2,1.607956299522253,3399,1,61
inv_sqrt_plus_inv_amp,-1,1.5677398149421373,0,0,61
inv_sqrt_amp,0,2.1718046177730237,2799,2,62
inv_sqrt_amp,1,1.353341557370781,2841,2,62
inv_sqrt_amp,2,1.4038824086283461,3399,2,62
inv_sqrt_amp,-1,1.6430095279240504,0,0,62
inv_amp,0,2.1712376431998597,2799,2,62
inv_amp,1,1.3338748847273343,2841,2,62
inv_amp,2,1.3774550086911646,3399,2,62
inv_amp,-1,1.6275225122061194,0,0,62
inv_sqrt_plus_inv_amp,0,2.1718046177730246,2799,2,62
inv_sqrt_plus_inv_amp,1,1.353341557370781,2841,2,62
inv_sqrt_plus_inv_amp,2,1.4038824086283461,3399,2,62
inv_sqrt_plus_inv_amp,-1,1.6430095279240504,0,0,62
inv_sqrt_amp,0,2.1298787262944745,2799,1,63
inv_sqrt_amp,1,1.3561778870119952,2841,2,63
inv_sqrt_amp,2,1.4470768092596438,4710,2,63
inv_sqrt_amp,-1,1.6443778075220379,0,0,63
inv_amp,0,2.1212088718356115,2799,1,63
inv_amp,1,1.350394262881764,2841,2,63
inv_amp,2,1.4253578845469241,4710,2,63
inv_amp,-1,1.6323203397547665,0,0,63
inv_sqrt_plus_inv_amp,0,2.1298787262963224,2799,1,63
inv_sqrt_plus_inv_amp,1,1.3561778870119952,2841,2,63
inv_sqrt_plus_inv_amp,2,1.4470768092596438,4710,2,63
inv_sqrt_plus_inv_amp,-1,1.6443778075226536,0,0,63
inv_sqrt_amp,0,2.158173027436474,3018,2,65
inv_sqrt_amp,1,1.396608550838877,3534,2,65
inv_sqrt_amp,2,1.4730091261713416,4710,2,65
inv_sqrt_amp,-1,1.6759302348155642,0,0,65
inv_amp,0,2.1504259279282074,3018,1,65
inv_amp,1,1.3685503998324435,3534,2,65
inv_amp,2,1.4604227123298195,4710,2,65
inv_amp,-1,1.6597996800301569,0,0,65
inv_sqrt_plus_inv_amp,0,2.1581731872064007,3018,2,65
inv_sqrt_plus_inv_amp,1,1.396608550843233,3534,2,65
inv_sqrt_plus_inv_amp,2,1.4730091261713398,4710,2,65
inv_sqrt_plus_inv_amp,-1,1.6759302880736577,0,0,65
