feature,coefficient_ns_per_unit,lower_bound,upper_bound,at_positive_bound,heldout_run
B4_intercept,-4.154564657696418,-inf,inf,False,58
B6_intercept,2.4175923091409417,-inf,inf,False,58
B8_intercept,0.751804320076757,-inf,inf,False,58
B4_1000_over_amp_positive,4.333418283406316e-21,0.0,inf,True,58
B6_1000_over_amp_positive,0.2597942348360334,0.0,inf,False,58
B8_1000_over_amp_positive,2.7161276556980956,0.0,inf,False,58
B4_intercept,-4.058652324511723,-inf,inf,False,59
B6_intercept,2.4602962729363003,-inf,inf,False,59
B8_intercept,0.6550395764296499,-inf,inf,False,59
B4_1000_over_amp_positive,5.708373407228444e-21,0.0,inf,True,59
B6_1000_over_amp_positive,0.19429686412029212,0.0,inf,False,59
B8_1000_over_amp_positive,2.704432416232981,0.0,inf,False,59
B4_intercept,-3.9342019238019366,-inf,inf,False,60
B6_intercept,2.3374638219258026,-inf,inf,False,60
B8_intercept,0.5860241486918685,-inf,inf,False,60
B4_1000_over_amp_positive,6.892417830612747e-21,0.0,inf,True,60
B6_1000_over_amp_positive,0.2085796632082664,0.0,inf,False,60
B8_1000_over_amp_positive,2.824781460095436,0.0,inf,False,60
B4_intercept,-4.275923340025943,-inf,inf,False,61
B6_intercept,2.603409112984611,-inf,inf,False,61
B8_intercept,0.9111255597227359,-inf,inf,False,61
B4_1000_over_amp_positive,3.856962250575772e-21,0.0,inf,True,61
B6_1000_over_amp_positive,2.8241859728733057e-15,0.0,inf,True,61
B8_1000_over_amp_positive,2.349856025456958,0.0,inf,False,61
B4_intercept,-4.1030860381057215,-inf,inf,False,62
B6_intercept,2.2852354354310966,-inf,inf,False,62
B8_intercept,0.5622516813249009,-inf,inf,False,62
B4_1000_over_amp_positive,4.7050162488986926e-21,0.0,inf,True,62
B6_1000_over_amp_positive,0.5664901105280346,0.0,inf,False,62
B8_1000_over_amp_positive,3.1462551129219456,0.0,inf,False,62
B4_intercept,-4.055426501004592,-inf,inf,False,63
B6_intercept,2.397576183362704,-inf,inf,False,63
B8_intercept,0.6155483811030166,-inf,inf,False,63
B4_1000_over_amp_positive,5.58429631534549e-21,0.0,inf,True,63
B6_1000_over_amp_positive,0.2239766794125188,0.0,inf,False,63
B8_1000_over_amp_positive,2.9529461457701687,0.0,inf,False,63
B4_intercept,-4.1575694542007415,-inf,inf,False,65
B6_intercept,2.44886845124165,-inf,inf,False,65
B8_intercept,0.7282096348185723,-inf,inf,False,65
B4_1000_over_amp_positive,4.882782532415167e-21,0.0,inf,True,65
B6_1000_over_amp_positive,0.196713294672298,0.0,inf,False,65
B8_1000_over_amp_positive,2.7920569636261265,0.0,inf,False,65
