n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8217744846244941,0.8348096804826297,0.17504317720953205
400,5,15,0.7946581712857317,0.8117029434388973,0.18590477535718836
300,4,20,0.7766755856234768,0.7941217868736381,0.1941163607668112
