method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,42,627,0.34071476795962674,6.208769368209607,7.175685197721797,0.43221690590111644,0.09569377990430622,1.0407660355557198,0.1949230800425719,0.43221690590111644
1d_cnn,50,650,-2.3363973188696328,8.257757084962709,8.231121478548742,0.42153846153846153,0.27692307692307694,1.0069581080913659,0.17392730184569788,0.42153846153846153
1d_cnn,57,640,-0.04671935463613508,6.394969647471948,6.791330575756481,0.4765625,0.09375,1.0392833744605727,0.22082279066039093,0.4765625
1d_cnn,58,624,-5.0441489495052005,5.581571291433708,6.54655394898836,0.532051282051282,0.1987179487179487,1.0300161247745137,0.18183610538151504,0.532051282051282
1d_cnn,60,680,-2.2501324608445694,4.403813716894009,5.445778940648387,0.2897058823529412,0.10147058823529412,1.0003418960172297,0.16241506324483646,0.2897058823529412
1d_cnn,62,680,-2.0916367381235768,4.68763414270107,5.776980465802343,0.3397058823529412,0.08235294117647059,1.0020560674420218,0.14520315768968006,0.3397058823529412
1d_cnn,64,680,-1.6516234936310052,4.080681322289505,5.341774133001235,0.27941176470588236,0.06911764705882353,1.0387841484472566,0.15043506948860497,0.27941176470588236
1d_cnn,65,615,-2.4862141339085717,4.641061736613807,5.479936652186576,0.359349593495935,0.0910569105691057,1.042867486112568,0.14996565067701711,0.359349593495935
compact_waveform_transformer,42,627,-0.8415111437226699,5.447834975968471,6.133828799221414,0.35566188197767146,0.049441786283891544,1.0126917787851442,0.1949230800425719,0.35566188197767146
compact_waveform_transformer,50,650,-2.1752685922812347,8.239875887129188,8.27945016931114,0.38769230769230767,0.28615384615384615,0.9824079569784119,0.17392730184569788,0.38769230769230767
compact_waveform_transformer,57,640,-1.3656329790460369,5.573287496670261,5.466602132998789,0.3828125,0.0484375,1.0114587096175423,0.22082279066039093,0.3828125
compact_waveform_transformer,58,624,-5.786086298102266,5.3055574485131185,5.696765829462342,0.5817307692307693,0.19391025641025642,1.0025337545824007,0.18183610538151504,0.5817307692307693
compact_waveform_transformer,60,680,-2.847666337463001,4.903890177073406,5.5669751248989785,0.3235294117647059,0.10882352941176471,1.0070229798942196,0.16241506324483646,0.3235294117647059
compact_waveform_transformer,62,680,-3.2545165271579233,5.319973283566407,5.526742535614485,0.35294117647058826,0.09705882352941177,1.0068337946607242,0.14520315768968006,0.35294117647058826
compact_waveform_transformer,64,680,-1.4778513812065333,4.336489000006766,5.068002790675728,0.24705882352941178,0.05588235294117647,1.0152552178137924,0.15043506948860497,0.24705882352941178
