method,pedestal_memory_bin,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,median_energy_proxy_adc,pid_high_duplicate_fraction,near_saturation_fraction
traditional_median_template_cfd_timewalk_shape,moderate_memory,1767,0.32693786854364176,0.8810101224729859,0.8586089369337115,0.0,0.0,3105.0,0.0520656479909451,0.28522920203735147
gradient_boosted_trees,moderate_memory,1767,0.24779133565018574,3.7588164489313263,4.371846089750626,0.1867572156196944,0.04357668364459536,3105.0,0.0520656479909451,0.28522920203735147
mlp,moderate_memory,1767,-0.18532787451680122,4.413247798007414,4.737567620832682,0.266553480475382,0.0520656479909451,3105.0,0.0520656479909451,0.28522920203735147
ridge,moderate_memory,1767,-0.8170220297182382,4.437268756778405,4.728646997362411,0.25183927560837577,0.045274476513865305,3105.0,0.0520656479909451,0.28522920203735147
pedestal_memory_fusion_cnn_new,moderate_memory,1767,0.13400757301538668,4.92356063351481,5.583387878312585,0.31239388794567063,0.07809847198641766,3105.0,0.0520656479909451,0.28522920203735147
1d_cnn,moderate_memory,1767,-1.9646622539585028,4.935103472176461,5.937118278435278,0.3418222976796831,0.09903791737408037,3105.0,0.0520656479909451,0.28522920203735147
compact_waveform_transformer,moderate_memory,1767,-2.340289418634825,4.973997230724343,5.859058222791539,0.3486134691567629,0.10130164119977363,3105.0,0.0520656479909451,0.28522920203735147
traditional_median_template_cfd_timewalk_shape,quiet_memory,1601,0.3357275879713031,0.9628923615566055,0.9373795866008808,0.0,0.0,3265.5,0.011867582760774516,0.3079325421611493
gradient_boosted_trees,quiet_memory,1601,-0.19868682894214795,3.767521940774952,4.244510792777086,0.19925046845721425,0.03622735790131168,3265.5,0.011867582760774516,0.3079325421611493
mlp,quiet_memory,1601,-0.4676383010449916,4.1361307384472195,4.704925794961217,0.2517176764522174,0.05371642723297939,3265.5,0.011867582760774516,0.3079325421611493
ridge,quiet_memory,1601,-0.8646280472640484,4.182920093297108,4.698086758183431,0.24422236102435976,0.051842598376014994,3265.5,0.011867582760774516,0.3079325421611493
1d_cnn,quiet_memory,1601,-2.1040118631840663,5.050354367623554,5.946368611534149,0.37851342910680824,0.1080574640849469,3265.5,0.011867582760774516,0.3079325421611493
compact_waveform_transformer,quiet_memory,1601,-2.2008405135742635,5.093031637767574,5.779191740746751,0.33354153653966273,0.09494066208619613,3265.5,0.011867582760774516,0.3079325421611493
pedestal_memory_fusion_cnn_new,quiet_memory,1601,0.4310164864364907,5.393354249750781,5.827735974414745,0.3497813866333542,0.08931917551530294,3265.5,0.011867582760774516,0.3079325421611493
traditional_median_template_cfd_timewalk_shape,strong_memory,1828,0.29318678945342924,0.8673856327017502,0.8665277180959654,0.0,0.0,2821.0,0.3993435448577681,0.24179431072210067
gradient_boosted_trees,strong_memory,1828,0.31639650266957675,3.6438824476596547,4.446129820258931,0.1887308533916849,0.045951859956236324,2821.0,0.3993435448577681,0.24179431072210067
mlp,strong_memory,1828,-0.22001030653770526,4.242595266037438,4.983099181813264,0.24726477024070023,0.04923413566739606,2821.0,0.3993435448577681,0.24179431072210067
ridge,strong_memory,1828,-0.7992158196808998,4.556228586762874,4.729396926377889,0.275164113785558,0.048687089715536105,2821.0,0.3993435448577681,0.24179431072210067
pedestal_memory_fusion_cnn_new,strong_memory,1828,-0.32736786906649495,5.655873789327433,7.258782620474902,0.35776805251641136,0.11597374179431072,2821.0,0.3993435448577681,0.24179431072210067
compact_waveform_transformer,strong_memory,1828,-2.7361961187672392,5.969289792206878,6.643401550447577,0.4201312910284464,0.14442013129102846,2821.0,0.3993435448577681,0.24179431072210067
1d_cnn,strong_memory,1828,-2.0280744838419933,6.365901721734589,7.776730398917577,0.4436542669584245,0.16630196936542668,2821.0,0.3993435448577681,0.24179431072210067
