check,value,pass,interpretation
feature_excludes_event_track_run_and_label,1.0,True,Feature matrix uses only Sci_bar per-layer EDep and derived charge/range summaries.
shuffled_training_label_logistic_auc,0.5207559097823624,True,Chance-like ranking when training labels are shuffled inside each fold.
intentional_label_oracle_auc,1.0,True,The audit would detect direct label leakage.
